,date,value,name_B0936WFGHQ
0,2021-05-04,13310.0,Garden Hoses
1,2021-05-05,13310.0,Garden Hoses
2,2021-05-06,13310.0,Garden Hoses
3,2021-05-07,13310.0,Garden Hoses
4,2021-05-08,11795.0,Garden Hoses
5,2021-05-09,11795.0,Garden Hoses
6,2021-05-10,11795.0,Garden Hoses
7,2021-05-11,11797.0,Garden Hoses
8,2021-05-12,11797.0,Garden Hoses
9,2021-05-13,11797.0,Garden Hoses
10,2021-05-14,10811.0,Garden Hoses
11,2021-05-15,10811.0,Garden Hoses
12,2021-05-16,11252.0,Garden Hoses
13,2021-05-17,11252.0,Garden Hoses
14,2021-05-18,11252.0,Garden Hoses
15,2021-05-19,8928.0,Garden Hoses
16,2021-05-20,7905.0,Garden Hoses
17,2021-05-21,7905.0,Garden Hoses
18,2021-05-22,7905.0,Garden Hoses
19,2021-05-23,6322.0,Garden Hoses
20,2021-05-24,6322.0,Garden Hoses
21,2021-05-25,6322.0,Garden Hoses
22,2021-05-26,8768.0,Garden Hoses
23,2021-05-27,8768.0,Garden Hoses
24,2021-05-28,7639.0,Garden Hoses
25,2021-05-29,7639.0,Garden Hoses
26,2021-05-30,7639.0,Garden Hoses
27,2021-05-31,11730.0,Garden Hoses
28,2021-06-01,11730.0,Garden Hoses
29,2021-06-02,8243.0,Garden Hoses
30,2021-06-03,8243.0,Garden Hoses
31,2021-06-04,8962.0,Garden Hoses
32,2021-06-05,8962.0,Garden Hoses
33,2021-06-06,8962.0,Garden Hoses
34,2021-06-07,8962.0,Garden Hoses
35,2021-06-08,3093.0,Garden Hoses
36,2021-06-09,3093.0,Garden Hoses
37,2021-06-10,1356.0,Garden Hoses
38,2021-06-11,1756.0,Garden Hoses
39,2021-06-12,1579.0,Garden Hoses
40,2021-06-13,1579.0,Garden Hoses
41,2021-06-14,2220.0,Garden Hoses
42,2021-06-15,2220.0,Garden Hoses
43,2021-06-16,2114.0,Garden Hoses
44,2021-06-17,1966.0,Garden Hoses
45,2021-06-18,1888.0,Garden Hoses
46,2021-06-19,1888.0,Garden Hoses
47,2021-06-20,1751.0,Garden Hoses
48,2021-06-21,1624.0,Garden Hoses
49,2021-06-22,1624.0,Garden Hoses
50,2021-06-23,3974.0,Garden Hoses
51,2021-06-24,3806.0,Garden Hoses
52,2021-06-25,3806.0,Garden Hoses
53,2021-06-26,3806.0,Garden Hoses
54,2021-06-27,2727.0,Garden Hoses
55,2021-06-28,2878.0,Garden Hoses
56,2021-06-29,2821.0,Garden Hoses
57,2021-06-30,2101.0,Garden Hoses
58,2021-07-01,2997.0,Garden Hoses
59,2021-07-02,2879.0,Garden Hoses
60,2021-07-03,2879.0,Garden Hoses
61,2021-07-04,2879.0,Garden Hoses
62,2021-07-05,3072.0,Garden Hoses
63,2021-07-06,2713.0,Garden Hoses
64,2021-07-07,2713.0,Garden Hoses
65,2021-07-08,3005.0,Garden Hoses
66,2021-07-09,3005.0,Garden Hoses
67,2021-07-10,3005.0,Garden Hoses
68,2021-07-11,4746.0,Garden Hoses
