,date,value,name_B07T29VVCH
0,2019-07-17,550888.0,Accessories
1,2019-07-18,628455.0,Accessories
2,2019-07-19,523766.0,Accessories
3,2019-07-20,658748.0,Accessories
4,2019-07-21,725208.0,Accessories
5,2019-07-22,809598.0,Accessories
6,2019-07-23,210823.0,Accessories
7,2019-07-24,231326.0,Accessories
8,2019-07-25,250351.0,Accessories
9,2019-07-26,236321.0,Accessories
10,2019-07-27,268166.0,Accessories
11,2019-07-28,371058.0,Accessories
12,2019-07-29,224855.0,Accessories
13,2019-07-30,393293.0,Accessories
14,2019-07-31,525505.0,Accessories
15,2019-08-01,563786.0,Accessories
16,2019-08-02,380870.0,Accessories
17,2019-08-03,367180.0,Accessories
18,2019-08-04,421418.0,Accessories
19,2019-08-05,462364.0,Accessories
20,2019-08-06,236093.0,Accessories
21,2019-08-07,308950.0,Accessories
22,2019-08-08,314350.0,Accessories
23,2019-08-09,477562.0,Accessories
24,2019-08-10,497322.0,Accessories
25,2019-08-11,381814.0,Accessories
26,2019-08-12,421610.0,Accessories
27,2019-08-13,495494.0,Accessories
28,2019-08-14,252434.0,Accessories
29,2019-08-15,127951.0,Accessories
30,2019-08-16,127951.0,Accessories
31,2019-08-17,127951.0,Accessories
32,2019-08-18,127951.0,Accessories
33,2019-08-19,485901.0,Accessories
34,2019-08-20,485901.0,Accessories
35,2019-08-21,485901.0,Accessories
36,2019-08-22,212618.0,Accessories
37,2019-08-23,212618.0,Accessories
38,2019-08-24,212618.0,Accessories
39,2019-08-25,201794.0,Accessories
40,2019-08-26,201794.0,Accessories
41,2019-08-27,201794.0,Accessories
42,2019-08-28,201794.0,Accessories
43,2019-08-29,117275.0,Accessories
44,2019-08-30,117275.0,Accessories
45,2019-08-31,117275.0,Accessories
46,2019-09-01,117275.0,Accessories
47,2019-09-02,469163.0,Accessories
48,2019-09-03,469163.0,Accessories
49,2019-09-04,469163.0,Accessories
50,2019-09-05,469163.0,Accessories
51,2019-09-06,469163.0,Accessories
52,2019-09-07,469163.0,Accessories
53,2019-09-08,469163.0,Accessories
54,2019-09-09,469163.0,Accessories
55,2019-09-10,469163.0,Accessories
56,2019-09-11,469163.0,Accessories
57,2019-09-12,469163.0,Accessories
58,2019-09-13,469163.0,Accessories
59,2019-09-14,469163.0,Accessories
60,2019-09-15,469163.0,Accessories
61,2019-09-16,469163.0,Accessories
62,2019-09-17,469163.0,Accessories
63,2019-09-18,469163.0,Accessories
64,2019-09-19,469163.0,Accessories
65,2019-09-20,469163.0,Accessories
66,2019-09-21,469163.0,Accessories
67,2019-09-22,469163.0,Accessories
68,2019-09-23,469163.0,Accessories
69,2019-09-24,469163.0,Accessories
70,2019-09-25,469163.0,Accessories
71,2019-09-26,469163.0,Accessories
72,2019-09-27,469163.0,Accessories
73,2019-09-28,267839.0,Accessories
74,2019-09-29,267839.0,Accessories
75,2019-09-30,485508.0,Accessories
76,2019-10-01,485508.0,Accessories
77,2019-10-02,183849.0,Accessories
78,2019-10-03,183849.0,Accessories
79,2019-10-04,183849.0,Accessories
80,2019-10-05,183849.0,Accessories
81,2019-10-06,199653.0,Accessories
82,2019-10-07,199653.0,Accessories
83,2019-10-08,199653.0,Accessories
84,2019-10-09,199653.0,Accessories
85,2019-10-10,499577.0,Accessories
86,2019-10-11,499577.0,Accessories
87,2019-10-12,499577.0,Accessories
88,2019-10-13,243473.0,Accessories
89,2019-10-14,243473.0,Accessories
90,2019-10-15,243473.0,Accessories
91,2019-10-16,243473.0,Accessories
92,2019-10-17,243473.0,Accessories
93,2019-10-18,243473.0,Accessories
94,2019-10-19,433505.0,Accessories
95,2019-10-20,433505.0,Accessories
96,2019-10-21,356197.0,Accessories
97,2019-10-22,356197.0,Accessories
98,2019-10-23,395339.0,Accessories
99,2019-10-24,395339.0,Accessories
100,2019-10-25,395339.0,Accessories
101,2019-10-26,395339.0,Accessories
102,2019-10-27,376526.0,Accessories
103,2019-10-28,376526.0,Accessories
104,2019-10-29,359213.0,Accessories
105,2019-10-30,359213.0,Accessories
106,2019-10-31,359213.0,Accessories
107,2019-11-01,250382.0,Accessories
108,2019-11-02,250382.0,Accessories
109,2019-11-03,230733.0,Accessories
110,2019-11-04,230733.0,Accessories
111,2019-11-05,230733.0,Accessories
112,2019-11-06,669496.0,Accessories
113,2019-11-07,669496.0,Accessories
114,2019-11-08,788030.0,Accessories
115,2019-11-09,788030.0,Accessories
116,2019-11-10,788030.0,Accessories
117,2019-11-11,788030.0,Accessories
118,2019-11-12,788030.0,Accessories
119,2019-11-13,788030.0,Accessories
120,2019-11-14,788030.0,Accessories
121,2019-11-15,788030.0,Accessories
122,2019-11-16,788030.0,Accessories
123,2019-11-17,788030.0,Accessories
124,2019-11-18,788030.0,Accessories
125,2019-11-19,788030.0,Accessories
126,2019-11-20,788030.0,Accessories
127,2019-11-21,788118.0,Accessories
128,2019-11-22,788118.0,Accessories
129,2019-11-23,788118.0,Accessories
130,2019-11-24,788118.0,Accessories
131,2019-11-25,788118.0,Accessories
132,2019-11-26,788118.0,Accessories
133,2019-11-27,788118.0,Accessories
134,2019-11-28,788118.0,Accessories
135,2019-11-29,788118.0,Accessories
136,2019-11-30,322010.0,Accessories
137,2019-12-01,322010.0,Accessories
138,2019-12-02,322010.0,Accessories
139,2019-12-03,322010.0,Accessories
140,2019-12-04,322010.0,Accessories
141,2019-12-05,322010.0,Accessories
142,2019-12-06,322010.0,Accessories
143,2019-12-07,322010.0,Accessories
144,2019-12-08,322010.0,Accessories
145,2019-12-09,322010.0,Accessories
146,2019-12-10,322010.0,Accessories
147,2019-12-11,322010.0,Accessories
148,2019-12-12,322010.0,Accessories
149,2019-12-13,322010.0,Accessories
150,2019-12-14,322010.0,Accessories
151,2019-12-15,1030720.0,Accessories
152,2019-12-16,1030720.0,Accessories
153,2019-12-17,1030720.0,Accessories
154,2019-12-18,1030720.0,Accessories
155,2019-12-19,1030720.0,Accessories
