,date,value,name_B07C52SB91
0,2020-05-22,21040.0,Astaxanthin
1,2020-05-23,20302.0,Astaxanthin
2,2020-05-24,18943.0,Astaxanthin
3,2020-05-25,23699.0,Astaxanthin
4,2020-05-26,17061.0,Astaxanthin
5,2020-05-27,19953.0,Astaxanthin
6,2020-05-28,19953.0,Astaxanthin
7,2020-05-29,25266.0,Astaxanthin
8,2020-05-30,24637.0,Astaxanthin
9,2020-05-31,21508.0,Astaxanthin
10,2020-06-01,21508.0,Astaxanthin
11,2020-06-02,23579.0,Astaxanthin
12,2020-06-03,23579.0,Astaxanthin
13,2020-06-04,22168.0,Astaxanthin
14,2020-06-05,22168.0,Astaxanthin
15,2020-06-06,13686.0,Astaxanthin
16,2020-06-07,13686.0,Astaxanthin
17,2020-06-08,8537.0,Astaxanthin
18,2020-06-09,8958.0,Astaxanthin
19,2020-06-10,9600.0,Astaxanthin
20,2020-06-11,9600.0,Astaxanthin
21,2020-06-12,10507.0,Astaxanthin
22,2020-06-13,11952.0,Astaxanthin
23,2020-06-14,11952.0,Astaxanthin
24,2020-06-15,12686.0,Astaxanthin
25,2020-06-16,12686.0,Astaxanthin
26,2020-06-17,13986.0,Astaxanthin
27,2020-06-18,15597.0,Astaxanthin
28,2020-06-19,14805.0,Astaxanthin
29,2020-06-20,14805.0,Astaxanthin
30,2020-06-21,14054.0,Astaxanthin
31,2020-06-22,13972.0,Astaxanthin
32,2020-06-23,13972.0,Astaxanthin
33,2020-06-24,14740.0,Astaxanthin
34,2020-06-25,14265.0,Astaxanthin
35,2020-06-26,14265.0,Astaxanthin
36,2020-06-27,17510.0,Astaxanthin
37,2020-06-28,20047.0,Astaxanthin
38,2020-06-29,22802.0,Astaxanthin
39,2020-06-30,22802.0,Astaxanthin
40,2020-07-01,27410.0,Astaxanthin
41,2020-07-02,26416.0,Astaxanthin
42,2020-07-03,26416.0,Astaxanthin
43,2020-07-04,23525.0,Astaxanthin
44,2020-07-05,23525.0,Astaxanthin
45,2020-07-06,21097.0,Astaxanthin
46,2020-07-07,21909.0,Astaxanthin
47,2020-07-08,23777.0,Astaxanthin
48,2020-07-09,29409.0,Astaxanthin
49,2020-07-10,29409.0,Astaxanthin
50,2020-07-11,24807.0,Astaxanthin
51,2020-07-12,24807.0,Astaxanthin
52,2020-07-13,28111.0,Astaxanthin
53,2020-07-14,28704.0,Astaxanthin
54,2020-07-15,30005.0,Astaxanthin
55,2020-07-16,30005.0,Astaxanthin
56,2020-07-17,24411.0,Astaxanthin
57,2020-07-18,32332.0,Astaxanthin
58,2020-07-19,27274.0,Astaxanthin
59,2020-07-20,25392.0,Astaxanthin
60,2020-07-21,25392.0,Astaxanthin
61,2020-07-22,29488.0,Astaxanthin
62,2020-07-23,31595.0,Astaxanthin
63,2020-07-24,31595.0,Astaxanthin
64,2020-07-25,26127.0,Astaxanthin
65,2020-07-26,26127.0,Astaxanthin
66,2020-07-27,31496.0,Astaxanthin
67,2020-07-28,27610.0,Astaxanthin
68,2020-07-29,31824.0,Astaxanthin
69,2020-07-30,31824.0,Astaxanthin
70,2020-07-31,35157.0,Astaxanthin
71,2020-08-01,35157.0,Astaxanthin
72,2020-08-02,44320.0,Astaxanthin
73,2020-08-03,44320.0,Astaxanthin
74,2020-08-04,37017.0,Astaxanthin
75,2020-08-05,37017.0,Astaxanthin
76,2020-08-06,30222.0,Astaxanthin
77,2020-08-07,22797.0,Astaxanthin
78,2020-08-08,28601.0,Astaxanthin
