,date,value,name_B07NY6LF9P
0,2020-05-27,917.0,Paper & Paper Crafts
1,2020-05-28,917.0,Paper & Paper Crafts
2,2020-05-29,811.0,Paper & Paper Crafts
3,2020-05-30,1000.0,Paper & Paper Crafts
4,2020-05-31,1000.0,Paper & Paper Crafts
5,2020-06-01,751.0,Paper & Paper Crafts
6,2020-06-02,856.0,Paper & Paper Crafts
7,2020-06-03,980.0,Paper & Paper Crafts
8,2020-06-04,1004.0,Paper & Paper Crafts
9,2020-06-05,1004.0,Paper & Paper Crafts
10,2020-06-06,674.0,Paper & Paper Crafts
11,2020-06-07,674.0,Paper & Paper Crafts
12,2020-06-08,509.0,Paper & Paper Crafts
13,2020-06-09,417.0,Paper & Paper Crafts
14,2020-06-10,416.0,Paper & Paper Crafts
15,2020-06-11,581.0,Paper & Paper Crafts
16,2020-06-12,704.0,Paper & Paper Crafts
17,2020-06-13,704.0,Paper & Paper Crafts
18,2020-06-14,916.0,Paper & Paper Crafts
19,2020-06-15,916.0,Paper & Paper Crafts
20,2020-06-16,916.0,Paper & Paper Crafts
21,2020-06-17,920.0,Paper & Paper Crafts
22,2020-06-18,892.0,Paper & Paper Crafts
23,2020-06-19,791.0,Paper & Paper Crafts
24,2020-06-20,843.0,Paper & Paper Crafts
25,2020-06-21,843.0,Paper & Paper Crafts
26,2020-06-22,843.0,Paper & Paper Crafts
27,2020-06-23,788.0,Paper & Paper Crafts
28,2020-06-24,841.0,Paper & Paper Crafts
29,2020-06-25,916.0,Paper & Paper Crafts
30,2020-06-26,986.0,Paper & Paper Crafts
31,2020-06-27,667.0,Paper & Paper Crafts
32,2020-06-28,667.0,Paper & Paper Crafts
33,2020-06-29,1022.0,Paper & Paper Crafts
34,2020-06-30,1022.0,Paper & Paper Crafts
35,2020-07-01,788.0,Paper & Paper Crafts
36,2020-07-02,788.0,Paper & Paper Crafts
37,2020-07-03,799.0,Paper & Paper Crafts
38,2020-07-04,880.0,Paper & Paper Crafts
39,2020-07-05,752.0,Paper & Paper Crafts
40,2020-07-06,748.0,Paper & Paper Crafts
41,2020-07-07,902.0,Paper & Paper Crafts
42,2020-07-08,902.0,Paper & Paper Crafts
43,2020-07-09,832.0,Paper & Paper Crafts
44,2020-07-10,870.0,Paper & Paper Crafts
45,2020-07-11,870.0,Paper & Paper Crafts
46,2020-07-12,736.0,Paper & Paper Crafts
47,2020-07-13,736.0,Paper & Paper Crafts
48,2020-07-14,800.0,Paper & Paper Crafts
49,2020-07-15,915.0,Paper & Paper Crafts
50,2020-07-16,680.0,Paper & Paper Crafts
51,2020-07-17,680.0,Paper & Paper Crafts
52,2020-07-18,680.0,Paper & Paper Crafts
53,2020-07-19,644.0,Paper & Paper Crafts
54,2020-07-20,644.0,Paper & Paper Crafts
55,2020-07-21,687.0,Paper & Paper Crafts
56,2020-07-22,895.0,Paper & Paper Crafts
57,2020-07-23,712.0,Paper & Paper Crafts
58,2020-07-24,819.0,Paper & Paper Crafts
59,2020-07-25,898.0,Paper & Paper Crafts
60,2020-07-26,866.0,Paper & Paper Crafts
61,2020-07-27,1077.0,Paper & Paper Crafts
62,2020-07-28,997.0,Paper & Paper Crafts
63,2020-07-29,914.0,Paper & Paper Crafts
64,2020-07-30,914.0,Paper & Paper Crafts
65,2020-07-31,914.0,Paper & Paper Crafts
66,2020-08-01,951.0,Paper & Paper Crafts
67,2020-08-02,951.0,Paper & Paper Crafts
68,2020-08-03,1041.0,Paper & Paper Crafts
69,2020-08-04,1021.0,Paper & Paper Crafts
70,2020-08-05,905.0,Paper & Paper Crafts
71,2020-08-06,886.0,Paper & Paper Crafts
72,2020-08-07,886.0,Paper & Paper Crafts
73,2020-08-08,998.0,Paper & Paper Crafts
74,2020-08-09,998.0,Paper & Paper Crafts
