,date,value,name_B07K59DD7D
0,2018-11-04,14660.0,Carafes & Pitchers
1,2018-11-05,14660.0,Carafes & Pitchers
2,2018-11-06,37705.0,Carafes & Pitchers
3,2018-11-07,37926.0,Carafes & Pitchers
4,2018-11-08,37926.0,Carafes & Pitchers
5,2018-11-09,37926.0,Carafes & Pitchers
6,2018-11-10,29734.0,Carafes & Pitchers
7,2018-11-11,48628.0,Carafes & Pitchers
8,2018-11-12,73565.0,Carafes & Pitchers
9,2018-11-13,73565.0,Carafes & Pitchers
10,2018-11-14,25522.0,Carafes & Pitchers
11,2018-11-15,25522.0,Carafes & Pitchers
12,2018-11-16,26405.0,Carafes & Pitchers
13,2018-11-17,26405.0,Carafes & Pitchers
14,2018-11-18,28105.0,Carafes & Pitchers
15,2018-11-19,27641.0,Carafes & Pitchers
16,2018-11-20,44607.0,Carafes & Pitchers
17,2018-11-21,41934.0,Carafes & Pitchers
18,2018-11-22,31593.0,Carafes & Pitchers
19,2018-11-23,45405.0,Carafes & Pitchers
20,2018-11-24,35157.0,Carafes & Pitchers
21,2018-11-25,35645.0,Carafes & Pitchers
22,2018-11-26,38985.0,Carafes & Pitchers
23,2018-11-27,38750.0,Carafes & Pitchers
24,2018-11-28,41677.0,Carafes & Pitchers
25,2018-11-29,26158.0,Carafes & Pitchers
26,2018-11-30,36243.0,Carafes & Pitchers
27,2018-12-01,36243.0,Carafes & Pitchers
28,2018-12-02,36243.0,Carafes & Pitchers
29,2018-12-03,61383.0,Carafes & Pitchers
30,2018-12-04,96736.0,Carafes & Pitchers
31,2018-12-05,96736.0,Carafes & Pitchers
32,2018-12-06,81276.0,Carafes & Pitchers
33,2018-12-07,81276.0,Carafes & Pitchers
34,2018-12-08,40246.0,Carafes & Pitchers
35,2018-12-09,40246.0,Carafes & Pitchers
36,2018-12-10,57238.0,Carafes & Pitchers
37,2018-12-11,50063.0,Carafes & Pitchers
38,2018-12-12,50063.0,Carafes & Pitchers
39,2018-12-13,38866.0,Carafes & Pitchers
40,2018-12-14,38866.0,Carafes & Pitchers
41,2018-12-15,38866.0,Carafes & Pitchers
42,2018-12-16,38866.0,Carafes & Pitchers
43,2018-12-17,34757.0,Carafes & Pitchers
44,2018-12-18,34757.0,Carafes & Pitchers
45,2018-12-19,41753.0,Carafes & Pitchers
46,2018-12-20,37953.0,Carafes & Pitchers
47,2018-12-21,32296.0,Carafes & Pitchers
48,2018-12-22,32296.0,Carafes & Pitchers
49,2018-12-23,40236.0,Carafes & Pitchers
50,2018-12-24,38805.0,Carafes & Pitchers
51,2018-12-25,24221.0,Carafes & Pitchers
52,2018-12-26,23304.0,Carafes & Pitchers
53,2018-12-27,33062.0,Carafes & Pitchers
54,2018-12-28,33062.0,Carafes & Pitchers
55,2018-12-29,33062.0,Carafes & Pitchers
56,2018-12-30,33062.0,Carafes & Pitchers
