,date,value,name_B0943FL523
0,2021-05-06,20742.0,Shower Caddies
1,2021-05-07,20742.0,Shower Caddies
2,2021-05-08,12851.0,Shower Caddies
3,2021-05-09,13500.0,Shower Caddies
4,2021-05-10,14753.0,Shower Caddies
5,2021-05-11,13473.0,Shower Caddies
6,2021-05-12,11896.0,Shower Caddies
7,2021-05-13,11896.0,Shower Caddies
8,2021-05-14,11557.0,Shower Caddies
9,2021-05-15,11557.0,Shower Caddies
10,2021-05-16,9607.0,Shower Caddies
11,2021-05-17,10180.0,Shower Caddies
12,2021-05-18,10180.0,Shower Caddies
13,2021-05-19,9307.0,Shower Caddies
14,2021-05-20,8911.0,Shower Caddies
15,2021-05-21,8214.0,Shower Caddies
16,2021-05-22,8233.0,Shower Caddies
17,2021-05-23,8233.0,Shower Caddies
18,2021-05-24,8031.0,Shower Caddies
19,2021-05-25,7132.0,Shower Caddies
20,2021-05-26,7132.0,Shower Caddies
21,2021-05-27,7510.0,Shower Caddies
22,2021-05-28,7383.0,Shower Caddies
23,2021-05-29,7383.0,Shower Caddies
24,2021-05-30,5597.0,Shower Caddies
25,2021-05-31,5110.0,Shower Caddies
26,2021-06-01,5439.0,Shower Caddies
27,2021-06-02,3962.0,Shower Caddies
28,2021-06-03,3962.0,Shower Caddies
29,2021-06-04,4101.0,Shower Caddies
30,2021-06-05,4159.0,Shower Caddies
31,2021-06-06,4287.0,Shower Caddies
32,2021-06-07,4013.0,Shower Caddies
33,2021-06-08,4050.0,Shower Caddies
34,2021-06-09,3162.0,Shower Caddies
35,2021-06-10,3471.0,Shower Caddies
36,2021-06-11,3471.0,Shower Caddies
37,2021-06-12,3052.0,Shower Caddies
38,2021-06-13,3052.0,Shower Caddies
39,2021-06-14,2773.0,Shower Caddies
40,2021-06-15,2773.0,Shower Caddies
41,2021-06-16,3666.0,Shower Caddies
42,2021-06-17,4334.0,Shower Caddies
43,2021-06-18,5059.0,Shower Caddies
44,2021-06-19,4490.0,Shower Caddies
45,2021-06-20,4490.0,Shower Caddies
46,2021-06-21,4037.0,Shower Caddies
47,2021-06-22,6142.0,Shower Caddies
48,2021-06-23,6142.0,Shower Caddies
49,2021-06-24,6861.0,Shower Caddies
50,2021-06-25,6861.0,Shower Caddies
51,2021-06-26,6861.0,Shower Caddies
52,2021-06-27,3637.0,Shower Caddies
53,2021-06-28,3637.0,Shower Caddies
54,2021-06-29,3805.0,Shower Caddies
55,2021-06-30,3805.0,Shower Caddies
56,2021-07-01,4180.0,Shower Caddies
57,2021-07-02,4180.0,Shower Caddies
58,2021-07-03,3027.0,Shower Caddies
59,2021-07-04,3027.0,Shower Caddies
60,2021-07-05,3527.0,Shower Caddies
61,2021-07-06,3527.0,Shower Caddies
62,2021-07-07,3527.0,Shower Caddies
63,2021-07-08,3968.0,Shower Caddies
64,2021-07-09,3968.0,Shower Caddies
65,2021-07-10,3953.0,Shower Caddies
66,2021-07-11,4440.0,Shower Caddies
