,date,value,name_B08BPBTYXC
0,2020-06-24,526.0,Cartridges & Filters
1,2020-06-25,500.0,Cartridges & Filters
2,2020-06-26,500.0,Cartridges & Filters
3,2020-06-27,214.0,Cartridges & Filters
4,2020-06-28,214.0,Cartridges & Filters
5,2020-06-29,234.0,Cartridges & Filters
6,2020-06-30,246.0,Cartridges & Filters
7,2020-07-01,246.0,Cartridges & Filters
8,2020-07-02,246.0,Cartridges & Filters
9,2020-07-03,246.0,Cartridges & Filters
10,2020-07-04,246.0,Cartridges & Filters
11,2020-07-05,246.0,Cartridges & Filters
12,2020-07-06,246.0,Cartridges & Filters
13,2020-07-07,246.0,Cartridges & Filters
14,2020-07-08,246.0,Cartridges & Filters
15,2020-07-09,246.0,Cartridges & Filters
16,2020-07-10,246.0,Cartridges & Filters
17,2020-07-11,246.0,Cartridges & Filters
18,2020-07-12,246.0,Cartridges & Filters
19,2020-07-13,246.0,Cartridges & Filters
20,2020-07-14,246.0,Cartridges & Filters
21,2020-07-15,246.0,Cartridges & Filters
22,2020-07-16,246.0,Cartridges & Filters
23,2020-07-17,246.0,Cartridges & Filters
24,2020-07-18,246.0,Cartridges & Filters
25,2020-07-19,246.0,Cartridges & Filters
26,2020-07-20,246.0,Cartridges & Filters
27,2020-07-21,246.0,Cartridges & Filters
28,2020-07-22,246.0,Cartridges & Filters
29,2020-07-23,246.0,Cartridges & Filters
30,2020-07-24,246.0,Cartridges & Filters
31,2020-07-25,246.0,Cartridges & Filters
32,2020-07-26,246.0,Cartridges & Filters
33,2020-07-27,246.0,Cartridges & Filters
34,2020-07-28,246.0,Cartridges & Filters
35,2020-07-29,246.0,Cartridges & Filters
36,2020-07-30,246.0,Cartridges & Filters
37,2020-07-31,246.0,Cartridges & Filters
38,2020-08-01,246.0,Cartridges & Filters
39,2020-08-02,246.0,Cartridges & Filters
40,2020-08-03,246.0,Cartridges & Filters
41,2020-08-04,246.0,Cartridges & Filters
42,2020-08-05,246.0,Cartridges & Filters
43,2020-08-06,246.0,Cartridges & Filters
44,2020-08-07,246.0,Cartridges & Filters
45,2020-08-08,246.0,Cartridges & Filters
46,2020-08-09,246.0,Cartridges & Filters
47,2020-08-10,246.0,Cartridges & Filters
48,2020-08-11,246.0,Cartridges & Filters
49,2020-08-12,246.0,Cartridges & Filters
50,2020-08-13,246.0,Cartridges & Filters
51,2020-08-14,246.0,Cartridges & Filters
52,2020-08-15,246.0,Cartridges & Filters
53,2020-08-16,246.0,Cartridges & Filters
54,2020-08-17,246.0,Cartridges & Filters
55,2020-08-18,246.0,Cartridges & Filters
56,2020-08-19,246.0,Cartridges & Filters
57,2020-08-20,246.0,Cartridges & Filters
58,2020-08-21,246.0,Cartridges & Filters
59,2020-08-22,246.0,Cartridges & Filters
60,2020-08-23,246.0,Cartridges & Filters
61,2020-08-24,246.0,Cartridges & Filters
62,2020-08-25,246.0,Cartridges & Filters
63,2020-08-26,246.0,Cartridges & Filters
64,2020-08-27,246.0,Cartridges & Filters
65,2020-08-28,246.0,Cartridges & Filters
66,2020-08-29,246.0,Cartridges & Filters
67,2020-08-30,246.0,Cartridges & Filters
68,2020-08-31,246.0,Cartridges & Filters
69,2020-09-01,246.0,Cartridges & Filters
70,2020-09-02,246.0,Cartridges & Filters
71,2020-09-03,246.0,Cartridges & Filters
72,2020-09-04,246.0,Cartridges & Filters
73,2020-09-05,246.0,Cartridges & Filters
74,2020-09-06,246.0,Cartridges & Filters
75,2020-09-07,246.0,Cartridges & Filters
76,2020-09-08,246.0,Cartridges & Filters
77,2020-09-09,246.0,Cartridges & Filters
78,2020-09-10,246.0,Cartridges & Filters
79,2020-09-11,246.0,Cartridges & Filters
80,2020-09-12,246.0,Cartridges & Filters
81,2020-09-13,246.0,Cartridges & Filters
82,2020-09-14,246.0,Cartridges & Filters
83,2020-09-15,246.0,Cartridges & Filters
84,2020-09-16,246.0,Cartridges & Filters
85,2020-09-17,246.0,Cartridges & Filters
86,2020-09-18,246.0,Cartridges & Filters
87,2020-09-19,246.0,Cartridges & Filters
88,2020-09-20,246.0,Cartridges & Filters
89,2020-09-21,246.0,Cartridges & Filters
90,2020-09-22,246.0,Cartridges & Filters
91,2020-09-23,246.0,Cartridges & Filters
92,2020-09-24,246.0,Cartridges & Filters
93,2020-09-25,246.0,Cartridges & Filters
94,2020-09-26,246.0,Cartridges & Filters
95,2020-09-27,246.0,Cartridges & Filters
96,2020-09-28,246.0,Cartridges & Filters
97,2020-09-29,246.0,Cartridges & Filters
98,2020-09-30,246.0,Cartridges & Filters
99,2020-10-01,246.0,Cartridges & Filters
100,2020-10-02,246.0,Cartridges & Filters
101,2020-10-03,246.0,Cartridges & Filters
102,2020-10-04,246.0,Cartridges & Filters
103,2020-10-05,246.0,Cartridges & Filters
104,2020-10-06,246.0,Cartridges & Filters
105,2020-10-07,246.0,Cartridges & Filters
106,2020-10-08,246.0,Cartridges & Filters
107,2020-10-09,246.0,Cartridges & Filters
108,2020-10-10,246.0,Cartridges & Filters
109,2020-10-11,246.0,Cartridges & Filters
110,2020-10-12,246.0,Cartridges & Filters
111,2020-10-13,886.0,Cartridges & Filters
112,2020-10-14,1524.0,Cartridges & Filters
113,2020-10-15,1544.0,Cartridges & Filters
114,2020-10-16,1433.0,Cartridges & Filters
115,2020-10-17,1161.0,Cartridges & Filters
116,2020-10-18,781.0,Cartridges & Filters
117,2020-10-19,810.0,Cartridges & Filters
118,2020-10-20,810.0,Cartridges & Filters
119,2020-10-21,840.0,Cartridges & Filters
120,2020-10-22,840.0,Cartridges & Filters
121,2020-10-23,945.0,Cartridges & Filters
122,2020-10-24,945.0,Cartridges & Filters
123,2020-10-25,945.0,Cartridges & Filters
124,2020-10-26,3289.0,Cartridges & Filters
125,2020-10-27,3926.0,Cartridges & Filters
126,2020-10-28,3926.0,Cartridges & Filters
127,2020-10-29,3926.0,Cartridges & Filters
128,2020-10-30,4035.0,Cartridges & Filters
129,2020-10-31,3709.0,Cartridges & Filters
130,2020-11-01,3781.0,Cartridges & Filters
131,2020-11-02,3781.0,Cartridges & Filters
132,2020-11-03,5478.0,Cartridges & Filters
133,2020-11-04,6874.0,Cartridges & Filters
134,2020-11-05,6357.0,Cartridges & Filters
135,2020-11-06,5018.0,Cartridges & Filters
136,2020-11-07,3464.0,Cartridges & Filters
137,2020-11-08,4375.0,Cartridges & Filters
138,2020-11-09,4284.0,Cartridges & Filters
139,2020-11-10,4284.0,Cartridges & Filters
140,2020-11-11,4191.0,Cartridges & Filters
141,2020-11-12,3461.0,Cartridges & Filters
142,2020-11-13,3461.0,Cartridges & Filters
143,2020-11-14,3461.0,Cartridges & Filters
144,2020-11-15,3461.0,Cartridges & Filters
145,2020-11-16,3234.0,Cartridges & Filters
146,2020-11-17,3401.0,Cartridges & Filters
