,date,value,name_B0897C8583
122,2020-10-01,14326.0,Weed Barrier Fabric
123,2020-10-02,19765.0,Weed Barrier Fabric
124,2020-10-03,19765.0,Weed Barrier Fabric
125,2020-10-04,19765.0,Weed Barrier Fabric
126,2020-10-05,19765.0,Weed Barrier Fabric
127,2020-10-06,19765.0,Weed Barrier Fabric
128,2020-10-07,19765.0,Weed Barrier Fabric
129,2020-10-08,36371.0,Weed Barrier Fabric
130,2020-10-09,36371.0,Weed Barrier Fabric
131,2020-10-10,36371.0,Weed Barrier Fabric
132,2020-10-11,36371.0,Weed Barrier Fabric
133,2020-10-12,31934.0,Weed Barrier Fabric
134,2020-10-13,37098.0,Weed Barrier Fabric
135,2020-10-14,30719.0,Weed Barrier Fabric
136,2020-10-15,30128.0,Weed Barrier Fabric
137,2020-10-16,30128.0,Weed Barrier Fabric
138,2020-10-17,30128.0,Weed Barrier Fabric
139,2020-10-18,30128.0,Weed Barrier Fabric
140,2020-10-19,24311.0,Weed Barrier Fabric
141,2020-10-20,25108.0,Weed Barrier Fabric
142,2020-10-21,29238.0,Weed Barrier Fabric
143,2020-10-22,29238.0,Weed Barrier Fabric
144,2020-10-23,33991.0,Weed Barrier Fabric
145,2020-10-24,33991.0,Weed Barrier Fabric
146,2020-10-25,33991.0,Weed Barrier Fabric
147,2020-10-26,69706.0,Weed Barrier Fabric
148,2020-10-27,43735.0,Weed Barrier Fabric
149,2020-10-28,43735.0,Weed Barrier Fabric
150,2020-10-29,21215.0,Weed Barrier Fabric
151,2020-10-30,21215.0,Weed Barrier Fabric
152,2020-10-31,21215.0,Weed Barrier Fabric
153,2020-11-01,21215.0,Weed Barrier Fabric
154,2020-11-02,21706.0,Weed Barrier Fabric
155,2020-11-03,21706.0,Weed Barrier Fabric
156,2020-11-04,14425.0,Weed Barrier Fabric
157,2020-11-05,14018.0,Weed Barrier Fabric
158,2020-11-06,10949.0,Weed Barrier Fabric
159,2020-11-07,10949.0,Weed Barrier Fabric
160,2020-11-08,10949.0,Weed Barrier Fabric
161,2020-11-09,10949.0,Weed Barrier Fabric
162,2020-11-10,17760.0,Weed Barrier Fabric
163,2020-11-11,22620.0,Weed Barrier Fabric
164,2020-11-12,22620.0,Weed Barrier Fabric
165,2020-11-13,22620.0,Weed Barrier Fabric
166,2020-11-14,22620.0,Weed Barrier Fabric
167,2020-11-15,40683.0,Weed Barrier Fabric
168,2020-11-16,27824.0,Weed Barrier Fabric
169,2020-11-17,27824.0,Weed Barrier Fabric
170,2020-11-18,27824.0,Weed Barrier Fabric
171,2020-11-19,45289.0,Weed Barrier Fabric
172,2020-11-20,45289.0,Weed Barrier Fabric
173,2020-11-21,45289.0,Weed Barrier Fabric
174,2020-11-22,45289.0,Weed Barrier Fabric
175,2020-11-23,46041.0,Weed Barrier Fabric
176,2020-11-24,61974.0,Weed Barrier Fabric
177,2020-11-25,39803.0,Weed Barrier Fabric
178,2020-11-26,42602.0,Weed Barrier Fabric
179,2020-11-27,42602.0,Weed Barrier Fabric
180,2020-11-28,42602.0,Weed Barrier Fabric
181,2020-11-29,42602.0,Weed Barrier Fabric
182,2020-11-30,42602.0,Weed Barrier Fabric
183,2020-12-01,38738.0,Weed Barrier Fabric
184,2020-12-02,38738.0,Weed Barrier Fabric
185,2020-12-03,90249.0,Weed Barrier Fabric
186,2020-12-04,55940.0,Weed Barrier Fabric
187,2020-12-05,55940.0,Weed Barrier Fabric
188,2020-12-06,55940.0,Weed Barrier Fabric
189,2020-12-07,90741.0,Weed Barrier Fabric
190,2020-12-08,90741.0,Weed Barrier Fabric
191,2020-12-09,81391.0,Weed Barrier Fabric
192,2020-12-10,81391.0,Weed Barrier Fabric
