,date,value,name_B00LBUO29S
0,2018-07-11,989.0,Shade Cloth
1,2018-07-12,1454.0,Shade Cloth
2,2018-07-13,1533.0,Shade Cloth
3,2018-07-14,1959.0,Shade Cloth
4,2018-07-15,1959.0,Shade Cloth
5,2018-07-16,3345.0,Shade Cloth
6,2018-07-17,4629.0,Shade Cloth
7,2018-07-18,4529.0,Shade Cloth
8,2018-07-19,4529.0,Shade Cloth
9,2018-07-20,4529.0,Shade Cloth
10,2018-07-21,4152.0,Shade Cloth
11,2018-07-22,4152.0,Shade Cloth
12,2018-07-23,3163.0,Shade Cloth
13,2018-07-24,3163.0,Shade Cloth
14,2018-07-25,3163.0,Shade Cloth
15,2018-07-26,2582.0,Shade Cloth
16,2018-07-27,2582.0,Shade Cloth
17,2018-07-28,2582.0,Shade Cloth
18,2018-07-29,2582.0,Shade Cloth
19,2018-07-30,3333.0,Shade Cloth
20,2018-07-31,3882.0,Shade Cloth
21,2018-08-01,4903.0,Shade Cloth
22,2018-08-02,5074.0,Shade Cloth
23,2018-08-03,4210.0,Shade Cloth
24,2018-08-04,5843.0,Shade Cloth
25,2018-08-05,5843.0,Shade Cloth
26,2018-08-06,6994.0,Shade Cloth
27,2018-08-07,6994.0,Shade Cloth
28,2018-08-08,6994.0,Shade Cloth
29,2018-08-09,4663.0,Shade Cloth
30,2018-08-10,4663.0,Shade Cloth
31,2018-08-11,5818.0,Shade Cloth
32,2018-08-12,4310.0,Shade Cloth
33,2018-08-13,6573.0,Shade Cloth
34,2018-08-14,6573.0,Shade Cloth
35,2018-08-15,6573.0,Shade Cloth
36,2018-08-16,6573.0,Shade Cloth
37,2018-08-17,7372.0,Shade Cloth
38,2018-08-18,7372.0,Shade Cloth
39,2018-08-19,7372.0,Shade Cloth
40,2018-08-20,14582.0,Shade Cloth
41,2018-08-21,14582.0,Shade Cloth
42,2018-08-22,9210.0,Shade Cloth
43,2018-08-23,9210.0,Shade Cloth
44,2018-08-24,12327.0,Shade Cloth
45,2018-08-25,12327.0,Shade Cloth
46,2018-08-26,12327.0,Shade Cloth
47,2018-08-27,8684.0,Shade Cloth
48,2018-08-28,19946.0,Shade Cloth
49,2018-08-29,12428.0,Shade Cloth
50,2018-08-30,9911.0,Shade Cloth
51,2018-08-31,9911.0,Shade Cloth
52,2018-09-01,13413.0,Shade Cloth
53,2018-09-02,13413.0,Shade Cloth
54,2018-09-03,11164.0,Shade Cloth
55,2018-09-04,8407.0,Shade Cloth
56,2018-09-05,5944.0,Shade Cloth
57,2018-09-06,6977.0,Shade Cloth
58,2018-09-07,7959.0,Shade Cloth
59,2018-09-08,12589.0,Shade Cloth
60,2018-09-09,8150.0,Shade Cloth
61,2018-09-10,8150.0,Shade Cloth
