,date,value,name_B07WP1XHPJ
0,2019-10-25,93254.0,Throws
1,2019-10-26,147453.0,Throws
2,2019-10-27,147453.0,Throws
3,2019-10-28,76114.0,Throws
4,2019-10-29,64407.0,Throws
5,2019-10-30,64407.0,Throws
6,2019-10-31,91542.0,Throws
7,2019-11-01,91542.0,Throws
8,2019-11-02,254387.0,Throws
9,2019-11-03,97073.0,Throws
10,2019-11-04,97073.0,Throws
11,2019-11-05,97073.0,Throws
12,2019-11-06,97291.0,Throws
13,2019-11-07,97291.0,Throws
14,2019-11-08,97291.0,Throws
15,2019-11-09,80007.0,Throws
16,2019-11-10,107697.0,Throws
17,2019-11-11,107697.0,Throws
18,2019-11-12,70964.0,Throws
19,2019-11-13,70964.0,Throws
20,2019-11-14,60718.0,Throws
21,2019-11-15,86949.0,Throws
22,2019-11-16,86949.0,Throws
23,2019-11-17,90019.0,Throws
24,2019-11-18,98835.0,Throws
25,2019-11-19,98835.0,Throws
26,2019-11-20,121832.0,Throws
27,2019-11-21,134402.0,Throws
28,2019-11-22,48685.0,Throws
29,2019-11-23,48685.0,Throws
30,2019-11-24,48685.0,Throws
31,2019-11-25,48685.0,Throws
32,2019-11-26,48685.0,Throws
33,2019-11-27,48685.0,Throws
34,2019-11-28,48685.0,Throws
35,2019-11-29,48685.0,Throws
36,2019-11-30,35998.0,Throws
37,2019-12-01,35998.0,Throws
38,2019-12-02,35998.0,Throws
39,2019-12-03,35998.0,Throws
40,2019-12-04,35998.0,Throws
41,2019-12-05,35998.0,Throws
42,2019-12-06,35998.0,Throws
43,2019-12-07,35998.0,Throws
44,2019-12-08,35998.0,Throws
45,2019-12-09,35998.0,Throws
46,2019-12-10,35998.0,Throws
47,2019-12-11,35998.0,Throws
48,2019-12-12,35998.0,Throws
49,2019-12-13,35998.0,Throws
50,2019-12-14,44485.0,Throws
51,2019-12-15,38783.0,Throws
52,2019-12-16,41991.0,Throws
53,2019-12-17,41991.0,Throws
54,2019-12-18,46904.0,Throws
55,2019-12-19,43481.0,Throws
56,2019-12-20,45954.0,Throws
57,2019-12-21,43178.0,Throws
58,2019-12-22,43178.0,Throws
59,2019-12-23,43178.0,Throws
60,2019-12-24,43178.0,Throws
61,2019-12-25,43178.0,Throws
62,2019-12-26,43178.0,Throws
63,2019-12-27,40939.0,Throws
64,2019-12-28,46507.0,Throws
65,2019-12-29,49930.0,Throws
66,2019-12-30,48936.0,Throws
67,2019-12-31,59744.0,Throws
68,2020-01-01,45871.0,Throws
69,2020-01-02,52010.0,Throws
70,2020-01-03,50072.0,Throws
71,2020-01-04,66935.0,Throws
72,2020-01-05,72242.0,Throws
73,2020-01-06,55937.0,Throws
74,2020-01-07,68049.0,Throws
75,2020-01-08,68049.0,Throws
76,2020-01-09,36056.0,Throws
77,2020-01-10,44763.0,Throws
78,2020-01-11,61934.0,Throws
79,2020-01-12,57524.0,Throws
80,2020-01-13,51322.0,Throws
81,2020-01-14,63830.0,Throws
82,2020-01-15,55318.0,Throws
83,2020-01-16,81264.0,Throws
84,2020-01-17,48949.0,Throws
85,2020-01-18,38915.0,Throws
86,2020-01-19,42780.0,Throws
87,2020-01-20,34589.0,Throws
88,2020-01-21,59214.0,Throws
89,2020-01-22,59214.0,Throws
90,2020-01-23,34879.0,Throws
91,2020-01-24,59658.0,Throws
92,2020-01-25,59658.0,Throws
93,2020-01-26,51669.0,Throws
94,2020-01-27,35564.0,Throws
95,2020-01-28,36679.0,Throws
96,2020-01-29,48859.0,Throws
97,2020-01-30,57553.0,Throws
98,2020-01-31,43216.0,Throws
99,2020-02-01,64873.0,Throws
100,2020-02-02,49389.0,Throws
101,2020-02-03,62164.0,Throws
102,2020-02-04,49888.0,Throws
103,2020-02-05,47010.0,Throws
104,2020-02-06,45474.0,Throws
105,2020-02-07,46719.0,Throws
106,2020-02-08,33432.0,Throws
107,2020-02-09,35683.0,Throws
108,2020-02-10,46472.0,Throws
