,date,value,name_B08H8LCNTD
0,2020-09-04,24217.0,Paintings
1,2020-09-05,24217.0,Paintings
2,2020-09-06,24217.0,Paintings
3,2020-09-07,16403.0,Paintings
4,2020-09-08,22613.0,Paintings
5,2020-09-09,24706.0,Paintings
6,2020-09-10,30075.0,Paintings
7,2020-09-11,30075.0,Paintings
8,2020-09-12,30075.0,Paintings
9,2020-09-13,30075.0,Paintings
10,2020-09-14,16348.0,Paintings
11,2020-09-15,17620.0,Paintings
12,2020-09-16,20811.0,Paintings
13,2020-09-17,19350.0,Paintings
14,2020-09-18,15631.0,Paintings
15,2020-09-19,17997.0,Paintings
16,2020-09-20,17997.0,Paintings
17,2020-09-21,17997.0,Paintings
18,2020-09-22,24463.0,Paintings
19,2020-09-23,21479.0,Paintings
20,2020-09-24,21479.0,Paintings
21,2020-09-25,19217.0,Paintings
22,2020-09-26,19217.0,Paintings
23,2020-09-27,19217.0,Paintings
24,2020-09-28,19217.0,Paintings
25,2020-09-29,23170.0,Paintings
26,2020-09-30,21502.0,Paintings
27,2020-10-01,19414.0,Paintings
28,2020-10-02,19414.0,Paintings
29,2020-10-03,19414.0,Paintings
30,2020-10-04,21952.0,Paintings
31,2020-10-05,21952.0,Paintings
32,2020-10-06,21952.0,Paintings
33,2020-10-07,24993.0,Paintings
34,2020-10-08,24993.0,Paintings
35,2020-10-09,25151.0,Paintings
36,2020-10-10,25151.0,Paintings
37,2020-10-11,25151.0,Paintings
38,2020-10-12,21954.0,Paintings
39,2020-10-13,21648.0,Paintings
40,2020-10-14,18280.0,Paintings
41,2020-10-15,21800.0,Paintings
42,2020-10-16,21800.0,Paintings
43,2020-10-17,25982.0,Paintings
44,2020-10-18,25982.0,Paintings
45,2020-10-19,25982.0,Paintings
46,2020-10-20,19906.0,Paintings
47,2020-10-21,19906.0,Paintings
48,2020-10-22,25558.0,Paintings
49,2020-10-23,25558.0,Paintings
50,2020-10-24,24208.0,Paintings
51,2020-10-25,32530.0,Paintings
52,2020-10-26,32530.0,Paintings
53,2020-10-27,32530.0,Paintings
54,2020-10-28,32530.0,Paintings
55,2020-10-29,19413.0,Paintings
56,2020-10-30,28760.0,Paintings
57,2020-10-31,23009.0,Paintings
58,2020-11-01,27550.0,Paintings
59,2020-11-02,22902.0,Paintings
60,2020-11-03,30110.0,Paintings
61,2020-11-04,22659.0,Paintings
62,2020-11-05,19408.0,Paintings
63,2020-11-06,20621.0,Paintings
64,2020-11-07,19870.0,Paintings
65,2020-11-08,19870.0,Paintings
66,2020-11-09,27471.0,Paintings
67,2020-11-10,22455.0,Paintings
68,2020-11-11,21529.0,Paintings
69,2020-11-12,19661.0,Paintings
70,2020-11-13,19177.0,Paintings
71,2020-11-14,19177.0,Paintings
72,2020-11-15,19177.0,Paintings
73,2020-11-16,19177.0,Paintings
74,2020-11-17,19177.0,Paintings
75,2020-11-18,23968.0,Paintings
76,2020-11-19,29978.0,Paintings
77,2020-11-20,29978.0,Paintings
78,2020-11-21,29978.0,Paintings
79,2020-11-22,26629.0,Paintings
80,2020-11-23,27940.0,Paintings
81,2020-11-24,27940.0,Paintings
82,2020-11-25,33344.0,Paintings
83,2020-11-26,31539.0,Paintings
84,2020-11-27,31539.0,Paintings
85,2020-11-28,31539.0,Paintings
86,2020-11-29,23963.0,Paintings
87,2020-11-30,23963.0,Paintings
88,2020-12-01,26864.0,Paintings
89,2020-12-02,26864.0,Paintings
90,2020-12-03,30781.0,Paintings
91,2020-12-04,37213.0,Paintings
92,2020-12-05,37213.0,Paintings
