,date,value,name_B08X67FB7R
56,2021-04-26,17417.0,Bath & Shower Grab Bars
57,2021-04-27,19940.0,Bath & Shower Grab Bars
58,2021-04-28,19940.0,Bath & Shower Grab Bars
59,2021-04-29,19940.0,Bath & Shower Grab Bars
60,2021-04-30,19940.0,Bath & Shower Grab Bars
61,2021-05-01,19940.0,Bath & Shower Grab Bars
62,2021-05-02,18108.0,Bath & Shower Grab Bars
63,2021-05-03,18108.0,Bath & Shower Grab Bars
64,2021-05-04,18108.0,Bath & Shower Grab Bars
65,2021-05-05,18108.0,Bath & Shower Grab Bars
66,2021-05-06,18108.0,Bath & Shower Grab Bars
67,2021-05-07,18108.0,Bath & Shower Grab Bars
68,2021-05-08,16863.0,Bath & Shower Grab Bars
69,2021-05-09,16863.0,Bath & Shower Grab Bars
70,2021-05-10,16863.0,Bath & Shower Grab Bars
71,2021-05-11,16863.0,Bath & Shower Grab Bars
72,2021-05-12,15673.0,Bath & Shower Grab Bars
73,2021-05-13,15673.0,Bath & Shower Grab Bars
74,2021-05-14,15673.0,Bath & Shower Grab Bars
75,2021-05-15,15673.0,Bath & Shower Grab Bars
76,2021-05-16,17155.0,Bath & Shower Grab Bars
77,2021-05-17,17155.0,Bath & Shower Grab Bars
78,2021-05-18,21586.0,Bath & Shower Grab Bars
79,2021-05-19,21586.0,Bath & Shower Grab Bars
80,2021-05-20,17909.0,Bath & Shower Grab Bars
81,2021-05-21,14548.0,Bath & Shower Grab Bars
82,2021-05-22,14548.0,Bath & Shower Grab Bars
83,2021-05-23,15138.0,Bath & Shower Grab Bars
84,2021-05-24,15138.0,Bath & Shower Grab Bars
85,2021-05-25,16915.0,Bath & Shower Grab Bars
86,2021-05-26,16915.0,Bath & Shower Grab Bars
87,2021-05-27,16915.0,Bath & Shower Grab Bars
88,2021-05-28,16915.0,Bath & Shower Grab Bars
89,2021-05-29,14827.0,Bath & Shower Grab Bars
90,2021-05-30,14827.0,Bath & Shower Grab Bars
91,2021-05-31,19789.0,Bath & Shower Grab Bars
92,2021-06-01,20049.0,Bath & Shower Grab Bars
93,2021-06-02,20049.0,Bath & Shower Grab Bars
94,2021-06-03,20049.0,Bath & Shower Grab Bars
95,2021-06-04,20049.0,Bath & Shower Grab Bars
96,2021-06-05,20049.0,Bath & Shower Grab Bars
97,2021-06-06,22698.0,Bath & Shower Grab Bars
98,2021-06-07,22698.0,Bath & Shower Grab Bars
99,2021-06-08,22651.0,Bath & Shower Grab Bars
100,2021-06-09,22651.0,Bath & Shower Grab Bars
101,2021-06-10,22651.0,Bath & Shower Grab Bars
102,2021-06-11,22651.0,Bath & Shower Grab Bars
103,2021-06-12,20944.0,Bath & Shower Grab Bars
104,2021-06-13,20944.0,Bath & Shower Grab Bars
105,2021-06-14,22012.0,Bath & Shower Grab Bars
106,2021-06-15,17312.0,Bath & Shower Grab Bars
107,2021-06-16,24498.0,Bath & Shower Grab Bars
108,2021-06-17,24498.0,Bath & Shower Grab Bars
109,2021-06-18,24498.0,Bath & Shower Grab Bars
110,2021-06-19,24498.0,Bath & Shower Grab Bars
111,2021-06-20,23204.0,Bath & Shower Grab Bars
