,date,value,name_B07ZT5L2KG
0,2019-11-05,49090.0,Recliner Slipcovers
1,2019-11-06,55890.0,Recliner Slipcovers
2,2019-11-07,42659.0,Recliner Slipcovers
3,2019-11-08,41714.0,Recliner Slipcovers
4,2019-11-09,41714.0,Recliner Slipcovers
5,2019-11-10,30515.0,Recliner Slipcovers
6,2019-11-11,24110.0,Recliner Slipcovers
7,2019-11-12,26469.0,Recliner Slipcovers
8,2019-11-13,26613.0,Recliner Slipcovers
9,2019-11-14,26613.0,Recliner Slipcovers
10,2019-11-15,26860.0,Recliner Slipcovers
11,2019-11-16,23013.0,Recliner Slipcovers
12,2019-11-17,23013.0,Recliner Slipcovers
13,2019-11-18,13584.0,Recliner Slipcovers
14,2019-11-19,13584.0,Recliner Slipcovers
15,2019-11-20,23417.0,Recliner Slipcovers
16,2019-11-21,23417.0,Recliner Slipcovers
17,2019-11-22,23417.0,Recliner Slipcovers
18,2019-11-23,23417.0,Recliner Slipcovers
19,2019-11-24,23417.0,Recliner Slipcovers
20,2019-11-25,15138.0,Recliner Slipcovers
21,2019-11-26,15138.0,Recliner Slipcovers
22,2019-11-27,19955.0,Recliner Slipcovers
23,2019-11-28,18371.0,Recliner Slipcovers
24,2019-11-29,27031.0,Recliner Slipcovers
25,2019-11-30,27031.0,Recliner Slipcovers
26,2019-12-01,22466.0,Recliner Slipcovers
27,2019-12-02,27675.0,Recliner Slipcovers
28,2019-12-03,34495.0,Recliner Slipcovers
29,2019-12-04,35904.0,Recliner Slipcovers
30,2019-12-05,35904.0,Recliner Slipcovers
31,2019-12-06,35904.0,Recliner Slipcovers
32,2019-12-07,37849.0,Recliner Slipcovers
33,2019-12-08,37849.0,Recliner Slipcovers
34,2019-12-09,37849.0,Recliner Slipcovers
35,2019-12-10,38180.0,Recliner Slipcovers
36,2019-12-11,38180.0,Recliner Slipcovers
37,2019-12-12,38180.0,Recliner Slipcovers
38,2019-12-13,38180.0,Recliner Slipcovers
39,2019-12-14,48900.0,Recliner Slipcovers
40,2019-12-15,48900.0,Recliner Slipcovers
41,2019-12-16,48900.0,Recliner Slipcovers
42,2019-12-17,48900.0,Recliner Slipcovers
43,2019-12-18,48900.0,Recliner Slipcovers
44,2019-12-19,34010.0,Recliner Slipcovers
45,2019-12-20,34010.0,Recliner Slipcovers
46,2019-12-21,34010.0,Recliner Slipcovers
47,2019-12-22,34010.0,Recliner Slipcovers
48,2019-12-23,34010.0,Recliner Slipcovers
49,2019-12-24,34010.0,Recliner Slipcovers
50,2019-12-25,20795.0,Recliner Slipcovers
51,2019-12-26,20795.0,Recliner Slipcovers
52,2019-12-27,19455.0,Recliner Slipcovers
53,2019-12-28,19455.0,Recliner Slipcovers
54,2019-12-29,19455.0,Recliner Slipcovers
55,2019-12-30,15790.0,Recliner Slipcovers
56,2019-12-31,15790.0,Recliner Slipcovers
57,2020-01-01,15790.0,Recliner Slipcovers
58,2020-01-02,13914.0,Recliner Slipcovers
59,2020-01-03,13914.0,Recliner Slipcovers
60,2020-01-04,13914.0,Recliner Slipcovers
61,2020-01-05,13914.0,Recliner Slipcovers
62,2020-01-06,13914.0,Recliner Slipcovers
63,2020-01-07,16813.0,Recliner Slipcovers
64,2020-01-08,16813.0,Recliner Slipcovers
65,2020-01-09,16813.0,Recliner Slipcovers
66,2020-01-10,16813.0,Recliner Slipcovers
67,2020-01-11,10079.0,Recliner Slipcovers
68,2020-01-12,10079.0,Recliner Slipcovers
69,2020-01-13,10079.0,Recliner Slipcovers
70,2020-01-14,10079.0,Recliner Slipcovers
71,2020-01-15,10079.0,Recliner Slipcovers
72,2020-01-16,11739.0,Recliner Slipcovers
73,2020-01-17,7757.0,Recliner Slipcovers
74,2020-01-18,7757.0,Recliner Slipcovers
75,2020-01-19,7757.0,Recliner Slipcovers
76,2020-01-20,7757.0,Recliner Slipcovers
77,2020-01-21,7757.0,Recliner Slipcovers
78,2020-01-22,7866.0,Recliner Slipcovers
79,2020-01-23,7866.0,Recliner Slipcovers
80,2020-01-24,7866.0,Recliner Slipcovers
81,2020-01-25,7866.0,Recliner Slipcovers
82,2020-01-26,7866.0,Recliner Slipcovers
83,2020-01-27,7866.0,Recliner Slipcovers
84,2020-01-28,7866.0,Recliner Slipcovers
85,2020-01-29,7866.0,Recliner Slipcovers
86,2020-01-30,7866.0,Recliner Slipcovers
87,2020-01-31,7866.0,Recliner Slipcovers
88,2020-02-01,7866.0,Recliner Slipcovers
89,2020-02-02,7866.0,Recliner Slipcovers
90,2020-02-03,9174.0,Recliner Slipcovers
91,2020-02-04,9174.0,Recliner Slipcovers
92,2020-02-05,9174.0,Recliner Slipcovers
93,2020-02-06,9275.0,Recliner Slipcovers
94,2020-02-07,9275.0,Recliner Slipcovers
95,2020-02-08,9275.0,Recliner Slipcovers
96,2020-02-09,9275.0,Recliner Slipcovers
97,2020-02-10,9275.0,Recliner Slipcovers
98,2020-02-11,9275.0,Recliner Slipcovers
99,2020-02-12,9275.0,Recliner Slipcovers
100,2020-02-13,13244.0,Recliner Slipcovers
101,2020-02-14,13244.0,Recliner Slipcovers
102,2020-02-15,13244.0,Recliner Slipcovers
103,2020-02-16,13244.0,Recliner Slipcovers
104,2020-02-17,13244.0,Recliner Slipcovers
105,2020-02-18,13244.0,Recliner Slipcovers
106,2020-02-19,19405.0,Recliner Slipcovers
107,2020-02-20,19405.0,Recliner Slipcovers
108,2020-02-21,19405.0,Recliner Slipcovers
109,2020-02-22,19405.0,Recliner Slipcovers
110,2020-02-23,19405.0,Recliner Slipcovers
111,2020-02-24,13220.0,Recliner Slipcovers
112,2020-02-25,11089.0,Recliner Slipcovers
113,2020-02-26,11089.0,Recliner Slipcovers
114,2020-02-27,11089.0,Recliner Slipcovers
115,2020-02-28,11484.0,Recliner Slipcovers
116,2020-02-29,11484.0,Recliner Slipcovers
117,2020-03-01,11484.0,Recliner Slipcovers
118,2020-03-02,11484.0,Recliner Slipcovers
119,2020-03-03,11925.0,Recliner Slipcovers
120,2020-03-04,11925.0,Recliner Slipcovers
121,2020-03-05,11925.0,Recliner Slipcovers
122,2020-03-06,12773.0,Recliner Slipcovers
123,2020-03-07,12773.0,Recliner Slipcovers
124,2020-03-08,12773.0,Recliner Slipcovers
125,2020-03-09,12773.0,Recliner Slipcovers
126,2020-03-10,12773.0,Recliner Slipcovers
127,2020-03-11,12773.0,Recliner Slipcovers
128,2020-03-12,12773.0,Recliner Slipcovers
129,2020-03-13,12773.0,Recliner Slipcovers
130,2020-03-14,12773.0,Recliner Slipcovers
131,2020-03-15,12773.0,Recliner Slipcovers
132,2020-03-16,21598.0,Recliner Slipcovers
133,2020-03-17,21598.0,Recliner Slipcovers
134,2020-03-18,21598.0,Recliner Slipcovers
135,2020-03-19,19599.0,Recliner Slipcovers
136,2020-03-20,19599.0,Recliner Slipcovers
137,2020-03-21,19599.0,Recliner Slipcovers
138,2020-03-22,19599.0,Recliner Slipcovers
139,2020-03-23,19599.0,Recliner Slipcovers
140,2020-03-24,19599.0,Recliner Slipcovers
141,2020-03-25,19599.0,Recliner Slipcovers
142,2020-03-26,50220.0,Recliner Slipcovers
143,2020-03-27,50220.0,Recliner Slipcovers
144,2020-03-28,50220.0,Recliner Slipcovers
145,2020-03-29,50220.0,Recliner Slipcovers
146,2020-03-30,50220.0,Recliner Slipcovers
147,2020-03-31,50220.0,Recliner Slipcovers
148,2020-04-01,42248.0,Recliner Slipcovers
149,2020-04-02,42248.0,Recliner Slipcovers
150,2020-04-03,42248.0,Recliner Slipcovers
151,2020-04-04,42248.0,Recliner Slipcovers
152,2020-04-05,42248.0,Recliner Slipcovers
153,2020-04-06,42248.0,Recliner Slipcovers
154,2020-04-07,42248.0,Recliner Slipcovers
155,2020-04-08,30714.0,Recliner Slipcovers
156,2020-04-09,30714.0,Recliner Slipcovers
157,2020-04-10,29788.0,Recliner Slipcovers
158,2020-04-11,29788.0,Recliner Slipcovers
159,2020-04-12,29788.0,Recliner Slipcovers
160,2020-04-13,19060.0,Recliner Slipcovers
161,2020-04-14,19616.0,Recliner Slipcovers
162,2020-04-15,19616.0,Recliner Slipcovers
163,2020-04-16,19616.0,Recliner Slipcovers
164,2020-04-17,19616.0,Recliner Slipcovers
165,2020-04-18,19616.0,Recliner Slipcovers
166,2020-04-19,19616.0,Recliner Slipcovers
167,2020-04-20,19616.0,Recliner Slipcovers
168,2020-04-21,14535.0,Recliner Slipcovers
169,2020-04-22,14535.0,Recliner Slipcovers
170,2020-04-23,15417.0,Recliner Slipcovers
171,2020-04-24,15417.0,Recliner Slipcovers
172,2020-04-25,15417.0,Recliner Slipcovers
173,2020-04-26,15215.0,Recliner Slipcovers
174,2020-04-27,15215.0,Recliner Slipcovers
175,2020-04-28,12389.0,Recliner Slipcovers
176,2020-04-29,13212.0,Recliner Slipcovers
177,2020-04-30,13212.0,Recliner Slipcovers
178,2020-05-01,13212.0,Recliner Slipcovers
179,2020-05-02,13212.0,Recliner Slipcovers
180,2020-05-03,13212.0,Recliner Slipcovers
181,2020-05-04,13212.0,Recliner Slipcovers
182,2020-05-05,11388.0,Recliner Slipcovers
183,2020-05-06,11388.0,Recliner Slipcovers
184,2020-05-07,11388.0,Recliner Slipcovers
185,2020-05-08,11388.0,Recliner Slipcovers
186,2020-05-09,9342.0,Recliner Slipcovers
187,2020-05-10,9342.0,Recliner Slipcovers
188,2020-05-11,9342.0,Recliner Slipcovers
189,2020-05-12,7959.0,Recliner Slipcovers
190,2020-05-13,7959.0,Recliner Slipcovers
191,2020-05-14,7959.0,Recliner Slipcovers
192,2020-05-15,7959.0,Recliner Slipcovers
193,2020-05-16,8710.0,Recliner Slipcovers
194,2020-05-17,8710.0,Recliner Slipcovers
195,2020-05-18,11201.0,Recliner Slipcovers
196,2020-05-19,11201.0,Recliner Slipcovers
197,2020-05-20,11201.0,Recliner Slipcovers
198,2020-05-21,10174.0,Recliner Slipcovers
199,2020-05-22,10174.0,Recliner Slipcovers
200,2020-05-23,10174.0,Recliner Slipcovers
201,2020-05-24,8323.0,Recliner Slipcovers
202,2020-05-25,8419.0,Recliner Slipcovers
203,2020-05-26,10580.0,Recliner Slipcovers
204,2020-05-27,10788.0,Recliner Slipcovers
205,2020-05-28,9776.0,Recliner Slipcovers
206,2020-05-29,9776.0,Recliner Slipcovers
207,2020-05-30,9776.0,Recliner Slipcovers
208,2020-05-31,9776.0,Recliner Slipcovers
209,2020-06-01,23317.0,Recliner Slipcovers
210,2020-06-02,23317.0,Recliner Slipcovers
211,2020-06-03,23317.0,Recliner Slipcovers
212,2020-06-04,39049.0,Recliner Slipcovers
213,2020-06-05,39049.0,Recliner Slipcovers
214,2020-06-06,39049.0,Recliner Slipcovers
215,2020-06-07,35273.0,Recliner Slipcovers
216,2020-06-08,35273.0,Recliner Slipcovers
217,2020-06-09,35273.0,Recliner Slipcovers
218,2020-06-10,35273.0,Recliner Slipcovers
219,2020-06-11,48696.0,Recliner Slipcovers
220,2020-06-12,43579.0,Recliner Slipcovers
221,2020-06-13,43579.0,Recliner Slipcovers
222,2020-06-14,43579.0,Recliner Slipcovers
223,2020-06-15,43579.0,Recliner Slipcovers
224,2020-06-16,43579.0,Recliner Slipcovers
225,2020-06-17,43579.0,Recliner Slipcovers
226,2020-06-18,43579.0,Recliner Slipcovers
227,2020-06-19,43579.0,Recliner Slipcovers
228,2020-06-20,43579.0,Recliner Slipcovers
229,2020-06-21,43579.0,Recliner Slipcovers
230,2020-06-22,43579.0,Recliner Slipcovers
231,2020-06-23,33867.0,Recliner Slipcovers
232,2020-06-24,33867.0,Recliner Slipcovers
233,2020-06-25,27360.0,Recliner Slipcovers
234,2020-06-26,27360.0,Recliner Slipcovers
235,2020-06-27,27360.0,Recliner Slipcovers
236,2020-06-28,27360.0,Recliner Slipcovers
237,2020-06-29,27360.0,Recliner Slipcovers
238,2020-06-30,27662.0,Recliner Slipcovers
239,2020-07-01,27662.0,Recliner Slipcovers
240,2020-07-02,27662.0,Recliner Slipcovers
241,2020-07-03,27662.0,Recliner Slipcovers
242,2020-07-04,30105.0,Recliner Slipcovers
243,2020-07-05,30105.0,Recliner Slipcovers
244,2020-07-06,30105.0,Recliner Slipcovers
245,2020-07-07,30105.0,Recliner Slipcovers
246,2020-07-08,45294.0,Recliner Slipcovers
247,2020-07-09,45294.0,Recliner Slipcovers
248,2020-07-10,45294.0,Recliner Slipcovers
249,2020-07-11,45294.0,Recliner Slipcovers
250,2020-07-12,45294.0,Recliner Slipcovers
251,2020-07-13,126127.0,Recliner Slipcovers
252,2020-07-14,93406.0,Recliner Slipcovers
253,2020-07-15,93406.0,Recliner Slipcovers
254,2020-07-16,155464.0,Recliner Slipcovers
255,2020-07-17,155464.0,Recliner Slipcovers
256,2020-07-18,62810.0,Recliner Slipcovers
257,2020-07-19,62810.0,Recliner Slipcovers
258,2020-07-20,36268.0,Recliner Slipcovers
259,2020-07-21,28622.0,Recliner Slipcovers
260,2020-07-22,27390.0,Recliner Slipcovers
261,2020-07-23,27390.0,Recliner Slipcovers
262,2020-07-24,27390.0,Recliner Slipcovers
263,2020-07-25,27390.0,Recliner Slipcovers
264,2020-07-26,18526.0,Recliner Slipcovers
265,2020-07-27,18526.0,Recliner Slipcovers
266,2020-07-28,18526.0,Recliner Slipcovers
267,2020-07-29,18526.0,Recliner Slipcovers
268,2020-07-30,15202.0,Recliner Slipcovers
269,2020-07-31,15202.0,Recliner Slipcovers
270,2020-08-01,15202.0,Recliner Slipcovers
271,2020-08-02,15202.0,Recliner Slipcovers
272,2020-08-03,17082.0,Recliner Slipcovers
273,2020-08-04,17082.0,Recliner Slipcovers
274,2020-08-05,17082.0,Recliner Slipcovers
275,2020-08-06,20821.0,Recliner Slipcovers
276,2020-08-07,20821.0,Recliner Slipcovers
277,2020-08-08,20821.0,Recliner Slipcovers
278,2020-08-09,22221.0,Recliner Slipcovers
279,2020-08-10,22221.0,Recliner Slipcovers
280,2020-08-11,24173.0,Recliner Slipcovers
281,2020-08-12,24173.0,Recliner Slipcovers
282,2020-08-13,24173.0,Recliner Slipcovers
283,2020-08-14,10946.0,Recliner Slipcovers
284,2020-08-15,10653.0,Recliner Slipcovers
285,2020-08-16,10653.0,Recliner Slipcovers
286,2020-08-17,11651.0,Recliner Slipcovers
287,2020-08-18,11651.0,Recliner Slipcovers
288,2020-08-19,11651.0,Recliner Slipcovers
289,2020-08-20,10620.0,Recliner Slipcovers
290,2020-08-21,10620.0,Recliner Slipcovers
291,2020-08-22,10620.0,Recliner Slipcovers
292,2020-08-23,10620.0,Recliner Slipcovers
293,2020-08-24,8528.0,Recliner Slipcovers
294,2020-08-25,8528.0,Recliner Slipcovers
295,2020-08-26,8528.0,Recliner Slipcovers
296,2020-08-27,8528.0,Recliner Slipcovers
297,2020-08-28,8034.0,Recliner Slipcovers
298,2020-08-29,8034.0,Recliner Slipcovers
299,2020-08-30,8331.0,Recliner Slipcovers
300,2020-08-31,8331.0,Recliner Slipcovers
301,2020-09-01,8331.0,Recliner Slipcovers
302,2020-09-02,8331.0,Recliner Slipcovers
303,2020-09-03,9214.0,Recliner Slipcovers
304,2020-09-04,9214.0,Recliner Slipcovers
305,2020-09-05,9214.0,Recliner Slipcovers
306,2020-09-06,9214.0,Recliner Slipcovers
307,2020-09-07,9214.0,Recliner Slipcovers
308,2020-09-08,9214.0,Recliner Slipcovers
309,2020-09-09,7507.0,Recliner Slipcovers
310,2020-09-10,7507.0,Recliner Slipcovers
311,2020-09-11,7886.0,Recliner Slipcovers
312,2020-09-12,7886.0,Recliner Slipcovers
313,2020-09-13,7886.0,Recliner Slipcovers
