,date,value,name_B07WJLG2HV
151,2020-01-14,4932.0,Rug Pads
152,2020-01-15,5848.0,Rug Pads
153,2020-01-16,5848.0,Rug Pads
154,2020-01-17,5878.0,Rug Pads
155,2020-01-18,5878.0,Rug Pads
156,2020-01-19,5878.0,Rug Pads
157,2020-01-20,3869.0,Rug Pads
158,2020-01-21,3869.0,Rug Pads
159,2020-01-22,3869.0,Rug Pads
160,2020-01-23,3869.0,Rug Pads
161,2020-01-24,3869.0,Rug Pads
162,2020-01-25,5648.0,Rug Pads
163,2020-01-26,5648.0,Rug Pads
164,2020-01-27,5648.0,Rug Pads
165,2020-01-28,6509.0,Rug Pads
166,2020-01-29,6509.0,Rug Pads
167,2020-01-30,6509.0,Rug Pads
168,2020-01-31,4889.0,Rug Pads
169,2020-02-01,4889.0,Rug Pads
170,2020-02-02,4889.0,Rug Pads
171,2020-02-03,5277.0,Rug Pads
172,2020-02-04,5277.0,Rug Pads
173,2020-02-05,7487.0,Rug Pads
174,2020-02-06,7487.0,Rug Pads
175,2020-02-07,7487.0,Rug Pads
176,2020-02-08,7487.0,Rug Pads
177,2020-02-09,7487.0,Rug Pads
178,2020-02-10,7487.0,Rug Pads
179,2020-02-11,6623.0,Rug Pads
180,2020-02-12,6623.0,Rug Pads
181,2020-02-13,6623.0,Rug Pads
182,2020-02-14,6623.0,Rug Pads
183,2020-02-15,6623.0,Rug Pads
184,2020-02-16,6623.0,Rug Pads
185,2020-02-17,6420.0,Rug Pads
186,2020-02-18,6420.0,Rug Pads
187,2020-02-19,6420.0,Rug Pads
188,2020-02-20,6420.0,Rug Pads
189,2020-02-21,6420.0,Rug Pads
190,2020-02-22,9849.0,Rug Pads
191,2020-02-23,9849.0,Rug Pads
192,2020-02-24,9849.0,Rug Pads
193,2020-02-25,9441.0,Rug Pads
194,2020-02-26,9441.0,Rug Pads
195,2020-02-27,4906.0,Rug Pads
196,2020-02-28,4906.0,Rug Pads
197,2020-02-29,4906.0,Rug Pads
198,2020-03-01,4906.0,Rug Pads
199,2020-03-02,4906.0,Rug Pads
200,2020-03-03,4681.0,Rug Pads
201,2020-03-04,4681.0,Rug Pads
202,2020-03-05,4681.0,Rug Pads
203,2020-03-06,4681.0,Rug Pads
204,2020-03-07,-1.0,Rug Pads
