,date,value,name_B08SQQNGSX
0,2021-06-04,62774,Container Sets
1,2021-06-05,62614,Container Sets
2,2021-06-06,20015,Container Sets
3,2021-06-07,23128,Container Sets
4,2021-06-08,21994,Container Sets
5,2021-06-09,27329,Container Sets
6,2021-06-10,31090,Container Sets
7,2021-06-11,26223,Container Sets
8,2021-06-12,24766,Container Sets
9,2021-06-13,25462,Container Sets
10,2021-06-14,25056,Container Sets
11,2021-06-15,24485,Container Sets
12,2021-06-16,26328,Container Sets
13,2021-06-17,24085,Container Sets
14,2021-06-18,30183,Container Sets
15,2021-06-19,24029,Container Sets
16,2021-06-20,19174,Container Sets
17,2021-06-21,14814,Container Sets
18,2021-06-22,19944,Container Sets
19,2021-06-23,20646,Container Sets
20,2021-06-24,19203,Container Sets
21,2021-06-25,17634,Container Sets
22,2021-06-26,20415,Container Sets
23,2021-06-27,21763,Container Sets
24,2021-06-28,18300,Container Sets
25,2021-06-29,26249,Container Sets
26,2021-06-30,26066,Container Sets
27,2021-07-01,24365,Container Sets
28,2021-07-02,22739,Container Sets
29,2021-07-03,21900,Container Sets
30,2021-07-04,14727,Container Sets
31,2021-07-05,17737,Container Sets
32,2021-07-06,16789,Container Sets
33,2021-07-07,16303,Container Sets
34,2021-07-08,19922,Container Sets
35,2021-07-09,25501,Container Sets
