,date,value,name_B08DRSRVMF
0,2020-08-21,94060.0,Place Mats
1,2020-08-22,94060.0,Place Mats
2,2020-08-23,94060.0,Place Mats
3,2020-08-24,94060.0,Place Mats
4,2020-08-25,60444.0,Place Mats
5,2020-08-26,60444.0,Place Mats
6,2020-08-27,60444.0,Place Mats
7,2020-08-28,60444.0,Place Mats
8,2020-08-29,60444.0,Place Mats
9,2020-08-30,60444.0,Place Mats
10,2020-08-31,60444.0,Place Mats
11,2020-09-01,60444.0,Place Mats
12,2020-09-02,60444.0,Place Mats
13,2020-09-03,60444.0,Place Mats
14,2020-09-04,60444.0,Place Mats
15,2020-09-05,60444.0,Place Mats
16,2020-09-06,60444.0,Place Mats
17,2020-09-07,44275.0,Place Mats
18,2020-09-08,44275.0,Place Mats
19,2020-09-09,44275.0,Place Mats
20,2020-09-10,44275.0,Place Mats
21,2020-09-11,44275.0,Place Mats
22,2020-09-12,70182.0,Place Mats
23,2020-09-13,70182.0,Place Mats
24,2020-09-14,70182.0,Place Mats
25,2020-09-15,70182.0,Place Mats
26,2020-09-16,70182.0,Place Mats
27,2020-09-17,70182.0,Place Mats
28,2020-09-18,70182.0,Place Mats
29,2020-09-19,49191.0,Place Mats
30,2020-09-20,49191.0,Place Mats
31,2020-09-21,49191.0,Place Mats
32,2020-09-22,49191.0,Place Mats
33,2020-09-23,58895.0,Place Mats
34,2020-09-24,58895.0,Place Mats
35,2020-09-25,58895.0,Place Mats
36,2020-09-26,58895.0,Place Mats
37,2020-09-27,58895.0,Place Mats
38,2020-09-28,41128.0,Place Mats
39,2020-09-29,41128.0,Place Mats
40,2020-09-30,41128.0,Place Mats
41,2020-10-01,41128.0,Place Mats
42,2020-10-02,41128.0,Place Mats
43,2020-10-03,41128.0,Place Mats
44,2020-10-04,41128.0,Place Mats
45,2020-10-05,41128.0,Place Mats
46,2020-10-06,41128.0,Place Mats
47,2020-10-07,41128.0,Place Mats
48,2020-10-08,41128.0,Place Mats
49,2020-10-09,41128.0,Place Mats
50,2020-10-10,41128.0,Place Mats
51,2020-10-11,41128.0,Place Mats
52,2020-10-12,41128.0,Place Mats
53,2020-10-13,41128.0,Place Mats
54,2020-10-14,41128.0,Place Mats
55,2020-10-15,39330.0,Place Mats
56,2020-10-16,39330.0,Place Mats
57,2020-10-17,39330.0,Place Mats
58,2020-10-18,39330.0,Place Mats
59,2020-10-19,40601.0,Place Mats
60,2020-10-20,40601.0,Place Mats
61,2020-10-21,40601.0,Place Mats
62,2020-10-22,44552.0,Place Mats
63,2020-10-23,58989.0,Place Mats
64,2020-10-24,58989.0,Place Mats
65,2020-10-25,58989.0,Place Mats
66,2020-10-26,64385.0,Place Mats
67,2020-10-27,64385.0,Place Mats
68,2020-10-28,64385.0,Place Mats
69,2020-10-29,77290.0,Place Mats
70,2020-10-30,77290.0,Place Mats
71,2020-10-31,77290.0,Place Mats
72,2020-11-01,77290.0,Place Mats
73,2020-11-02,62392.0,Place Mats
74,2020-11-03,62392.0,Place Mats
75,2020-11-04,62392.0,Place Mats
76,2020-11-05,38660.0,Place Mats
77,2020-11-06,38660.0,Place Mats
78,2020-11-07,38660.0,Place Mats
79,2020-11-08,38660.0,Place Mats
80,2020-11-09,40937.0,Place Mats
81,2020-11-10,40937.0,Place Mats
82,2020-11-11,40937.0,Place Mats
83,2020-11-12,40005.0,Place Mats
84,2020-11-13,40005.0,Place Mats
85,2020-11-14,40005.0,Place Mats
86,2020-11-15,83790.0,Place Mats
87,2020-11-16,83790.0,Place Mats
88,2020-11-17,83790.0,Place Mats
89,2020-11-18,83790.0,Place Mats
90,2020-11-19,83790.0,Place Mats
91,2020-11-20,45418.0,Place Mats
92,2020-11-21,45418.0,Place Mats
93,2020-11-22,45418.0,Place Mats
94,2020-11-23,45418.0,Place Mats
95,2020-11-24,45418.0,Place Mats
96,2020-11-25,45418.0,Place Mats
97,2020-11-26,45418.0,Place Mats
98,2020-11-27,91360.0,Place Mats
99,2020-11-28,91360.0,Place Mats
100,2020-11-29,91360.0,Place Mats
101,2020-11-30,91360.0,Place Mats
102,2020-12-01,91360.0,Place Mats
103,2020-12-02,91360.0,Place Mats
104,2020-12-03,91360.0,Place Mats
105,2020-12-04,91360.0,Place Mats
106,2020-12-05,91360.0,Place Mats
107,2020-12-06,91360.0,Place Mats
108,2020-12-07,91360.0,Place Mats
109,2020-12-08,79647.0,Place Mats
110,2020-12-09,79647.0,Place Mats
111,2020-12-10,79647.0,Place Mats
112,2020-12-11,79647.0,Place Mats
113,2020-12-12,79647.0,Place Mats
114,2020-12-13,79647.0,Place Mats
115,2020-12-14,93261.0,Place Mats
116,2020-12-15,93261.0,Place Mats
117,2020-12-16,93261.0,Place Mats
118,2020-12-17,93261.0,Place Mats
119,2020-12-18,93261.0,Place Mats
120,2020-12-19,93261.0,Place Mats
121,2020-12-20,93261.0,Place Mats
122,2020-12-21,93261.0,Place Mats
123,2020-12-22,93261.0,Place Mats
124,2020-12-23,76517.0,Place Mats
125,2020-12-24,76517.0,Place Mats
126,2020-12-25,76517.0,Place Mats
127,2020-12-26,64932.0,Place Mats
128,2020-12-27,64932.0,Place Mats
129,2020-12-28,64932.0,Place Mats
130,2020-12-29,36496.0,Place Mats
131,2020-12-30,36496.0,Place Mats
132,2020-12-31,36496.0,Place Mats
133,2021-01-01,36496.0,Place Mats
134,2021-01-02,36745.0,Place Mats
135,2021-01-03,36745.0,Place Mats
136,2021-01-04,36745.0,Place Mats
137,2021-01-05,36745.0,Place Mats
138,2021-01-06,37107.0,Place Mats
139,2021-01-07,37107.0,Place Mats
140,2021-01-08,37107.0,Place Mats
141,2021-01-09,37107.0,Place Mats
142,2021-01-10,37107.0,Place Mats
143,2021-01-11,37107.0,Place Mats
144,2021-01-12,37107.0,Place Mats
145,2021-01-13,24952.0,Place Mats
146,2021-01-14,24952.0,Place Mats
147,2021-01-15,24952.0,Place Mats
148,2021-01-16,24952.0,Place Mats
149,2021-01-17,24952.0,Place Mats
150,2021-01-18,29869.0,Place Mats
151,2021-01-19,46662.0,Place Mats
152,2021-01-20,46662.0,Place Mats
153,2021-01-21,46662.0,Place Mats
154,2021-01-22,46662.0,Place Mats
155,2021-01-23,46662.0,Place Mats
156,2021-01-24,34441.0,Place Mats
157,2021-01-25,34441.0,Place Mats
158,2021-01-26,34441.0,Place Mats
159,2021-01-27,34441.0,Place Mats
160,2021-01-28,29368.0,Place Mats
161,2021-01-29,29368.0,Place Mats
162,2021-01-30,35890.0,Place Mats
163,2021-01-31,35890.0,Place Mats
164,2021-02-01,38126.0,Place Mats
165,2021-02-02,38021.0,Place Mats
166,2021-02-03,38021.0,Place Mats
167,2021-02-04,38021.0,Place Mats
168,2021-02-05,38021.0,Place Mats
169,2021-02-06,38021.0,Place Mats
170,2021-02-07,38021.0,Place Mats
171,2021-02-08,38021.0,Place Mats
172,2021-02-09,27203.0,Place Mats
173,2021-02-10,27203.0,Place Mats
174,2021-02-11,27203.0,Place Mats
175,2021-02-12,27203.0,Place Mats
176,2021-02-13,34162.0,Place Mats
177,2021-02-14,21201.0,Place Mats
178,2021-02-15,20344.0,Place Mats
179,2021-02-16,14922.0,Place Mats
180,2021-02-17,14922.0,Place Mats
181,2021-02-18,19015.0,Place Mats
182,2021-02-19,19015.0,Place Mats
183,2021-02-20,15411.0,Place Mats
184,2021-02-21,22822.0,Place Mats
185,2021-02-22,22822.0,Place Mats
186,2021-02-23,22538.0,Place Mats
187,2021-02-24,25078.0,Place Mats
188,2021-02-25,16344.0,Place Mats
189,2021-02-26,16344.0,Place Mats
190,2021-02-27,16344.0,Place Mats
191,2021-02-28,16344.0,Place Mats
192,2021-03-01,16344.0,Place Mats
193,2021-03-02,15396.0,Place Mats
194,2021-03-03,20895.0,Place Mats
195,2021-03-04,20895.0,Place Mats
196,2021-03-05,20895.0,Place Mats
197,2021-03-06,21079.0,Place Mats
198,2021-03-07,21079.0,Place Mats
199,2021-03-08,21079.0,Place Mats
200,2021-03-09,17842.0,Place Mats
201,2021-03-10,17842.0,Place Mats
202,2021-03-11,17842.0,Place Mats
203,2021-03-12,16476.0,Place Mats
204,2021-03-13,11622.0,Place Mats
205,2021-03-14,11622.0,Place Mats
206,2021-03-15,22441.0,Place Mats
207,2021-03-16,23774.0,Place Mats
