,date,value,name_B08J8BGWCR
0,2020-09-20,8446.0,Business Envelopes
1,2020-09-21,11346.0,Business Envelopes
2,2020-09-22,7628.0,Business Envelopes
3,2020-09-23,7628.0,Business Envelopes
4,2020-09-24,3016.0,Business Envelopes
5,2020-09-25,3016.0,Business Envelopes
6,2020-09-26,3016.0,Business Envelopes
7,2020-09-27,7624.0,Business Envelopes
8,2020-09-28,7624.0,Business Envelopes
9,2020-09-29,7624.0,Business Envelopes
10,2020-09-30,4153.0,Business Envelopes
11,2020-10-01,4153.0,Business Envelopes
12,2020-10-02,3349.0,Business Envelopes
13,2020-10-03,3349.0,Business Envelopes
14,2020-10-04,3349.0,Business Envelopes
15,2020-10-05,3349.0,Business Envelopes
16,2020-10-06,2752.0,Business Envelopes
17,2020-10-07,2645.0,Business Envelopes
18,2020-10-08,2645.0,Business Envelopes
19,2020-10-09,2645.0,Business Envelopes
20,2020-10-10,4646.0,Business Envelopes
21,2020-10-11,4646.0,Business Envelopes
22,2020-10-12,9472.0,Business Envelopes
23,2020-10-13,4625.0,Business Envelopes
24,2020-10-14,4625.0,Business Envelopes
25,2020-10-15,4625.0,Business Envelopes
26,2020-10-16,6776.0,Business Envelopes
27,2020-10-17,6776.0,Business Envelopes
28,2020-10-18,6776.0,Business Envelopes
29,2020-10-19,6776.0,Business Envelopes
30,2020-10-20,6776.0,Business Envelopes
31,2020-10-21,9902.0,Business Envelopes
32,2020-10-22,9902.0,Business Envelopes
33,2020-10-23,9902.0,Business Envelopes
34,2020-10-24,9902.0,Business Envelopes
35,2020-10-25,9902.0,Business Envelopes
36,2020-10-26,9902.0,Business Envelopes
37,2020-10-27,15363.0,Business Envelopes
38,2020-10-28,24295.0,Business Envelopes
39,2020-10-29,20685.0,Business Envelopes
40,2020-10-30,20685.0,Business Envelopes
41,2020-10-31,20685.0,Business Envelopes
42,2020-11-01,20685.0,Business Envelopes
43,2020-11-02,20685.0,Business Envelopes
44,2020-11-03,20685.0,Business Envelopes
45,2020-11-04,20685.0,Business Envelopes
46,2020-11-05,20685.0,Business Envelopes
47,2020-11-06,20685.0,Business Envelopes
48,2020-11-07,14519.0,Business Envelopes
49,2020-11-08,14519.0,Business Envelopes
50,2020-11-09,14519.0,Business Envelopes
51,2020-11-10,14519.0,Business Envelopes
52,2020-11-11,15623.0,Business Envelopes
53,2020-11-12,15623.0,Business Envelopes
54,2020-11-13,10711.0,Business Envelopes
55,2020-11-14,7723.0,Business Envelopes
56,2020-11-15,7723.0,Business Envelopes
57,2020-11-16,18091.0,Business Envelopes
58,2020-11-17,18091.0,Business Envelopes
59,2020-11-18,18091.0,Business Envelopes
60,2020-11-19,18091.0,Business Envelopes
61,2020-11-20,18091.0,Business Envelopes
62,2020-11-21,18091.0,Business Envelopes
63,2020-11-22,12005.0,Business Envelopes
64,2020-11-23,17924.0,Business Envelopes
65,2020-11-24,17924.0,Business Envelopes
66,2020-11-25,4276.0,Business Envelopes
67,2020-11-26,4276.0,Business Envelopes
68,2020-11-27,10734.0,Business Envelopes
69,2020-11-28,10734.0,Business Envelopes
70,2020-11-29,10734.0,Business Envelopes
