,date,value,name_B07YSCCC9R
127,2020-02-12,6136.0,Food Jars & Canisters
128,2020-02-13,6136.0,Food Jars & Canisters
129,2020-02-14,6136.0,Food Jars & Canisters
130,2020-02-15,6136.0,Food Jars & Canisters
131,2020-02-16,6136.0,Food Jars & Canisters
132,2020-02-17,6536.0,Food Jars & Canisters
133,2020-02-18,6536.0,Food Jars & Canisters
134,2020-02-19,6536.0,Food Jars & Canisters
135,2020-02-20,6536.0,Food Jars & Canisters
136,2020-02-21,4772.0,Food Jars & Canisters
137,2020-02-22,4772.0,Food Jars & Canisters
138,2020-02-23,4135.0,Food Jars & Canisters
139,2020-02-24,4942.0,Food Jars & Canisters
140,2020-02-25,4942.0,Food Jars & Canisters
141,2020-02-26,4942.0,Food Jars & Canisters
142,2020-02-27,4942.0,Food Jars & Canisters
143,2020-02-28,4702.0,Food Jars & Canisters
144,2020-02-29,4017.0,Food Jars & Canisters
145,2020-03-01,4017.0,Food Jars & Canisters
146,2020-03-02,5231.0,Food Jars & Canisters
147,2020-03-03,4861.0,Food Jars & Canisters
148,2020-03-04,4918.0,Food Jars & Canisters
149,2020-03-05,4918.0,Food Jars & Canisters
150,2020-03-06,4918.0,Food Jars & Canisters
151,2020-03-07,4918.0,Food Jars & Canisters
152,2020-03-08,4918.0,Food Jars & Canisters
153,2020-03-09,-1.0,Food Jars & Canisters
