,date,value,name_B094FTCRBM
0,2021-05-14,3594.0,Heating Pads
1,2021-05-15,3594.0,Heating Pads
2,2021-05-16,3769.0,Heating Pads
3,2021-05-17,3769.0,Heating Pads
4,2021-05-18,4765.0,Heating Pads
5,2021-05-19,4765.0,Heating Pads
6,2021-05-20,4793.0,Heating Pads
7,2021-05-21,4793.0,Heating Pads
8,2021-05-22,4841.0,Heating Pads
9,2021-05-23,4841.0,Heating Pads
10,2021-05-24,4841.0,Heating Pads
11,2021-05-25,5559.0,Heating Pads
12,2021-05-26,5435.0,Heating Pads
13,2021-05-27,5435.0,Heating Pads
14,2021-05-28,6081.0,Heating Pads
15,2021-05-29,5297.0,Heating Pads
16,2021-05-30,5297.0,Heating Pads
17,2021-05-31,4562.0,Heating Pads
18,2021-06-01,5216.0,Heating Pads
19,2021-06-02,5216.0,Heating Pads
20,2021-06-03,5366.0,Heating Pads
21,2021-06-04,5561.0,Heating Pads
22,2021-06-05,5360.0,Heating Pads
23,2021-06-06,5360.0,Heating Pads
24,2021-06-07,5360.0,Heating Pads
25,2021-06-08,5454.0,Heating Pads
26,2021-06-09,5519.0,Heating Pads
27,2021-06-10,5519.0,Heating Pads
28,2021-06-11,5684.0,Heating Pads
29,2021-06-12,5021.0,Heating Pads
30,2021-06-13,5021.0,Heating Pads
31,2021-06-14,5021.0,Heating Pads
32,2021-06-15,6626.0,Heating Pads
33,2021-06-16,6551.0,Heating Pads
34,2021-06-17,6551.0,Heating Pads
35,2021-06-18,9343.0,Heating Pads
36,2021-06-19,9343.0,Heating Pads
37,2021-06-20,8127.0,Heating Pads
38,2021-06-21,8684.0,Heating Pads
39,2021-06-22,7025.0,Heating Pads
40,2021-06-23,6538.0,Heating Pads
41,2021-06-24,6538.0,Heating Pads
42,2021-06-25,5979.0,Heating Pads
43,2021-06-26,5979.0,Heating Pads
44,2021-06-27,6249.0,Heating Pads
45,2021-06-28,5506.0,Heating Pads
46,2021-06-29,6156.0,Heating Pads
47,2021-06-30,7027.0,Heating Pads
48,2021-07-01,6376.0,Heating Pads
49,2021-07-02,6376.0,Heating Pads
50,2021-07-03,5851.0,Heating Pads
51,2021-07-04,5317.0,Heating Pads
52,2021-07-05,4665.0,Heating Pads
53,2021-07-06,6159.0,Heating Pads
54,2021-07-07,6159.0,Heating Pads
55,2021-07-08,6159.0,Heating Pads
56,2021-07-09,5491.0,Heating Pads
57,2021-07-10,5114.0,Heating Pads
