,date,value,name_B07XP5PCQ8
0,2019-10-16,455670.0,Fitted Sheets
1,2019-10-17,614245.0,Fitted Sheets
2,2019-10-18,734894.0,Fitted Sheets
3,2019-10-19,845707.0,Fitted Sheets
4,2019-10-20,956853.0,Fitted Sheets
5,2019-10-21,380958.0,Fitted Sheets
6,2019-10-22,457940.0,Fitted Sheets
7,2019-10-23,537326.0,Fitted Sheets
8,2019-10-24,701343.0,Fitted Sheets
9,2019-10-25,765683.0,Fitted Sheets
10,2019-10-26,854041.0,Fitted Sheets
11,2019-10-27,949770.0,Fitted Sheets
12,2019-10-28,967943.0,Fitted Sheets
13,2019-10-29,263209.0,Fitted Sheets
14,2019-10-30,257177.0,Fitted Sheets
15,2019-10-31,318565.0,Fitted Sheets
16,2019-11-01,272293.0,Fitted Sheets
17,2019-11-02,148771.0,Fitted Sheets
18,2019-11-03,224219.0,Fitted Sheets
19,2019-11-04,345183.0,Fitted Sheets
20,2019-11-05,399731.0,Fitted Sheets
21,2019-11-06,273093.0,Fitted Sheets
22,2019-11-07,132744.0,Fitted Sheets
23,2019-11-08,304097.0,Fitted Sheets
24,2019-11-09,344026.0,Fitted Sheets
25,2019-11-10,344026.0,Fitted Sheets
26,2019-11-11,344026.0,Fitted Sheets
27,2019-11-12,344026.0,Fitted Sheets
28,2019-11-13,180449.0,Fitted Sheets
29,2019-11-14,180449.0,Fitted Sheets
30,2019-11-15,180449.0,Fitted Sheets
31,2019-11-16,180449.0,Fitted Sheets
32,2019-11-17,180449.0,Fitted Sheets
33,2019-11-18,180449.0,Fitted Sheets
34,2019-11-19,87202.0,Fitted Sheets
35,2019-11-20,87202.0,Fitted Sheets
36,2019-11-21,87202.0,Fitted Sheets
37,2019-11-22,87202.0,Fitted Sheets
38,2019-11-23,87202.0,Fitted Sheets
39,2019-11-24,87202.0,Fitted Sheets
40,2019-11-25,88565.0,Fitted Sheets
41,2019-11-26,88565.0,Fitted Sheets
42,2019-11-27,88565.0,Fitted Sheets
43,2019-11-28,88565.0,Fitted Sheets
44,2019-11-29,88565.0,Fitted Sheets
45,2019-11-30,88565.0,Fitted Sheets
46,2019-12-01,88565.0,Fitted Sheets
47,2019-12-02,88565.0,Fitted Sheets
48,2019-12-03,186885.0,Fitted Sheets
49,2019-12-04,186885.0,Fitted Sheets
50,2019-12-05,186885.0,Fitted Sheets
51,2019-12-06,186885.0,Fitted Sheets
52,2019-12-07,186885.0,Fitted Sheets
53,2019-12-08,186885.0,Fitted Sheets
54,2019-12-09,186885.0,Fitted Sheets
55,2019-12-10,181446.0,Fitted Sheets
56,2019-12-11,181446.0,Fitted Sheets
57,2019-12-12,181446.0,Fitted Sheets
58,2019-12-13,181446.0,Fitted Sheets
59,2019-12-14,181446.0,Fitted Sheets
60,2019-12-15,181446.0,Fitted Sheets
61,2019-12-16,181446.0,Fitted Sheets
62,2019-12-17,181446.0,Fitted Sheets
63,2019-12-18,181446.0,Fitted Sheets
64,2019-12-19,181446.0,Fitted Sheets
65,2019-12-20,226686.0,Fitted Sheets
66,2019-12-21,226686.0,Fitted Sheets
67,2019-12-22,226686.0,Fitted Sheets
68,2019-12-23,226686.0,Fitted Sheets
69,2019-12-24,226686.0,Fitted Sheets
70,2019-12-25,226686.0,Fitted Sheets
71,2019-12-26,357878.0,Fitted Sheets
72,2019-12-27,357878.0,Fitted Sheets
73,2019-12-28,357878.0,Fitted Sheets
74,2019-12-29,357878.0,Fitted Sheets
75,2019-12-30,357878.0,Fitted Sheets
76,2019-12-31,357878.0,Fitted Sheets
77,2020-01-01,357878.0,Fitted Sheets
78,2020-01-02,357878.0,Fitted Sheets
79,2020-01-03,357878.0,Fitted Sheets
