,date,value,name_B0925LR81C
0,2021-05-15,88494.0,Accessories
1,2021-05-16,88494.0,Accessories
2,2021-05-17,63769.0,Accessories
3,2021-05-18,55798.0,Accessories
4,2021-05-19,55798.0,Accessories
5,2021-05-20,37962.0,Accessories
6,2021-05-21,47316.0,Accessories
7,2021-05-22,66989.0,Accessories
8,2021-05-23,66989.0,Accessories
9,2021-05-24,66989.0,Accessories
10,2021-05-25,66989.0,Accessories
11,2021-05-26,66989.0,Accessories
12,2021-05-27,42848.0,Accessories
13,2021-05-28,42848.0,Accessories
14,2021-05-29,44645.0,Accessories
15,2021-05-30,44645.0,Accessories
16,2021-05-31,158144.0,Accessories
17,2021-06-01,252367.0,Accessories
18,2021-06-02,171316.0,Accessories
19,2021-06-03,158642.0,Accessories
20,2021-06-04,158642.0,Accessories
21,2021-06-05,158642.0,Accessories
22,2021-06-06,158642.0,Accessories
23,2021-06-07,331979.0,Accessories
24,2021-06-08,331979.0,Accessories
25,2021-06-09,331979.0,Accessories
26,2021-06-10,467600.0,Accessories
27,2021-06-11,467600.0,Accessories
28,2021-06-12,467600.0,Accessories
29,2021-06-13,467600.0,Accessories
30,2021-06-14,467600.0,Accessories
31,2021-06-15,467600.0,Accessories
32,2021-06-16,586085.0,Accessories
33,2021-06-17,331857.0,Accessories
34,2021-06-18,331857.0,Accessories
35,2021-06-19,331857.0,Accessories
36,2021-06-20,504324.0,Accessories
37,2021-06-21,67381.0,Accessories
38,2021-06-22,28446.0,Accessories
39,2021-06-23,28446.0,Accessories
40,2021-06-24,28446.0,Accessories
41,2021-06-25,63218.0,Accessories
42,2021-06-26,74145.0,Accessories
43,2021-06-27,99613.0,Accessories
44,2021-06-28,57497.0,Accessories
45,2021-06-29,57497.0,Accessories
46,2021-06-30,24046.0,Accessories
47,2021-07-01,36738.0,Accessories
48,2021-07-02,36738.0,Accessories
49,2021-07-03,50718.0,Accessories
50,2021-07-04,50718.0,Accessories
51,2021-07-05,50718.0,Accessories
52,2021-07-06,50718.0,Accessories
53,2021-07-07,61001.0,Accessories
54,2021-07-08,61001.0,Accessories
55,2021-07-09,65513.0,Accessories
