,date,value,name_B07GRYWGKB
0,2018-08-26,127341.0,Home Fragrance Accessories
1,2018-08-27,167148.0,Home Fragrance Accessories
2,2018-08-28,166785.0,Home Fragrance Accessories
3,2018-08-29,178868.0,Home Fragrance Accessories
4,2018-08-30,115961.0,Home Fragrance Accessories
5,2018-08-31,115961.0,Home Fragrance Accessories
6,2018-09-01,115961.0,Home Fragrance Accessories
7,2018-09-02,109711.0,Home Fragrance Accessories
8,2018-09-03,105600.0,Home Fragrance Accessories
9,2018-09-04,62001.0,Home Fragrance Accessories
10,2018-09-05,76433.0,Home Fragrance Accessories
11,2018-09-06,55613.0,Home Fragrance Accessories
12,2018-09-07,55613.0,Home Fragrance Accessories
13,2018-09-08,91900.0,Home Fragrance Accessories
14,2018-09-09,71729.0,Home Fragrance Accessories
15,2018-09-10,62939.0,Home Fragrance Accessories
16,2018-09-11,104750.0,Home Fragrance Accessories
17,2018-09-12,70718.0,Home Fragrance Accessories
18,2018-09-13,70718.0,Home Fragrance Accessories
19,2018-09-14,233413.0,Home Fragrance Accessories
20,2018-09-15,233413.0,Home Fragrance Accessories
21,2018-09-16,106636.0,Home Fragrance Accessories
22,2018-09-17,67994.0,Home Fragrance Accessories
23,2018-09-18,104145.0,Home Fragrance Accessories
24,2018-09-19,131657.0,Home Fragrance Accessories
25,2018-09-20,131657.0,Home Fragrance Accessories
26,2018-09-21,92331.0,Home Fragrance Accessories
27,2018-09-22,96332.0,Home Fragrance Accessories
28,2018-09-23,129452.0,Home Fragrance Accessories
29,2018-09-24,237745.0,Home Fragrance Accessories
30,2018-09-25,192745.0,Home Fragrance Accessories
31,2018-09-26,192745.0,Home Fragrance Accessories
32,2018-09-27,192745.0,Home Fragrance Accessories
33,2018-09-28,383349.0,Home Fragrance Accessories
34,2018-09-29,383349.0,Home Fragrance Accessories
35,2018-09-30,383349.0,Home Fragrance Accessories
36,2018-10-01,187391.0,Home Fragrance Accessories
37,2018-10-02,177834.0,Home Fragrance Accessories
38,2018-10-03,177834.0,Home Fragrance Accessories
39,2018-10-04,240508.0,Home Fragrance Accessories
40,2018-10-05,196692.0,Home Fragrance Accessories
41,2018-10-06,219076.0,Home Fragrance Accessories
42,2018-10-07,219076.0,Home Fragrance Accessories
43,2018-10-08,219076.0,Home Fragrance Accessories
44,2018-10-09,219076.0,Home Fragrance Accessories
45,2018-10-10,182631.0,Home Fragrance Accessories
46,2018-10-11,107514.0,Home Fragrance Accessories
47,2018-10-12,107514.0,Home Fragrance Accessories
48,2018-10-13,131618.0,Home Fragrance Accessories
49,2018-10-14,307583.0,Home Fragrance Accessories
50,2018-10-15,206391.0,Home Fragrance Accessories
51,2018-10-16,155215.0,Home Fragrance Accessories
52,2018-10-17,155215.0,Home Fragrance Accessories
53,2018-10-18,134070.0,Home Fragrance Accessories
54,2018-10-19,246854.0,Home Fragrance Accessories
55,2018-10-20,246854.0,Home Fragrance Accessories
56,2018-10-21,73409.0,Home Fragrance Accessories
57,2018-10-22,133009.0,Home Fragrance Accessories
58,2018-10-23,133009.0,Home Fragrance Accessories
59,2018-10-24,133009.0,Home Fragrance Accessories
60,2018-10-25,133009.0,Home Fragrance Accessories
61,2018-10-26,130600.0,Home Fragrance Accessories
62,2018-10-27,227101.0,Home Fragrance Accessories
63,2018-10-28,336501.0,Home Fragrance Accessories
64,2018-10-29,336501.0,Home Fragrance Accessories
65,2018-10-30,455281.0,Home Fragrance Accessories
