,date,value,name_B07HR22MWW
0,2019-02-11,289475.0,Tablecloths
1,2019-02-12,207587.0,Tablecloths
2,2019-02-13,207587.0,Tablecloths
3,2019-02-14,207587.0,Tablecloths
4,2019-02-15,99390.0,Tablecloths
5,2019-02-16,99390.0,Tablecloths
6,2019-02-17,99390.0,Tablecloths
7,2019-02-18,99390.0,Tablecloths
8,2019-02-19,99390.0,Tablecloths
9,2019-02-20,99390.0,Tablecloths
10,2019-02-21,99390.0,Tablecloths
11,2019-02-22,172439.0,Tablecloths
12,2019-02-23,172439.0,Tablecloths
13,2019-02-24,369069.0,Tablecloths
14,2019-02-25,369069.0,Tablecloths
15,2019-02-26,369069.0,Tablecloths
16,2019-02-27,369069.0,Tablecloths
17,2019-02-28,369069.0,Tablecloths
18,2019-03-01,369069.0,Tablecloths
19,2019-03-02,369069.0,Tablecloths
20,2019-03-03,369069.0,Tablecloths
21,2019-03-04,176150.0,Tablecloths
22,2019-03-05,176150.0,Tablecloths
23,2019-03-06,176150.0,Tablecloths
24,2019-03-07,98691.0,Tablecloths
25,2019-03-08,98691.0,Tablecloths
26,2019-03-09,98691.0,Tablecloths
27,2019-03-10,169066.0,Tablecloths
28,2019-03-11,169066.0,Tablecloths
29,2019-03-12,169066.0,Tablecloths
30,2019-03-13,169066.0,Tablecloths
31,2019-03-14,169066.0,Tablecloths
32,2019-03-15,169066.0,Tablecloths
33,2019-03-16,169066.0,Tablecloths
34,2019-03-17,169066.0,Tablecloths
35,2019-03-18,169066.0,Tablecloths
36,2019-03-19,169066.0,Tablecloths
37,2019-03-20,169066.0,Tablecloths
38,2019-03-21,169066.0,Tablecloths
39,2019-03-22,88229.0,Tablecloths
40,2019-03-23,88229.0,Tablecloths
41,2019-03-24,88229.0,Tablecloths
42,2019-03-25,88229.0,Tablecloths
43,2019-03-26,88229.0,Tablecloths
44,2019-03-27,88229.0,Tablecloths
45,2019-03-28,88229.0,Tablecloths
46,2019-03-29,88229.0,Tablecloths
47,2019-03-30,88229.0,Tablecloths
48,2019-03-31,88229.0,Tablecloths
49,2019-04-01,88229.0,Tablecloths
50,2019-04-02,73089.0,Tablecloths
51,2019-04-03,73089.0,Tablecloths
52,2019-04-04,73089.0,Tablecloths
53,2019-04-05,73089.0,Tablecloths
54,2019-04-06,73089.0,Tablecloths
55,2019-04-07,73089.0,Tablecloths
56,2019-04-08,73089.0,Tablecloths
57,2019-04-09,104963.0,Tablecloths
58,2019-04-10,42129.0,Tablecloths
59,2019-04-11,42129.0,Tablecloths
60,2019-04-12,42129.0,Tablecloths
61,2019-04-13,42129.0,Tablecloths
62,2019-04-14,42129.0,Tablecloths
63,2019-04-15,42129.0,Tablecloths
64,2019-04-16,42129.0,Tablecloths
65,2019-04-17,42129.0,Tablecloths
