,date,value,name_B08VS4X9F1
0,2021-02-10,74399.0,Inflatable Yard Decorations
1,2021-02-11,53777.0,Inflatable Yard Decorations
2,2021-02-12,53777.0,Inflatable Yard Decorations
3,2021-02-13,53777.0,Inflatable Yard Decorations
4,2021-02-14,53777.0,Inflatable Yard Decorations
5,2021-02-15,105866.0,Inflatable Yard Decorations
6,2021-02-16,105866.0,Inflatable Yard Decorations
7,2021-02-17,105866.0,Inflatable Yard Decorations
8,2021-02-18,105866.0,Inflatable Yard Decorations
9,2021-02-19,105866.0,Inflatable Yard Decorations
10,2021-02-20,49606.0,Inflatable Yard Decorations
11,2021-02-21,49606.0,Inflatable Yard Decorations
12,2021-02-22,107884.0,Inflatable Yard Decorations
13,2021-02-23,107884.0,Inflatable Yard Decorations
14,2021-02-24,107884.0,Inflatable Yard Decorations
15,2021-02-25,107884.0,Inflatable Yard Decorations
16,2021-02-26,86619.0,Inflatable Yard Decorations
17,2021-02-27,86619.0,Inflatable Yard Decorations
18,2021-02-28,86619.0,Inflatable Yard Decorations
19,2021-03-01,86619.0,Inflatable Yard Decorations
20,2021-03-02,86619.0,Inflatable Yard Decorations
21,2021-03-03,86619.0,Inflatable Yard Decorations
22,2021-03-04,86619.0,Inflatable Yard Decorations
23,2021-03-05,22447.0,Inflatable Yard Decorations
24,2021-03-06,22447.0,Inflatable Yard Decorations
25,2021-03-07,22447.0,Inflatable Yard Decorations
26,2021-03-08,60547.0,Inflatable Yard Decorations
27,2021-03-09,79867.0,Inflatable Yard Decorations
28,2021-03-10,79867.0,Inflatable Yard Decorations
29,2021-03-11,79867.0,Inflatable Yard Decorations
30,2021-03-12,79867.0,Inflatable Yard Decorations
31,2021-03-13,15848.0,Inflatable Yard Decorations
32,2021-03-14,15848.0,Inflatable Yard Decorations
33,2021-03-15,15848.0,Inflatable Yard Decorations
34,2021-03-16,39259.0,Inflatable Yard Decorations
35,2021-03-17,73169.0,Inflatable Yard Decorations
36,2021-03-18,73169.0,Inflatable Yard Decorations
37,2021-03-19,73169.0,Inflatable Yard Decorations
38,2021-03-20,29905.0,Inflatable Yard Decorations
39,2021-03-21,29905.0,Inflatable Yard Decorations
40,2021-03-22,29905.0,Inflatable Yard Decorations
41,2021-03-23,29905.0,Inflatable Yard Decorations
42,2021-03-24,29905.0,Inflatable Yard Decorations
43,2021-03-25,26282.0,Inflatable Yard Decorations
44,2021-03-26,26282.0,Inflatable Yard Decorations
45,2021-03-27,35940.0,Inflatable Yard Decorations
46,2021-03-28,35940.0,Inflatable Yard Decorations
47,2021-03-29,35940.0,Inflatable Yard Decorations
48,2021-03-30,19669.0,Inflatable Yard Decorations
49,2021-03-31,19669.0,Inflatable Yard Decorations
50,2021-04-01,19669.0,Inflatable Yard Decorations
51,2021-04-02,19669.0,Inflatable Yard Decorations
52,2021-04-03,19669.0,Inflatable Yard Decorations
53,2021-04-04,19669.0,Inflatable Yard Decorations
54,2021-04-05,24929.0,Inflatable Yard Decorations
55,2021-04-06,24929.0,Inflatable Yard Decorations
56,2021-04-07,24929.0,Inflatable Yard Decorations
57,2021-04-08,24929.0,Inflatable Yard Decorations
58,2021-04-09,35367.0,Inflatable Yard Decorations
59,2021-04-10,35367.0,Inflatable Yard Decorations
60,2021-04-11,35367.0,Inflatable Yard Decorations
61,2021-04-12,35367.0,Inflatable Yard Decorations
62,2021-04-13,35367.0,Inflatable Yard Decorations
63,2021-04-14,38225.0,Inflatable Yard Decorations
64,2021-04-15,30618.0,Inflatable Yard Decorations
65,2021-04-16,30618.0,Inflatable Yard Decorations
66,2021-04-17,30618.0,Inflatable Yard Decorations
67,2021-04-18,30618.0,Inflatable Yard Decorations
68,2021-04-19,38626.0,Inflatable Yard Decorations
69,2021-04-20,38626.0,Inflatable Yard Decorations
