,date,value,name_B095H5ZDMN
0,2021-05-27,6999.0,Composition Notebooks
1,2021-05-28,6999.0,Composition Notebooks
2,2021-05-29,6999.0,Composition Notebooks
3,2021-05-30,5824.0,Composition Notebooks
4,2021-05-31,7266.0,Composition Notebooks
5,2021-06-01,7266.0,Composition Notebooks
6,2021-06-02,5172.0,Composition Notebooks
7,2021-06-03,5172.0,Composition Notebooks
8,2021-06-04,8129.0,Composition Notebooks
9,2021-06-05,8129.0,Composition Notebooks
10,2021-06-06,8880.0,Composition Notebooks
11,2021-06-07,6828.0,Composition Notebooks
12,2021-06-08,6828.0,Composition Notebooks
13,2021-06-09,6828.0,Composition Notebooks
14,2021-06-10,6660.0,Composition Notebooks
15,2021-06-11,4970.0,Composition Notebooks
16,2021-06-12,4970.0,Composition Notebooks
17,2021-06-13,4970.0,Composition Notebooks
18,2021-06-14,4970.0,Composition Notebooks
19,2021-06-15,4970.0,Composition Notebooks
20,2021-06-16,7029.0,Composition Notebooks
21,2021-06-17,4454.0,Composition Notebooks
22,2021-06-18,4454.0,Composition Notebooks
23,2021-06-19,6598.0,Composition Notebooks
24,2021-06-20,6598.0,Composition Notebooks
25,2021-06-21,6201.0,Composition Notebooks
26,2021-06-22,8246.0,Composition Notebooks
27,2021-06-23,8246.0,Composition Notebooks
28,2021-06-24,6255.0,Composition Notebooks
29,2021-06-25,5573.0,Composition Notebooks
30,2021-06-26,5573.0,Composition Notebooks
31,2021-06-27,5413.0,Composition Notebooks
32,2021-06-28,5949.0,Composition Notebooks
33,2021-06-29,4089.0,Composition Notebooks
34,2021-06-30,4089.0,Composition Notebooks
35,2021-07-01,6526.0,Composition Notebooks
36,2021-07-02,6526.0,Composition Notebooks
37,2021-07-03,6526.0,Composition Notebooks
38,2021-07-04,6526.0,Composition Notebooks
39,2021-07-05,6190.0,Composition Notebooks
40,2021-07-06,6081.0,Composition Notebooks
41,2021-07-07,6081.0,Composition Notebooks
42,2021-07-08,6081.0,Composition Notebooks
43,2021-07-09,5165.0,Composition Notebooks
44,2021-07-10,5165.0,Composition Notebooks
45,2021-07-11,6397.0,Composition Notebooks
