,date,value,name_B094PF3DMP
0,2021-05-14,10995.0,Flavonoids
1,2021-05-15,9938.0,Flavonoids
2,2021-05-16,10719.0,Flavonoids
3,2021-05-17,10719.0,Flavonoids
4,2021-05-18,11156.0,Flavonoids
5,2021-05-19,11156.0,Flavonoids
6,2021-05-20,9952.0,Flavonoids
7,2021-05-21,9952.0,Flavonoids
8,2021-05-22,10421.0,Flavonoids
9,2021-05-23,10054.0,Flavonoids
10,2021-05-24,11144.0,Flavonoids
11,2021-05-25,11946.0,Flavonoids
12,2021-05-26,11946.0,Flavonoids
13,2021-05-27,14077.0,Flavonoids
14,2021-05-28,14415.0,Flavonoids
15,2021-05-29,14415.0,Flavonoids
16,2021-05-30,13184.0,Flavonoids
17,2021-05-31,13183.0,Flavonoids
18,2021-06-01,12165.0,Flavonoids
19,2021-06-02,12165.0,Flavonoids
20,2021-06-03,12389.0,Flavonoids
21,2021-06-04,12389.0,Flavonoids
22,2021-06-05,14971.0,Flavonoids
23,2021-06-06,14971.0,Flavonoids
24,2021-06-07,14971.0,Flavonoids
25,2021-06-08,12733.0,Flavonoids
26,2021-06-09,10382.0,Flavonoids
27,2021-06-10,10382.0,Flavonoids
28,2021-06-11,14294.0,Flavonoids
29,2021-06-12,14294.0,Flavonoids
30,2021-06-13,14294.0,Flavonoids
31,2021-06-14,12000.0,Flavonoids
32,2021-06-15,12000.0,Flavonoids
33,2021-06-16,12637.0,Flavonoids
34,2021-06-17,12637.0,Flavonoids
35,2021-06-18,11957.0,Flavonoids
36,2021-06-19,11957.0,Flavonoids
37,2021-06-20,14748.0,Flavonoids
38,2021-06-21,12191.0,Flavonoids
39,2021-06-22,14010.0,Flavonoids
40,2021-06-23,14010.0,Flavonoids
41,2021-06-24,12621.0,Flavonoids
42,2021-06-25,12621.0,Flavonoids
43,2021-06-26,11860.0,Flavonoids
44,2021-06-27,11860.0,Flavonoids
45,2021-06-28,11860.0,Flavonoids
46,2021-06-29,10698.0,Flavonoids
47,2021-06-30,11615.0,Flavonoids
48,2021-07-01,12398.0,Flavonoids
49,2021-07-02,12398.0,Flavonoids
50,2021-07-03,12941.0,Flavonoids
51,2021-07-04,12941.0,Flavonoids
52,2021-07-05,12941.0,Flavonoids
53,2021-07-06,11951.0,Flavonoids
54,2021-07-07,11951.0,Flavonoids
55,2021-07-08,12163.0,Flavonoids
56,2021-07-09,12163.0,Flavonoids
57,2021-07-10,12850.0,Flavonoids
