,date,value,name_B08HV5G29N
159,2021-02-24,2146.0,Table Runners
160,2021-02-25,2310.0,Table Runners
161,2021-02-26,2956.0,Table Runners
162,2021-02-27,2956.0,Table Runners
163,2021-02-28,2956.0,Table Runners
164,2021-03-01,4160.0,Table Runners
165,2021-03-02,3890.0,Table Runners
166,2021-03-03,2466.0,Table Runners
167,2021-03-04,3401.0,Table Runners
168,2021-03-05,2775.0,Table Runners
169,2021-03-06,2775.0,Table Runners
170,2021-03-07,2775.0,Table Runners
171,2021-03-08,2954.0,Table Runners
172,2021-03-09,2536.0,Table Runners
173,2021-03-10,2560.0,Table Runners
174,2021-03-11,2548.0,Table Runners
175,2021-03-12,3059.0,Table Runners
176,2021-03-13,2884.0,Table Runners
177,2021-03-14,2884.0,Table Runners
178,2021-03-15,3933.0,Table Runners
179,2021-03-16,2891.0,Table Runners
180,2021-03-17,2809.0,Table Runners
181,2021-03-18,2809.0,Table Runners
182,2021-03-19,2910.0,Table Runners
183,2021-03-20,2832.0,Table Runners
184,2021-03-21,3478.0,Table Runners
185,2021-03-22,3181.0,Table Runners
186,2021-03-23,3181.0,Table Runners
187,2021-03-24,2933.0,Table Runners
188,2021-03-25,2933.0,Table Runners
189,2021-03-26,4514.0,Table Runners
190,2021-03-27,4514.0,Table Runners
191,2021-03-28,4514.0,Table Runners
192,2021-03-29,7479.0,Table Runners
193,2021-03-30,5973.0,Table Runners
194,2021-03-31,6482.0,Table Runners
195,2021-04-01,7438.0,Table Runners
196,2021-04-02,10860.0,Table Runners
197,2021-04-03,10860.0,Table Runners
198,2021-04-04,8750.0,Table Runners
199,2021-04-05,7738.0,Table Runners
200,2021-04-06,4978.0,Table Runners
201,2021-04-07,3360.0,Table Runners
202,2021-04-08,2774.0,Table Runners
203,2021-04-09,3291.0,Table Runners
204,2021-04-10,3277.0,Table Runners
205,2021-04-11,3277.0,Table Runners
206,2021-04-12,3576.0,Table Runners
207,2021-04-13,3576.0,Table Runners
208,2021-04-14,2431.0,Table Runners
209,2021-04-15,2431.0,Table Runners
210,2021-04-16,1999.0,Table Runners
211,2021-04-17,1999.0,Table Runners
212,2021-04-18,2248.0,Table Runners
213,2021-04-19,2248.0,Table Runners
214,2021-04-20,1416.0,Table Runners
215,2021-04-21,1538.0,Table Runners
216,2021-04-22,1605.0,Table Runners
217,2021-04-23,1708.0,Table Runners
218,2021-04-24,1708.0,Table Runners
219,2021-04-25,2070.0,Table Runners
220,2021-04-26,2657.0,Table Runners
221,2021-04-27,1582.0,Table Runners
222,2021-04-28,1574.0,Table Runners
223,2021-04-29,1942.0,Table Runners
224,2021-04-30,2226.0,Table Runners
225,2021-05-01,2485.0,Table Runners
226,2021-05-02,2541.0,Table Runners
227,2021-05-03,2541.0,Table Runners
228,2021-05-04,2922.0,Table Runners
229,2021-05-05,2922.0,Table Runners
230,2021-05-06,3854.0,Table Runners
231,2021-05-07,3854.0,Table Runners
232,2021-05-08,6007.0,Table Runners
233,2021-05-09,6007.0,Table Runners
234,2021-05-10,6829.0,Table Runners
235,2021-05-11,6941.0,Table Runners
236,2021-05-12,6941.0,Table Runners
237,2021-05-13,7091.0,Table Runners
238,2021-05-14,7697.0,Table Runners
239,2021-05-15,7697.0,Table Runners
240,2021-05-16,7697.0,Table Runners
241,2021-05-17,7805.0,Table Runners
242,2021-05-18,7805.0,Table Runners
243,2021-05-19,7805.0,Table Runners
244,2021-05-20,10574.0,Table Runners
245,2021-05-21,10574.0,Table Runners
246,2021-05-22,10574.0,Table Runners
247,2021-05-23,10574.0,Table Runners
248,2021-05-24,13507.0,Table Runners
249,2021-05-25,11361.0,Table Runners
250,2021-05-26,6360.0,Table Runners
251,2021-05-27,6155.0,Table Runners
252,2021-05-28,6155.0,Table Runners
253,2021-05-29,4071.0,Table Runners
254,2021-05-30,4071.0,Table Runners
255,2021-05-31,3219.0,Table Runners
256,2021-06-01,3104.0,Table Runners
257,2021-06-02,3740.0,Table Runners
258,2021-06-03,3082.0,Table Runners
259,2021-06-04,2922.0,Table Runners
260,2021-06-05,3154.0,Table Runners
261,2021-06-06,3154.0,Table Runners
262,2021-06-07,3558.0,Table Runners
263,2021-06-08,1870.0,Table Runners
264,2021-06-09,1768.0,Table Runners
265,2021-06-10,1846.0,Table Runners
266,2021-06-11,1881.0,Table Runners
267,2021-06-12,1881.0,Table Runners
