,date,value,name_B00P5N9X0K
0,2018-07-10,2064.0,Dishwashing
1,2018-07-11,1699.0,Dishwashing
2,2018-07-12,2124.0,Dishwashing
3,2018-07-13,1623.0,Dishwashing
4,2018-07-14,1795.0,Dishwashing
5,2018-07-15,2176.0,Dishwashing
6,2018-07-16,2176.0,Dishwashing
7,2018-07-17,2659.0,Dishwashing
8,2018-07-18,2659.0,Dishwashing
9,2018-07-19,2572.0,Dishwashing
10,2018-07-20,2572.0,Dishwashing
11,2018-07-21,2501.0,Dishwashing
12,2018-07-22,2340.0,Dishwashing
13,2018-07-23,2249.0,Dishwashing
14,2018-07-24,2249.0,Dishwashing
15,2018-07-25,2249.0,Dishwashing
16,2018-07-26,2249.0,Dishwashing
17,2018-07-27,2187.0,Dishwashing
18,2018-07-28,2198.0,Dishwashing
19,2018-07-29,2143.0,Dishwashing
20,2018-07-30,1733.0,Dishwashing
21,2018-07-31,2199.0,Dishwashing
22,2018-08-01,2548.0,Dishwashing
23,2018-08-02,2162.0,Dishwashing
24,2018-08-03,2120.0,Dishwashing
25,2018-08-04,2688.0,Dishwashing
26,2018-08-05,2233.0,Dishwashing
27,2018-08-06,2233.0,Dishwashing
28,2018-08-07,2233.0,Dishwashing
29,2018-08-08,2225.0,Dishwashing
30,2018-08-09,2430.0,Dishwashing
31,2018-08-10,2243.0,Dishwashing
32,2018-08-11,2243.0,Dishwashing
33,2018-08-12,2019.0,Dishwashing
34,2018-08-13,2019.0,Dishwashing
35,2018-08-14,1592.0,Dishwashing
36,2018-08-15,1592.0,Dishwashing
37,2018-08-16,2754.0,Dishwashing
38,2018-08-17,2378.0,Dishwashing
39,2018-08-18,2281.0,Dishwashing
40,2018-08-19,2281.0,Dishwashing
41,2018-08-20,2281.0,Dishwashing
42,2018-08-21,1810.0,Dishwashing
43,2018-08-22,1794.0,Dishwashing
44,2018-08-23,1977.0,Dishwashing
45,2018-08-24,1977.0,Dishwashing
46,2018-08-25,1977.0,Dishwashing
47,2018-08-26,1761.0,Dishwashing
48,2018-08-27,1595.0,Dishwashing
49,2018-08-28,2173.0,Dishwashing
50,2018-08-29,1849.0,Dishwashing
51,2018-08-30,1781.0,Dishwashing
52,2018-08-31,2142.0,Dishwashing
53,2018-09-01,2160.0,Dishwashing
54,2018-09-02,2460.0,Dishwashing
55,2018-09-03,1558.0,Dishwashing
56,2018-09-04,1858.0,Dishwashing
57,2018-09-05,1858.0,Dishwashing
58,2018-09-06,1795.0,Dishwashing
59,2018-09-07,1795.0,Dishwashing
60,2018-09-08,1973.0,Dishwashing
61,2018-09-09,2058.0,Dishwashing
62,2018-09-10,2058.0,Dishwashing
63,2018-09-11,1723.0,Dishwashing
64,2018-09-12,1672.0,Dishwashing
65,2018-09-13,1672.0,Dishwashing
66,2018-09-14,2063.0,Dishwashing
67,2018-09-15,1594.0,Dishwashing
68,2018-09-16,1884.0,Dishwashing
69,2018-09-17,1798.0,Dishwashing
70,2018-09-18,2103.0,Dishwashing
71,2018-09-19,1629.0,Dishwashing
72,2018-09-20,1629.0,Dishwashing
73,2018-09-21,1718.0,Dishwashing
74,2018-09-22,1718.0,Dishwashing
75,2018-09-23,2101.0,Dishwashing
76,2018-09-24,1886.0,Dishwashing
77,2018-09-25,1969.0,Dishwashing
78,2018-09-26,1969.0,Dishwashing
79,2018-09-27,1969.0,Dishwashing
80,2018-09-28,1969.0,Dishwashing
81,2018-09-29,1420.0,Dishwashing
82,2018-09-30,1420.0,Dishwashing
83,2018-10-01,1109.0,Dishwashing
84,2018-10-02,1388.0,Dishwashing
85,2018-10-03,1699.0,Dishwashing
86,2018-10-04,1892.0,Dishwashing
87,2018-10-05,1429.0,Dishwashing
88,2018-10-06,1429.0,Dishwashing
89,2018-10-07,1429.0,Dishwashing
90,2018-10-08,1440.0,Dishwashing
91,2018-10-09,1427.0,Dishwashing
92,2018-10-10,1427.0,Dishwashing
