,date,value,name_B07HNSZP9X
0,2020-05-28,2860.0,Spray
1,2020-05-29,3188.0,Spray
2,2020-05-30,2896.0,Spray
3,2020-05-31,2896.0,Spray
4,2020-06-01,2875.0,Spray
5,2020-06-02,3056.0,Spray
6,2020-06-03,2768.0,Spray
7,2020-06-04,2549.0,Spray
8,2020-06-05,2549.0,Spray
9,2020-06-06,2549.0,Spray
10,2020-06-07,2549.0,Spray
11,2020-06-08,2237.0,Spray
12,2020-06-09,2237.0,Spray
13,2020-06-10,2237.0,Spray
14,2020-06-11,2574.0,Spray
15,2020-06-12,2574.0,Spray
16,2020-06-13,2574.0,Spray
17,2020-06-14,2574.0,Spray
18,2020-06-15,2799.0,Spray
19,2020-06-16,2799.0,Spray
20,2020-06-17,3232.0,Spray
21,2020-06-18,3232.0,Spray
22,2020-06-19,3232.0,Spray
23,2020-06-20,3125.0,Spray
24,2020-06-21,3039.0,Spray
25,2020-06-22,3039.0,Spray
26,2020-06-23,2854.0,Spray
27,2020-06-24,2854.0,Spray
28,2020-06-25,2854.0,Spray
29,2020-06-26,2394.0,Spray
30,2020-06-27,2495.0,Spray
31,2020-06-28,2495.0,Spray
32,2020-06-29,2539.0,Spray
33,2020-06-30,2539.0,Spray
34,2020-07-01,2539.0,Spray
35,2020-07-02,2634.0,Spray
36,2020-07-03,2634.0,Spray
37,2020-07-04,2634.0,Spray
38,2020-07-05,2747.0,Spray
39,2020-07-06,2747.0,Spray
40,2020-07-07,2932.0,Spray
41,2020-07-08,2932.0,Spray
42,2020-07-09,2932.0,Spray
43,2020-07-10,2382.0,Spray
44,2020-07-11,2382.0,Spray
45,2020-07-12,2395.0,Spray
46,2020-07-13,2395.0,Spray
47,2020-07-14,2395.0,Spray
48,2020-07-15,2405.0,Spray
49,2020-07-16,2405.0,Spray
50,2020-07-17,2688.0,Spray
51,2020-07-18,2688.0,Spray
52,2020-07-19,4290.0,Spray
53,2020-07-20,5307.0,Spray
54,2020-07-21,4789.0,Spray
55,2020-07-22,4917.0,Spray
56,2020-07-23,4728.0,Spray
57,2020-07-24,4728.0,Spray
58,2020-07-25,2620.0,Spray
59,2020-07-26,2620.0,Spray
60,2020-07-27,2620.0,Spray
61,2020-07-28,2784.0,Spray
62,2020-07-29,2835.0,Spray
63,2020-07-30,4370.0,Spray
64,2020-07-31,3578.0,Spray
65,2020-08-01,3578.0,Spray
66,2020-08-02,3578.0,Spray
67,2020-08-03,2485.0,Spray
68,2020-08-04,2485.0,Spray
69,2020-08-05,2616.0,Spray
70,2020-08-06,2364.0,Spray
71,2020-08-07,2257.0,Spray
72,2020-08-08,1929.0,Spray
73,2020-08-09,1929.0,Spray
74,2020-08-10,1929.0,Spray
75,2020-08-11,2772.0,Spray
76,2020-08-12,2987.0,Spray
77,2020-08-13,2987.0,Spray
78,2020-08-14,2195.0,Spray
79,2020-08-15,1880.0,Spray
80,2020-08-16,1880.0,Spray
81,2020-08-17,1880.0,Spray
82,2020-08-18,2144.0,Spray
83,2020-08-19,2144.0,Spray
84,2020-08-20,1906.0,Spray
85,2020-08-21,1906.0,Spray
86,2020-08-22,1906.0,Spray
87,2020-08-23,2314.0,Spray
88,2020-08-24,2314.0,Spray
89,2020-08-25,2314.0,Spray
90,2020-08-26,2987.0,Spray
91,2020-08-27,2987.0,Spray
92,2020-08-28,2987.0,Spray
93,2020-08-29,2266.0,Spray
94,2020-08-30,2266.0,Spray
95,2020-08-31,2266.0,Spray
96,2020-09-01,2936.0,Spray
97,2020-09-02,2357.0,Spray
98,2020-09-03,2303.0,Spray
99,2020-09-04,2303.0,Spray
100,2020-09-05,2303.0,Spray
101,2020-09-06,4586.0,Spray
102,2020-09-07,5326.0,Spray
103,2020-09-08,5326.0,Spray
104,2020-09-09,7170.0,Spray
105,2020-09-10,7170.0,Spray
106,2020-09-11,7170.0,Spray
107,2020-09-12,11031.0,Spray
108,2020-09-13,11031.0,Spray
109,2020-09-14,11031.0,Spray
110,2020-09-15,11164.0,Spray
111,2020-09-16,13354.0,Spray
112,2020-09-17,13084.0,Spray
113,2020-09-18,13084.0,Spray
114,2020-09-19,1781.0,Spray
115,2020-09-20,1781.0,Spray
116,2020-09-21,1781.0,Spray
117,2020-09-22,7824.0,Spray
118,2020-09-23,7564.0,Spray
119,2020-09-24,4744.0,Spray
120,2020-09-25,4744.0,Spray
121,2020-09-26,4744.0,Spray
122,2020-09-27,7370.0,Spray
123,2020-09-28,7370.0,Spray
124,2020-09-29,7794.0,Spray
125,2020-09-30,7794.0,Spray
126,2020-10-01,5576.0,Spray
