,date,value,name_B07YV4RLN1
0,2019-11-05,1482597.0,Hanging Planters
1,2019-11-06,1669086.0,Hanging Planters
2,2019-11-07,1709344.0,Hanging Planters
3,2019-11-08,1709344.0,Hanging Planters
4,2019-11-09,1916346.0,Hanging Planters
5,2019-11-10,1916346.0,Hanging Planters
6,2019-11-11,1916346.0,Hanging Planters
7,2019-11-12,2100591.0,Hanging Planters
8,2019-11-13,411457.0,Hanging Planters
9,2019-11-14,411457.0,Hanging Planters
10,2019-11-15,411457.0,Hanging Planters
11,2019-11-16,961108.0,Hanging Planters
12,2019-11-17,961108.0,Hanging Planters
13,2019-11-18,961108.0,Hanging Planters
14,2019-11-19,961108.0,Hanging Planters
15,2019-11-20,1513275.0,Hanging Planters
16,2019-11-21,1513275.0,Hanging Planters
17,2019-11-22,1513275.0,Hanging Planters
18,2019-11-23,1513275.0,Hanging Planters
19,2019-11-24,1894270.0,Hanging Planters
20,2019-11-25,1967933.0,Hanging Planters
21,2019-11-26,1967933.0,Hanging Planters
22,2019-11-27,1967933.0,Hanging Planters
23,2019-11-28,661656.0,Hanging Planters
24,2019-11-29,661656.0,Hanging Planters
25,2019-11-30,661656.0,Hanging Planters
26,2019-12-01,1147483.0,Hanging Planters
27,2019-12-02,1147483.0,Hanging Planters
28,2019-12-03,1404830.0,Hanging Planters
29,2019-12-04,1404830.0,Hanging Planters
30,2019-12-05,1404830.0,Hanging Planters
31,2019-12-06,1404830.0,Hanging Planters
32,2019-12-07,1404830.0,Hanging Planters
33,2019-12-08,1404830.0,Hanging Planters
34,2019-12-09,1404830.0,Hanging Planters
35,2019-12-10,1404830.0,Hanging Planters
36,2019-12-11,1404830.0,Hanging Planters
37,2019-12-12,1404830.0,Hanging Planters
38,2019-12-13,1404830.0,Hanging Planters
39,2019-12-14,1404830.0,Hanging Planters
40,2019-12-15,1404830.0,Hanging Planters
41,2019-12-16,1404830.0,Hanging Planters
42,2019-12-17,1404830.0,Hanging Planters
43,2019-12-18,1857854.0,Hanging Planters
44,2019-12-19,1857854.0,Hanging Planters
45,2019-12-20,485603.0,Hanging Planters
46,2019-12-21,485603.0,Hanging Planters
47,2019-12-22,485603.0,Hanging Planters
48,2019-12-23,485603.0,Hanging Planters
49,2019-12-24,485603.0,Hanging Planters
50,2019-12-25,485603.0,Hanging Planters
51,2019-12-26,485603.0,Hanging Planters
52,2019-12-27,485603.0,Hanging Planters
53,2019-12-28,485603.0,Hanging Planters
