,date,value,name_B08JGTN6KV
0,2020-09-21,61142.0,Quilt Sets
1,2020-09-22,61142.0,Quilt Sets
2,2020-09-23,61142.0,Quilt Sets
3,2020-09-24,61142.0,Quilt Sets
4,2020-09-25,61142.0,Quilt Sets
5,2020-09-26,64910.0,Quilt Sets
6,2020-09-27,65743.0,Quilt Sets
7,2020-09-28,65743.0,Quilt Sets
8,2020-09-29,65743.0,Quilt Sets
9,2020-09-30,65743.0,Quilt Sets
10,2020-10-01,65743.0,Quilt Sets
11,2020-10-02,65743.0,Quilt Sets
12,2020-10-03,81217.0,Quilt Sets
13,2020-10-04,81217.0,Quilt Sets
14,2020-10-05,81217.0,Quilt Sets
15,2020-10-06,81217.0,Quilt Sets
16,2020-10-07,81358.0,Quilt Sets
17,2020-10-08,81358.0,Quilt Sets
18,2020-10-09,81358.0,Quilt Sets
19,2020-10-10,81358.0,Quilt Sets
20,2020-10-11,91821.0,Quilt Sets
21,2020-10-12,91821.0,Quilt Sets
22,2020-10-13,91821.0,Quilt Sets
23,2020-10-14,91821.0,Quilt Sets
24,2020-10-15,91821.0,Quilt Sets
25,2020-10-16,58165.0,Quilt Sets
26,2020-10-17,58165.0,Quilt Sets
27,2020-10-18,58165.0,Quilt Sets
28,2020-10-19,116176.0,Quilt Sets
29,2020-10-20,116176.0,Quilt Sets
30,2020-10-21,116176.0,Quilt Sets
31,2020-10-22,129402.0,Quilt Sets
32,2020-10-23,138767.0,Quilt Sets
33,2020-10-24,138767.0,Quilt Sets
34,2020-10-25,138767.0,Quilt Sets
35,2020-10-26,114765.0,Quilt Sets
36,2020-10-27,114765.0,Quilt Sets
37,2020-10-28,114765.0,Quilt Sets
38,2020-10-29,193009.0,Quilt Sets
39,2020-10-30,193009.0,Quilt Sets
40,2020-10-31,193009.0,Quilt Sets
41,2020-11-01,193009.0,Quilt Sets
42,2020-11-02,193009.0,Quilt Sets
43,2020-11-03,193009.0,Quilt Sets
44,2020-11-04,53492.0,Quilt Sets
45,2020-11-05,53492.0,Quilt Sets
46,2020-11-06,40086.0,Quilt Sets
47,2020-11-07,40086.0,Quilt Sets
48,2020-11-08,12656.0,Quilt Sets
49,2020-11-09,12656.0,Quilt Sets
50,2020-11-10,12656.0,Quilt Sets
51,2020-11-11,12656.0,Quilt Sets
52,2020-11-12,12656.0,Quilt Sets
53,2020-11-13,12656.0,Quilt Sets
54,2020-11-14,102027.0,Quilt Sets
55,2020-11-15,102027.0,Quilt Sets
56,2020-11-16,102027.0,Quilt Sets
57,2020-11-17,102027.0,Quilt Sets
58,2020-11-18,102027.0,Quilt Sets
59,2020-11-19,102027.0,Quilt Sets
60,2020-11-20,206098.0,Quilt Sets
61,2020-11-21,206098.0,Quilt Sets
62,2020-11-22,206098.0,Quilt Sets
63,2020-11-23,206098.0,Quilt Sets
64,2020-11-24,88372.0,Quilt Sets
65,2020-11-25,88372.0,Quilt Sets
66,2020-11-26,88372.0,Quilt Sets
67,2020-11-27,88372.0,Quilt Sets
68,2020-11-28,73204.0,Quilt Sets
69,2020-11-29,73204.0,Quilt Sets
70,2020-11-30,73204.0,Quilt Sets
71,2020-12-01,73204.0,Quilt Sets
72,2020-12-02,118965.0,Quilt Sets
73,2020-12-03,135659.0,Quilt Sets
74,2020-12-04,135659.0,Quilt Sets
75,2020-12-05,135659.0,Quilt Sets
76,2020-12-06,135659.0,Quilt Sets
77,2020-12-07,130558.0,Quilt Sets
78,2020-12-08,126082.0,Quilt Sets
79,2020-12-09,126082.0,Quilt Sets
80,2020-12-10,126082.0,Quilt Sets
81,2020-12-11,126082.0,Quilt Sets
82,2020-12-12,126082.0,Quilt Sets
83,2020-12-13,126082.0,Quilt Sets
84,2020-12-14,126082.0,Quilt Sets
85,2020-12-15,145132.0,Quilt Sets
86,2020-12-16,145132.0,Quilt Sets
87,2020-12-17,172924.0,Quilt Sets
88,2020-12-18,172924.0,Quilt Sets
89,2020-12-19,94424.0,Quilt Sets
90,2020-12-20,94424.0,Quilt Sets
91,2020-12-21,94424.0,Quilt Sets
92,2020-12-22,94424.0,Quilt Sets
93,2020-12-23,94424.0,Quilt Sets
94,2020-12-24,94424.0,Quilt Sets
95,2020-12-25,95869.0,Quilt Sets
96,2020-12-26,95869.0,Quilt Sets
97,2020-12-27,95869.0,Quilt Sets
98,2020-12-28,95869.0,Quilt Sets
99,2020-12-29,121863.0,Quilt Sets
100,2020-12-30,121863.0,Quilt Sets
101,2020-12-31,121863.0,Quilt Sets
102,2021-01-01,121863.0,Quilt Sets
103,2021-01-02,128606.0,Quilt Sets
104,2021-01-03,98444.0,Quilt Sets
105,2021-01-04,98444.0,Quilt Sets
106,2021-01-05,98444.0,Quilt Sets
107,2021-01-06,51955.0,Quilt Sets
108,2021-01-07,51955.0,Quilt Sets
109,2021-01-08,84634.0,Quilt Sets
110,2021-01-09,84634.0,Quilt Sets
111,2021-01-10,84634.0,Quilt Sets
112,2021-01-11,84634.0,Quilt Sets
113,2021-01-12,72387.0,Quilt Sets
114,2021-01-13,75649.0,Quilt Sets
115,2021-01-14,75649.0,Quilt Sets
116,2021-01-15,75649.0,Quilt Sets
117,2021-01-16,75649.0,Quilt Sets
118,2021-01-17,75649.0,Quilt Sets
119,2021-01-18,166292.0,Quilt Sets
120,2021-01-19,166292.0,Quilt Sets
121,2021-01-20,166292.0,Quilt Sets
122,2021-01-21,166292.0,Quilt Sets
123,2021-01-22,166292.0,Quilt Sets
124,2021-01-23,166292.0,Quilt Sets
125,2021-01-24,166292.0,Quilt Sets
126,2021-01-25,112848.0,Quilt Sets
127,2021-01-26,112848.0,Quilt Sets
128,2021-01-27,112848.0,Quilt Sets
129,2021-01-28,70019.0,Quilt Sets
130,2021-01-29,70019.0,Quilt Sets
131,2021-01-30,70019.0,Quilt Sets
132,2021-01-31,70019.0,Quilt Sets
133,2021-02-01,70019.0,Quilt Sets
134,2021-02-02,69433.0,Quilt Sets
135,2021-02-03,69433.0,Quilt Sets
136,2021-02-04,84770.0,Quilt Sets
137,2021-02-05,84770.0,Quilt Sets
138,2021-02-06,84770.0,Quilt Sets
139,2021-02-07,84770.0,Quilt Sets
140,2021-02-08,84770.0,Quilt Sets
141,2021-02-09,84770.0,Quilt Sets
142,2021-02-10,84770.0,Quilt Sets
143,2021-02-11,84770.0,Quilt Sets
144,2021-02-12,84770.0,Quilt Sets
145,2021-02-13,84770.0,Quilt Sets
146,2021-02-14,84770.0,Quilt Sets
147,2021-02-15,84770.0,Quilt Sets
148,2021-02-16,84770.0,Quilt Sets
149,2021-02-17,84770.0,Quilt Sets
150,2021-02-18,116806.0,Quilt Sets
151,2021-02-19,116806.0,Quilt Sets
152,2021-02-20,116806.0,Quilt Sets
153,2021-02-21,116806.0,Quilt Sets
154,2021-02-22,118638.0,Quilt Sets
155,2021-02-23,118638.0,Quilt Sets
156,2021-02-24,118638.0,Quilt Sets
157,2021-02-25,118638.0,Quilt Sets
158,2021-02-26,118638.0,Quilt Sets
159,2021-02-27,118638.0,Quilt Sets
160,2021-02-28,118638.0,Quilt Sets
161,2021-03-01,95559.0,Quilt Sets
162,2021-03-02,112528.0,Quilt Sets
163,2021-03-03,112528.0,Quilt Sets
164,2021-03-04,107468.0,Quilt Sets
165,2021-03-05,107468.0,Quilt Sets
166,2021-03-06,107468.0,Quilt Sets
167,2021-03-07,107468.0,Quilt Sets
168,2021-03-08,74457.0,Quilt Sets
169,2021-03-09,74457.0,Quilt Sets
170,2021-03-10,74341.0,Quilt Sets
171,2021-03-11,74341.0,Quilt Sets
172,2021-03-12,74341.0,Quilt Sets
173,2021-03-13,81762.0,Quilt Sets
174,2021-03-14,81762.0,Quilt Sets
175,2021-03-15,81762.0,Quilt Sets
176,2021-03-16,81762.0,Quilt Sets
177,2021-03-17,81762.0,Quilt Sets
178,2021-03-18,58725.0,Quilt Sets
179,2021-03-19,58725.0,Quilt Sets
180,2021-03-20,58725.0,Quilt Sets
181,2021-03-21,58725.0,Quilt Sets
182,2021-03-22,58725.0,Quilt Sets
183,2021-03-23,58725.0,Quilt Sets
184,2021-03-24,58725.0,Quilt Sets
185,2021-03-25,58725.0,Quilt Sets
186,2021-03-26,69408.0,Quilt Sets
187,2021-03-27,69408.0,Quilt Sets
188,2021-03-28,69408.0,Quilt Sets
189,2021-03-29,69408.0,Quilt Sets
190,2021-03-30,69408.0,Quilt Sets
191,2021-03-31,50924.0,Quilt Sets
192,2021-04-01,50924.0,Quilt Sets
193,2021-04-02,45780.0,Quilt Sets
194,2021-04-03,45780.0,Quilt Sets
195,2021-04-04,45780.0,Quilt Sets
196,2021-04-05,45780.0,Quilt Sets
197,2021-04-06,45780.0,Quilt Sets
198,2021-04-07,54099.0,Quilt Sets
199,2021-04-08,54099.0,Quilt Sets
200,2021-04-09,54099.0,Quilt Sets
201,2021-04-10,32865.0,Quilt Sets
202,2021-04-11,32865.0,Quilt Sets
203,2021-04-12,32865.0,Quilt Sets
