,date,value,name_B07P7M34C7
176,2020-11-24,8614.0,Canned
177,2020-11-25,8614.0,Canned
178,2020-11-26,8614.0,Canned
179,2020-11-27,8614.0,Canned
180,2020-11-28,8614.0,Canned
181,2020-11-29,8614.0,Canned
182,2020-11-30,8614.0,Canned
183,2020-12-01,8614.0,Canned
184,2020-12-02,8033.0,Canned
185,2020-12-03,8033.0,Canned
186,2020-12-04,8033.0,Canned
187,2020-12-05,8033.0,Canned
188,2020-12-06,7350.0,Canned
189,2020-12-07,7350.0,Canned
190,2020-12-08,7350.0,Canned
191,2020-12-09,8916.0,Canned
192,2020-12-10,7691.0,Canned
193,2020-12-11,7691.0,Canned
194,2020-12-12,7691.0,Canned
195,2020-12-13,7691.0,Canned
196,2020-12-14,7691.0,Canned
197,2020-12-15,7691.0,Canned
198,2020-12-16,7691.0,Canned
199,2020-12-17,7512.0,Canned
200,2020-12-18,7512.0,Canned
201,2020-12-19,7512.0,Canned
202,2020-12-20,7512.0,Canned
203,2020-12-21,5805.0,Canned
204,2020-12-22,5805.0,Canned
205,2020-12-23,7945.0,Canned
206,2020-12-24,7229.0,Canned
207,2020-12-25,7229.0,Canned
208,2020-12-26,7229.0,Canned
209,2020-12-27,7229.0,Canned
210,2020-12-28,6103.0,Canned
211,2020-12-29,6103.0,Canned
212,2020-12-30,6103.0,Canned
213,2020-12-31,6079.0,Canned
214,2021-01-01,6079.0,Canned
215,2021-01-02,6079.0,Canned
216,2021-01-03,6079.0,Canned
217,2021-01-04,6079.0,Canned
218,2021-01-05,5336.0,Canned
219,2021-01-06,5336.0,Canned
220,2021-01-07,5336.0,Canned
221,2021-01-08,6446.0,Canned
222,2021-01-09,7190.0,Canned
223,2021-01-10,7269.0,Canned
224,2021-01-11,7269.0,Canned
225,2021-01-12,7269.0,Canned
226,2021-01-13,7269.0,Canned
227,2021-01-14,7269.0,Canned
228,2021-01-15,5937.0,Canned
229,2021-01-16,5937.0,Canned
230,2021-01-17,5937.0,Canned
231,2021-01-18,5937.0,Canned
232,2021-01-19,5937.0,Canned
233,2021-01-20,5937.0,Canned
234,2021-01-21,5937.0,Canned
235,2021-01-22,6150.0,Canned
236,2021-01-23,6150.0,Canned
237,2021-01-24,6150.0,Canned
238,2021-01-25,6150.0,Canned
239,2021-01-26,5170.0,Canned
240,2021-01-27,5170.0,Canned
241,2021-01-28,5170.0,Canned
242,2021-01-29,5170.0,Canned
243,2021-01-30,4627.0,Canned
244,2021-01-31,4627.0,Canned
245,2021-02-01,4627.0,Canned
246,2021-02-02,4627.0,Canned
247,2021-02-03,4627.0,Canned
248,2021-02-04,4627.0,Canned
249,2021-02-05,5454.0,Canned
250,2021-02-06,5454.0,Canned
251,2021-02-07,5454.0,Canned
252,2021-02-08,5454.0,Canned
253,2021-02-09,5323.0,Canned
254,2021-02-10,6595.0,Canned
255,2021-02-11,6595.0,Canned
256,2021-02-12,5532.0,Canned
257,2021-02-13,5532.0,Canned
258,2021-02-14,5532.0,Canned
259,2021-02-15,4720.0,Canned
260,2021-02-16,4720.0,Canned
261,2021-02-17,4435.0,Canned
262,2021-02-18,4435.0,Canned
263,2021-02-19,4108.0,Canned
264,2021-02-20,4108.0,Canned
265,2021-02-21,4547.0,Canned
266,2021-02-22,6124.0,Canned
267,2021-02-23,6124.0,Canned
268,2021-02-24,4504.0,Canned
269,2021-02-25,4504.0,Canned
270,2021-02-26,4504.0,Canned
271,2021-02-27,4504.0,Canned
272,2021-02-28,4504.0,Canned
273,2021-03-01,5471.0,Canned
274,2021-03-02,5187.0,Canned
275,2021-03-03,5187.0,Canned
276,2021-03-04,5187.0,Canned
277,2021-03-05,5201.0,Canned
278,2021-03-06,5201.0,Canned
279,2021-03-07,4598.0,Canned
280,2021-03-08,4176.0,Canned
281,2021-03-09,4176.0,Canned
282,2021-03-10,4176.0,Canned
283,2021-03-11,5415.0,Canned
284,2021-03-12,5415.0,Canned
285,2021-03-13,5415.0,Canned
286,2021-03-14,5246.0,Canned
287,2021-03-15,5246.0,Canned
288,2021-03-16,5246.0,Canned
289,2021-03-17,6087.0,Canned
290,2021-03-18,6087.0,Canned
291,2021-03-19,6087.0,Canned
292,2021-03-20,6087.0,Canned
293,2021-03-21,6087.0,Canned
294,2021-03-22,7269.0,Canned
295,2021-03-23,7269.0,Canned
296,2021-03-24,7269.0,Canned
297,2021-03-25,6083.0,Canned
298,2021-03-26,6083.0,Canned
299,2021-03-27,8319.0,Canned
300,2021-03-28,8319.0,Canned
301,2021-03-29,7503.0,Canned
302,2021-03-30,7503.0,Canned
303,2021-03-31,7503.0,Canned
304,2021-04-01,5573.0,Canned
305,2021-04-02,5573.0,Canned
306,2021-04-03,5573.0,Canned
307,2021-04-04,5715.0,Canned
308,2021-04-05,5715.0,Canned
309,2021-04-06,5715.0,Canned
310,2021-04-07,5763.0,Canned
311,2021-04-08,5763.0,Canned
312,2021-04-09,5763.0,Canned
313,2021-04-10,6365.0,Canned
314,2021-04-11,6365.0,Canned
315,2021-04-12,5314.0,Canned
316,2021-04-13,5314.0,Canned
317,2021-04-14,5314.0,Canned
318,2021-04-15,4681.0,Canned
319,2021-04-16,4681.0,Canned
320,2021-04-17,4681.0,Canned
321,2021-04-18,4681.0,Canned
322,2021-04-19,5442.0,Canned
323,2021-04-20,5442.0,Canned
324,2021-04-21,5048.0,Canned
325,2021-04-22,5048.0,Canned
326,2021-04-23,6164.0,Canned
327,2021-04-24,6164.0,Canned
328,2021-04-25,5911.0,Canned
329,2021-04-26,4993.0,Canned
330,2021-04-27,4993.0,Canned
331,2021-04-28,4993.0,Canned
332,2021-04-29,5311.0,Canned
333,2021-04-30,5918.0,Canned
334,2021-05-01,5918.0,Canned
335,2021-05-02,5918.0,Canned
336,2021-05-03,5503.0,Canned
337,2021-05-04,5503.0,Canned
338,2021-05-05,5503.0,Canned
339,2021-05-06,4605.0,Canned
340,2021-05-07,4605.0,Canned
341,2021-05-08,4605.0,Canned
342,2021-05-09,4498.0,Canned
343,2021-05-10,4498.0,Canned
344,2021-05-11,7019.0,Canned
345,2021-05-12,7019.0,Canned
346,2021-05-13,7019.0,Canned
347,2021-05-14,6306.0,Canned
348,2021-05-15,6306.0,Canned
349,2021-05-16,6106.0,Canned
350,2021-05-17,6106.0,Canned
351,2021-05-18,6106.0,Canned
352,2021-05-19,3821.0,Canned
353,2021-05-20,4173.0,Canned
354,2021-05-21,4173.0,Canned
355,2021-05-22,4173.0,Canned
356,2021-05-23,4173.0,Canned
357,2021-05-24,4173.0,Canned
358,2021-05-25,5571.0,Canned
359,2021-05-26,5571.0,Canned
360,2021-05-27,5212.0,Canned
361,2021-05-28,6187.0,Canned
362,2021-05-29,6187.0,Canned
363,2021-05-30,6187.0,Canned
364,2021-05-31,6500.0,Canned
365,2021-06-01,6500.0,Canned
366,2021-06-02,7601.0,Canned
367,2021-06-03,7601.0,Canned
368,2021-06-04,4834.0,Canned
369,2021-06-05,4834.0,Canned
370,2021-06-06,4834.0,Canned
371,2021-06-07,6305.0,Canned
372,2021-06-08,6305.0,Canned
373,2021-06-09,7345.0,Canned
374,2021-06-10,5464.0,Canned
375,2021-06-11,5464.0,Canned
376,2021-06-12,4804.0,Canned
377,2021-06-13,4804.0,Canned
378,2021-06-14,4496.0,Canned
379,2021-06-15,4496.0,Canned
380,2021-06-16,4496.0,Canned
381,2021-06-17,5185.0,Canned
