,date,value,name_B08GY7D4NX
0,2021-01-04,16852.0,Utility Carts
1,2021-01-05,16852.0,Utility Carts
2,2021-01-06,16852.0,Utility Carts
3,2021-01-07,26505.0,Utility Carts
4,2021-01-08,26505.0,Utility Carts
5,2021-01-09,26505.0,Utility Carts
6,2021-01-10,26505.0,Utility Carts
7,2021-01-11,26505.0,Utility Carts
8,2021-01-12,26505.0,Utility Carts
9,2021-01-13,50802.0,Utility Carts
10,2021-01-14,50802.0,Utility Carts
11,2021-01-15,50802.0,Utility Carts
12,2021-01-16,50802.0,Utility Carts
13,2021-01-17,50802.0,Utility Carts
14,2021-01-18,43650.0,Utility Carts
15,2021-01-19,43650.0,Utility Carts
16,2021-01-20,113698.0,Utility Carts
17,2021-01-21,113698.0,Utility Carts
18,2021-01-22,113698.0,Utility Carts
19,2021-01-23,113698.0,Utility Carts
20,2021-01-24,113698.0,Utility Carts
21,2021-01-25,113698.0,Utility Carts
22,2021-01-26,113698.0,Utility Carts
23,2021-01-27,94737.0,Utility Carts
24,2021-01-28,94737.0,Utility Carts
25,2021-01-29,94737.0,Utility Carts
26,2021-01-30,137449.0,Utility Carts
27,2021-01-31,137449.0,Utility Carts
28,2021-02-01,137449.0,Utility Carts
29,2021-02-02,67440.0,Utility Carts
30,2021-02-03,67440.0,Utility Carts
31,2021-02-04,67440.0,Utility Carts
32,2021-02-05,67440.0,Utility Carts
33,2021-02-06,72814.0,Utility Carts
34,2021-02-07,72814.0,Utility Carts
35,2021-02-08,72814.0,Utility Carts
36,2021-02-09,72814.0,Utility Carts
37,2021-02-10,72814.0,Utility Carts
38,2021-02-11,72814.0,Utility Carts
39,2021-02-12,51805.0,Utility Carts
40,2021-02-13,51805.0,Utility Carts
41,2021-02-14,51805.0,Utility Carts
42,2021-02-15,51805.0,Utility Carts
43,2021-02-16,39501.0,Utility Carts
44,2021-02-17,39501.0,Utility Carts
45,2021-02-18,39501.0,Utility Carts
46,2021-02-19,17893.0,Utility Carts
47,2021-02-20,17893.0,Utility Carts
48,2021-02-21,17893.0,Utility Carts
49,2021-02-22,17893.0,Utility Carts
50,2021-02-23,17893.0,Utility Carts
51,2021-02-24,33058.0,Utility Carts
52,2021-02-25,33058.0,Utility Carts
53,2021-02-26,12680.0,Utility Carts
54,2021-02-27,12680.0,Utility Carts
55,2021-02-28,12680.0,Utility Carts
56,2021-03-01,10088.0,Utility Carts
57,2021-03-02,10088.0,Utility Carts
58,2021-03-03,10088.0,Utility Carts
59,2021-03-04,10088.0,Utility Carts
60,2021-03-05,10088.0,Utility Carts
61,2021-03-06,11665.0,Utility Carts
62,2021-03-07,11665.0,Utility Carts
63,2021-03-08,11665.0,Utility Carts
64,2021-03-09,8687.0,Utility Carts
65,2021-03-10,9145.0,Utility Carts
66,2021-03-11,10706.0,Utility Carts
67,2021-03-12,10706.0,Utility Carts
68,2021-03-13,10706.0,Utility Carts
69,2021-03-14,9265.0,Utility Carts
70,2021-03-15,9265.0,Utility Carts
71,2021-03-16,9265.0,Utility Carts
72,2021-03-17,16676.0,Utility Carts
73,2021-03-18,16676.0,Utility Carts
74,2021-03-19,16676.0,Utility Carts
75,2021-03-20,26353.0,Utility Carts
76,2021-03-21,21378.0,Utility Carts
77,2021-03-22,19211.0,Utility Carts
78,2021-03-23,17703.0,Utility Carts
79,2021-03-24,30053.0,Utility Carts
80,2021-03-25,30053.0,Utility Carts
81,2021-03-26,30053.0,Utility Carts
82,2021-03-27,30053.0,Utility Carts
83,2021-03-28,30053.0,Utility Carts
84,2021-03-29,31721.0,Utility Carts
85,2021-03-30,31721.0,Utility Carts
86,2021-03-31,31721.0,Utility Carts
87,2021-04-01,31721.0,Utility Carts
88,2021-04-02,31721.0,Utility Carts
89,2021-04-03,31721.0,Utility Carts
90,2021-04-04,31721.0,Utility Carts
91,2021-04-05,31721.0,Utility Carts
92,2021-04-06,19456.0,Utility Carts
93,2021-04-07,19456.0,Utility Carts
94,2021-04-08,19456.0,Utility Carts
95,2021-04-09,19456.0,Utility Carts
96,2021-04-10,19733.0,Utility Carts
97,2021-04-11,19733.0,Utility Carts
98,2021-04-12,12550.0,Utility Carts
99,2021-04-13,12550.0,Utility Carts
100,2021-04-14,12550.0,Utility Carts
101,2021-04-15,12550.0,Utility Carts
102,2021-04-16,12550.0,Utility Carts
103,2021-04-17,12550.0,Utility Carts
104,2021-04-18,12550.0,Utility Carts
105,2021-04-19,12550.0,Utility Carts
106,2021-04-20,21903.0,Utility Carts
107,2021-04-21,21903.0,Utility Carts
108,2021-04-22,21903.0,Utility Carts
109,2021-04-23,17742.0,Utility Carts
110,2021-04-24,17742.0,Utility Carts
111,2021-04-25,19713.0,Utility Carts
112,2021-04-26,19713.0,Utility Carts
113,2021-04-27,26180.0,Utility Carts
114,2021-04-28,33212.0,Utility Carts
115,2021-04-29,33212.0,Utility Carts
116,2021-04-30,33212.0,Utility Carts
