,date,value,name_B07ZLS8DFT
0,2019-10-31,14827.0,Decorative Stones
1,2019-11-01,11054.0,Decorative Stones
2,2019-11-02,12040.0,Decorative Stones
3,2019-11-03,15732.0,Decorative Stones
4,2019-11-04,9687.0,Decorative Stones
5,2019-11-05,10172.0,Decorative Stones
6,2019-11-06,15529.0,Decorative Stones
7,2019-11-07,19098.0,Decorative Stones
8,2019-11-08,9370.0,Decorative Stones
9,2019-11-09,8628.0,Decorative Stones
10,2019-11-10,12463.0,Decorative Stones
11,2019-11-11,10193.0,Decorative Stones
12,2019-11-12,8539.0,Decorative Stones
13,2019-11-13,10311.0,Decorative Stones
14,2019-11-14,8195.0,Decorative Stones
15,2019-11-15,6132.0,Decorative Stones
16,2019-11-16,8837.0,Decorative Stones
17,2019-11-17,7605.0,Decorative Stones
18,2019-11-18,7332.0,Decorative Stones
19,2019-11-19,8029.0,Decorative Stones
20,2019-11-20,3880.0,Decorative Stones
21,2019-11-21,4931.0,Decorative Stones
22,2019-11-22,5689.0,Decorative Stones
23,2019-11-23,5689.0,Decorative Stones
24,2019-11-24,5689.0,Decorative Stones
25,2019-11-25,7063.0,Decorative Stones
26,2019-11-26,8092.0,Decorative Stones
27,2019-11-27,7159.0,Decorative Stones
28,2019-11-28,11814.0,Decorative Stones
29,2019-11-29,10164.0,Decorative Stones
30,2019-11-30,10164.0,Decorative Stones
31,2019-12-01,8251.0,Decorative Stones
32,2019-12-02,4578.0,Decorative Stones
33,2019-12-03,7275.0,Decorative Stones
34,2019-12-04,7275.0,Decorative Stones
35,2019-12-05,7275.0,Decorative Stones
36,2019-12-06,7275.0,Decorative Stones
37,2019-12-07,7275.0,Decorative Stones
38,2019-12-08,7275.0,Decorative Stones
39,2019-12-09,6380.0,Decorative Stones
40,2019-12-10,6380.0,Decorative Stones
41,2019-12-11,6380.0,Decorative Stones
42,2019-12-12,8394.0,Decorative Stones
43,2019-12-13,8394.0,Decorative Stones
44,2019-12-14,8394.0,Decorative Stones
45,2019-12-15,8394.0,Decorative Stones
46,2019-12-16,12061.0,Decorative Stones
47,2019-12-17,12061.0,Decorative Stones
48,2019-12-18,12061.0,Decorative Stones
49,2019-12-19,12061.0,Decorative Stones
50,2019-12-20,11292.0,Decorative Stones
51,2019-12-21,11292.0,Decorative Stones
52,2019-12-22,11292.0,Decorative Stones
53,2019-12-23,13142.0,Decorative Stones
54,2019-12-24,14103.0,Decorative Stones
55,2019-12-25,11811.0,Decorative Stones
56,2019-12-26,11811.0,Decorative Stones
57,2019-12-27,12202.0,Decorative Stones
58,2019-12-28,12202.0,Decorative Stones
59,2019-12-29,12202.0,Decorative Stones
60,2019-12-30,12202.0,Decorative Stones
61,2019-12-31,6489.0,Decorative Stones
62,2020-01-01,6489.0,Decorative Stones
63,2020-01-02,6489.0,Decorative Stones
64,2020-01-03,6489.0,Decorative Stones
65,2020-01-04,6489.0,Decorative Stones
66,2020-01-05,6489.0,Decorative Stones
67,2020-01-06,6489.0,Decorative Stones
68,2020-01-07,2709.0,Decorative Stones
69,2020-01-08,4145.0,Decorative Stones
70,2020-01-09,4145.0,Decorative Stones
71,2020-01-10,4145.0,Decorative Stones
72,2020-01-11,2299.0,Decorative Stones
73,2020-01-12,2299.0,Decorative Stones
74,2020-01-13,3992.0,Decorative Stones
75,2020-01-14,3992.0,Decorative Stones
76,2020-01-15,3166.0,Decorative Stones
77,2020-01-16,3166.0,Decorative Stones
78,2020-01-17,3166.0,Decorative Stones
79,2020-01-18,3166.0,Decorative Stones
80,2020-01-19,3166.0,Decorative Stones
81,2020-01-20,3308.0,Decorative Stones
82,2020-01-21,1890.0,Decorative Stones
83,2020-01-22,2442.0,Decorative Stones
84,2020-01-23,2442.0,Decorative Stones
85,2020-01-24,2442.0,Decorative Stones
86,2020-01-25,2442.0,Decorative Stones
87,2020-01-26,1979.0,Decorative Stones
88,2020-01-27,1979.0,Decorative Stones
89,2020-01-28,1979.0,Decorative Stones
90,2020-01-29,1979.0,Decorative Stones
91,2020-01-30,2187.0,Decorative Stones
92,2020-01-31,2187.0,Decorative Stones
93,2020-02-01,2187.0,Decorative Stones
94,2020-02-02,2187.0,Decorative Stones
95,2020-02-03,2187.0,Decorative Stones
96,2020-02-04,2187.0,Decorative Stones
97,2020-02-05,2187.0,Decorative Stones
98,2020-02-06,2187.0,Decorative Stones
99,2020-02-07,2187.0,Decorative Stones
100,2020-02-08,2187.0,Decorative Stones
101,2020-02-09,2187.0,Decorative Stones
102,2020-02-10,19853.0,Decorative Stones
103,2020-02-11,19853.0,Decorative Stones
104,2020-02-12,19853.0,Decorative Stones
105,2020-02-13,35896.0,Decorative Stones
106,2020-02-14,35896.0,Decorative Stones
107,2020-02-15,35896.0,Decorative Stones
108,2020-02-16,41434.0,Decorative Stones
109,2020-02-17,41434.0,Decorative Stones
110,2020-02-18,41434.0,Decorative Stones
111,2020-02-19,41434.0,Decorative Stones
112,2020-02-20,41434.0,Decorative Stones
113,2020-02-21,41434.0,Decorative Stones
114,2020-02-22,41434.0,Decorative Stones
115,2020-02-23,78202.0,Decorative Stones
116,2020-02-24,78202.0,Decorative Stones
117,2020-02-25,78202.0,Decorative Stones
118,2020-02-26,78202.0,Decorative Stones
119,2020-02-27,78202.0,Decorative Stones
120,2020-02-28,78202.0,Decorative Stones
121,2020-02-29,72121.0,Decorative Stones
122,2020-03-01,72121.0,Decorative Stones
123,2020-03-02,72121.0,Decorative Stones
124,2020-03-03,72121.0,Decorative Stones
125,2020-03-04,72121.0,Decorative Stones
126,2020-03-05,38094.0,Decorative Stones
127,2020-03-06,38094.0,Decorative Stones
128,2020-03-07,38094.0,Decorative Stones
129,2020-03-08,38094.0,Decorative Stones
130,2020-03-09,38094.0,Decorative Stones
131,2020-03-10,38094.0,Decorative Stones
132,2020-03-11,38094.0,Decorative Stones
133,2020-03-12,38094.0,Decorative Stones
134,2020-03-13,38094.0,Decorative Stones
135,2020-03-14,38094.0,Decorative Stones
136,2020-03-15,38094.0,Decorative Stones
137,2020-03-16,38094.0,Decorative Stones
138,2020-03-17,28856.0,Decorative Stones
139,2020-03-18,28856.0,Decorative Stones
140,2020-03-19,28856.0,Decorative Stones
141,2020-03-20,6880.0,Decorative Stones
142,2020-03-21,6880.0,Decorative Stones
143,2020-03-22,6880.0,Decorative Stones
144,2020-03-23,6880.0,Decorative Stones
145,2020-03-24,11977.0,Decorative Stones
146,2020-03-25,11977.0,Decorative Stones
147,2020-03-26,11977.0,Decorative Stones
148,2020-03-27,11977.0,Decorative Stones
149,2020-03-28,13572.0,Decorative Stones
150,2020-03-29,12555.0,Decorative Stones
151,2020-03-30,12555.0,Decorative Stones
152,2020-03-31,12555.0,Decorative Stones
153,2020-04-01,14538.0,Decorative Stones
154,2020-04-02,14538.0,Decorative Stones
155,2020-04-03,13337.0,Decorative Stones
156,2020-04-04,13337.0,Decorative Stones
157,2020-04-05,13337.0,Decorative Stones
158,2020-04-06,13337.0,Decorative Stones
159,2020-04-07,15032.0,Decorative Stones
160,2020-04-08,15032.0,Decorative Stones
161,2020-04-09,15032.0,Decorative Stones
162,2020-04-10,15032.0,Decorative Stones
163,2020-04-11,15032.0,Decorative Stones
164,2020-04-12,10782.0,Decorative Stones
165,2020-04-13,10782.0,Decorative Stones
166,2020-04-14,10782.0,Decorative Stones
167,2020-04-15,10782.0,Decorative Stones
168,2020-04-16,10782.0,Decorative Stones
169,2020-04-17,10782.0,Decorative Stones
170,2020-04-18,10782.0,Decorative Stones
171,2020-04-19,7244.0,Decorative Stones
172,2020-04-20,7244.0,Decorative Stones
173,2020-04-21,7244.0,Decorative Stones
174,2020-04-22,7244.0,Decorative Stones
175,2020-04-23,7244.0,Decorative Stones
176,2020-04-24,7244.0,Decorative Stones
177,2020-04-25,8095.0,Decorative Stones
178,2020-04-26,8095.0,Decorative Stones
179,2020-04-27,8095.0,Decorative Stones
180,2020-04-28,8095.0,Decorative Stones
181,2020-04-29,8095.0,Decorative Stones
182,2020-04-30,39578.0,Decorative Stones
183,2020-05-01,39578.0,Decorative Stones
184,2020-05-02,39578.0,Decorative Stones
185,2020-05-03,39578.0,Decorative Stones
186,2020-05-04,39578.0,Decorative Stones
187,2020-05-05,83579.0,Decorative Stones
188,2020-05-06,83579.0,Decorative Stones
189,2020-05-07,83579.0,Decorative Stones
190,2020-05-08,83579.0,Decorative Stones
191,2020-05-09,83579.0,Decorative Stones
192,2020-05-10,83579.0,Decorative Stones
193,2020-05-11,83579.0,Decorative Stones
194,2020-05-12,83579.0,Decorative Stones
195,2020-05-13,83579.0,Decorative Stones
196,2020-05-14,56866.0,Decorative Stones
197,2020-05-15,56866.0,Decorative Stones
198,2020-05-16,56866.0,Decorative Stones
199,2020-05-17,56866.0,Decorative Stones
200,2020-05-18,56866.0,Decorative Stones
201,2020-05-19,56866.0,Decorative Stones
202,2020-05-20,56866.0,Decorative Stones
203,2020-05-21,56866.0,Decorative Stones
204,2020-05-22,13402.0,Decorative Stones
205,2020-05-23,13402.0,Decorative Stones
206,2020-05-24,16398.0,Decorative Stones
207,2020-05-25,16398.0,Decorative Stones
208,2020-05-26,16398.0,Decorative Stones
209,2020-05-27,16398.0,Decorative Stones
210,2020-05-28,16398.0,Decorative Stones
211,2020-05-29,16398.0,Decorative Stones
212,2020-05-30,16398.0,Decorative Stones
213,2020-05-31,16398.0,Decorative Stones
