,date,value,name_B091CTV1GM
0,2021-04-07,4996.0,Desk Pads & Blotters
1,2021-04-08,4996.0,Desk Pads & Blotters
2,2021-04-09,3802.0,Desk Pads & Blotters
3,2021-04-10,3802.0,Desk Pads & Blotters
4,2021-04-11,3802.0,Desk Pads & Blotters
5,2021-04-12,4353.0,Desk Pads & Blotters
6,2021-04-13,4353.0,Desk Pads & Blotters
7,2021-04-14,5981.0,Desk Pads & Blotters
8,2021-04-15,5981.0,Desk Pads & Blotters
9,2021-04-16,5332.0,Desk Pads & Blotters
10,2021-04-17,10922.0,Desk Pads & Blotters
11,2021-04-18,10922.0,Desk Pads & Blotters
12,2021-04-19,12326.0,Desk Pads & Blotters
13,2021-04-20,9747.0,Desk Pads & Blotters
14,2021-04-21,9747.0,Desk Pads & Blotters
15,2021-04-22,9747.0,Desk Pads & Blotters
16,2021-04-23,7359.0,Desk Pads & Blotters
17,2021-04-24,7359.0,Desk Pads & Blotters
18,2021-04-25,5242.0,Desk Pads & Blotters
19,2021-04-26,5242.0,Desk Pads & Blotters
20,2021-04-27,7217.0,Desk Pads & Blotters
21,2021-04-28,7217.0,Desk Pads & Blotters
22,2021-04-29,7217.0,Desk Pads & Blotters
23,2021-04-30,6242.0,Desk Pads & Blotters
24,2021-05-01,6242.0,Desk Pads & Blotters
25,2021-05-02,7220.0,Desk Pads & Blotters
26,2021-05-03,7220.0,Desk Pads & Blotters
27,2021-05-04,7220.0,Desk Pads & Blotters
28,2021-05-05,6526.0,Desk Pads & Blotters
29,2021-05-06,6526.0,Desk Pads & Blotters
30,2021-05-07,6526.0,Desk Pads & Blotters
31,2021-05-08,6526.0,Desk Pads & Blotters
32,2021-05-09,6526.0,Desk Pads & Blotters
33,2021-05-10,6526.0,Desk Pads & Blotters
34,2021-05-11,5623.0,Desk Pads & Blotters
35,2021-05-12,5623.0,Desk Pads & Blotters
36,2021-05-13,6819.0,Desk Pads & Blotters
37,2021-05-14,5966.0,Desk Pads & Blotters
38,2021-05-15,5966.0,Desk Pads & Blotters
39,2021-05-16,7306.0,Desk Pads & Blotters
40,2021-05-17,7306.0,Desk Pads & Blotters
41,2021-05-18,7306.0,Desk Pads & Blotters
42,2021-05-19,7306.0,Desk Pads & Blotters
43,2021-05-20,5234.0,Desk Pads & Blotters
44,2021-05-21,5234.0,Desk Pads & Blotters
45,2021-05-22,6777.0,Desk Pads & Blotters
46,2021-05-23,6777.0,Desk Pads & Blotters
47,2021-05-24,6777.0,Desk Pads & Blotters
48,2021-05-25,6777.0,Desk Pads & Blotters
49,2021-05-26,6143.0,Desk Pads & Blotters
50,2021-05-27,6143.0,Desk Pads & Blotters
51,2021-05-28,6143.0,Desk Pads & Blotters
52,2021-05-29,5952.0,Desk Pads & Blotters
53,2021-05-30,5952.0,Desk Pads & Blotters
54,2021-05-31,5952.0,Desk Pads & Blotters
55,2021-06-01,5952.0,Desk Pads & Blotters
56,2021-06-02,7059.0,Desk Pads & Blotters
57,2021-06-03,7059.0,Desk Pads & Blotters
58,2021-06-04,7191.0,Desk Pads & Blotters
59,2021-06-05,7191.0,Desk Pads & Blotters
60,2021-06-06,7191.0,Desk Pads & Blotters
61,2021-06-07,5085.0,Desk Pads & Blotters
62,2021-06-08,5085.0,Desk Pads & Blotters
63,2021-06-09,5085.0,Desk Pads & Blotters
64,2021-06-10,5085.0,Desk Pads & Blotters
65,2021-06-11,5085.0,Desk Pads & Blotters
66,2021-06-12,5730.0,Desk Pads & Blotters
67,2021-06-13,5730.0,Desk Pads & Blotters
68,2021-06-14,5730.0,Desk Pads & Blotters
69,2021-06-15,6892.0,Desk Pads & Blotters
70,2021-06-16,6892.0,Desk Pads & Blotters
71,2021-06-17,6782.0,Desk Pads & Blotters
72,2021-06-18,6782.0,Desk Pads & Blotters
73,2021-06-19,5676.0,Desk Pads & Blotters
74,2021-06-20,5676.0,Desk Pads & Blotters
75,2021-06-21,5676.0,Desk Pads & Blotters
76,2021-06-22,6758.0,Desk Pads & Blotters
77,2021-06-23,6758.0,Desk Pads & Blotters
78,2021-06-24,5397.0,Desk Pads & Blotters
79,2021-06-25,5397.0,Desk Pads & Blotters
80,2021-06-26,5397.0,Desk Pads & Blotters
81,2021-06-27,5663.0,Desk Pads & Blotters
82,2021-06-28,5663.0,Desk Pads & Blotters
83,2021-06-29,4984.0,Desk Pads & Blotters
84,2021-06-30,4770.0,Desk Pads & Blotters
85,2021-07-01,4770.0,Desk Pads & Blotters
86,2021-07-02,4770.0,Desk Pads & Blotters
87,2021-07-03,5005.0,Desk Pads & Blotters
88,2021-07-04,5005.0,Desk Pads & Blotters
89,2021-07-05,5005.0,Desk Pads & Blotters
90,2021-07-06,4710.0,Desk Pads & Blotters
91,2021-07-07,4710.0,Desk Pads & Blotters
92,2021-07-08,4943.0,Desk Pads & Blotters
93,2021-07-09,4943.0,Desk Pads & Blotters
94,2021-07-10,5920.0,Desk Pads & Blotters
