,date,value,name_B092QTFZK4
0,2021-04-29,48826.0,Wall & Tabletop Frames
1,2021-04-30,50192.0,Wall & Tabletop Frames
2,2021-05-01,61251.0,Wall & Tabletop Frames
3,2021-05-02,61588.0,Wall & Tabletop Frames
4,2021-05-03,61588.0,Wall & Tabletop Frames
5,2021-05-04,61588.0,Wall & Tabletop Frames
6,2021-05-05,61588.0,Wall & Tabletop Frames
7,2021-05-06,61588.0,Wall & Tabletop Frames
8,2021-05-07,61588.0,Wall & Tabletop Frames
9,2021-05-08,37223.0,Wall & Tabletop Frames
10,2021-05-09,37223.0,Wall & Tabletop Frames
11,2021-05-10,37223.0,Wall & Tabletop Frames
12,2021-05-11,37223.0,Wall & Tabletop Frames
13,2021-05-12,60414.0,Wall & Tabletop Frames
14,2021-05-13,66465.0,Wall & Tabletop Frames
15,2021-05-14,66465.0,Wall & Tabletop Frames
16,2021-05-15,66465.0,Wall & Tabletop Frames
17,2021-05-16,66465.0,Wall & Tabletop Frames
18,2021-05-17,66465.0,Wall & Tabletop Frames
19,2021-05-18,68011.0,Wall & Tabletop Frames
20,2021-05-19,63541.0,Wall & Tabletop Frames
21,2021-05-20,63541.0,Wall & Tabletop Frames
22,2021-05-21,63541.0,Wall & Tabletop Frames
23,2021-05-22,63541.0,Wall & Tabletop Frames
24,2021-05-23,63541.0,Wall & Tabletop Frames
25,2021-05-24,63541.0,Wall & Tabletop Frames
26,2021-05-25,76897.0,Wall & Tabletop Frames
27,2021-05-26,107941.0,Wall & Tabletop Frames
28,2021-05-27,54123.0,Wall & Tabletop Frames
29,2021-05-28,53803.0,Wall & Tabletop Frames
30,2021-05-29,53803.0,Wall & Tabletop Frames
31,2021-05-30,53803.0,Wall & Tabletop Frames
32,2021-05-31,54703.0,Wall & Tabletop Frames
33,2021-06-01,55405.0,Wall & Tabletop Frames
34,2021-06-02,55405.0,Wall & Tabletop Frames
35,2021-06-03,55405.0,Wall & Tabletop Frames
36,2021-06-04,55405.0,Wall & Tabletop Frames
37,2021-06-05,55405.0,Wall & Tabletop Frames
38,2021-06-06,55405.0,Wall & Tabletop Frames
39,2021-06-07,65771.0,Wall & Tabletop Frames
40,2021-06-08,65771.0,Wall & Tabletop Frames
41,2021-06-09,65771.0,Wall & Tabletop Frames
42,2021-06-10,65771.0,Wall & Tabletop Frames
43,2021-06-11,65771.0,Wall & Tabletop Frames
44,2021-06-12,65771.0,Wall & Tabletop Frames
45,2021-06-13,65771.0,Wall & Tabletop Frames
46,2021-06-14,69345.0,Wall & Tabletop Frames
47,2021-06-15,69345.0,Wall & Tabletop Frames
48,2021-06-16,69345.0,Wall & Tabletop Frames
49,2021-06-17,69345.0,Wall & Tabletop Frames
50,2021-06-18,69345.0,Wall & Tabletop Frames
51,2021-06-19,73321.0,Wall & Tabletop Frames
52,2021-06-20,73321.0,Wall & Tabletop Frames
53,2021-06-21,80071.0,Wall & Tabletop Frames
54,2021-06-22,80071.0,Wall & Tabletop Frames
55,2021-06-23,80071.0,Wall & Tabletop Frames
56,2021-06-24,80071.0,Wall & Tabletop Frames
57,2021-06-25,80071.0,Wall & Tabletop Frames
58,2021-06-26,80071.0,Wall & Tabletop Frames
59,2021-06-27,88277.0,Wall & Tabletop Frames
60,2021-06-28,88277.0,Wall & Tabletop Frames
61,2021-06-29,55551.0,Wall & Tabletop Frames
62,2021-06-30,51859.0,Wall & Tabletop Frames
63,2021-07-01,65831.0,Wall & Tabletop Frames
64,2021-07-02,65831.0,Wall & Tabletop Frames
65,2021-07-03,65831.0,Wall & Tabletop Frames
66,2021-07-04,65831.0,Wall & Tabletop Frames
67,2021-07-05,65831.0,Wall & Tabletop Frames
68,2021-07-06,93114.0,Wall & Tabletop Frames
69,2021-07-07,93114.0,Wall & Tabletop Frames
70,2021-07-08,113649.0,Wall & Tabletop Frames
71,2021-07-09,75708.0,Wall & Tabletop Frames
