,date,value,name_B08TBSHQRP
0,2021-03-11,8125.0,Container Sets
1,2021-03-12,5997.0,Container Sets
2,2021-03-13,5076.0,Container Sets
3,2021-03-14,5076.0,Container Sets
4,2021-03-15,5076.0,Container Sets
5,2021-03-16,5456.0,Container Sets
6,2021-03-17,4610.0,Container Sets
7,2021-03-18,3190.0,Container Sets
8,2021-03-19,3190.0,Container Sets
9,2021-03-20,4292.0,Container Sets
10,2021-03-21,4292.0,Container Sets
11,2021-03-22,4292.0,Container Sets
12,2021-03-23,4758.0,Container Sets
13,2021-03-24,5899.0,Container Sets
14,2021-03-25,5071.0,Container Sets
15,2021-03-26,5347.0,Container Sets
16,2021-03-27,3834.0,Container Sets
17,2021-03-28,3834.0,Container Sets
18,2021-03-29,6612.0,Container Sets
19,2021-03-30,4836.0,Container Sets
20,2021-03-31,4903.0,Container Sets
21,2021-04-01,4862.0,Container Sets
22,2021-04-02,4369.0,Container Sets
23,2021-04-03,4369.0,Container Sets
24,2021-04-04,4369.0,Container Sets
25,2021-04-05,5493.0,Container Sets
26,2021-04-06,4625.0,Container Sets
27,2021-04-07,4295.0,Container Sets
28,2021-04-08,4295.0,Container Sets
29,2021-04-09,3547.0,Container Sets
30,2021-04-10,3547.0,Container Sets
31,2021-04-11,4337.0,Container Sets
32,2021-04-12,4716.0,Container Sets
33,2021-04-13,2816.0,Container Sets
34,2021-04-14,2816.0,Container Sets
35,2021-04-15,2001.0,Container Sets
36,2021-04-16,2227.0,Container Sets
37,2021-04-17,2262.0,Container Sets
38,2021-04-18,2420.0,Container Sets
39,2021-04-19,2420.0,Container Sets
40,2021-04-20,2062.0,Container Sets
41,2021-04-21,1825.0,Container Sets
42,2021-04-22,1829.0,Container Sets
43,2021-04-23,1743.0,Container Sets
44,2021-04-24,1690.0,Container Sets
45,2021-04-25,2459.0,Container Sets
46,2021-04-26,2474.0,Container Sets
47,2021-04-27,1787.0,Container Sets
48,2021-04-28,1787.0,Container Sets
49,2021-04-29,1554.0,Container Sets
50,2021-04-30,1882.0,Container Sets
51,2021-05-01,1725.0,Container Sets
52,2021-05-02,1725.0,Container Sets
53,2021-05-03,1725.0,Container Sets
54,2021-05-04,2319.0,Container Sets
55,2021-05-05,2286.0,Container Sets
56,2021-05-06,2286.0,Container Sets
57,2021-05-07,2201.0,Container Sets
58,2021-05-08,1876.0,Container Sets
59,2021-05-09,2316.0,Container Sets
60,2021-05-10,2286.0,Container Sets
61,2021-05-11,2096.0,Container Sets
62,2021-05-12,2038.0,Container Sets
63,2021-05-13,1618.0,Container Sets
64,2021-05-14,2380.0,Container Sets
65,2021-05-15,2380.0,Container Sets
66,2021-05-16,2286.0,Container Sets
67,2021-05-17,2571.0,Container Sets
68,2021-05-18,2152.0,Container Sets
69,2021-05-19,1448.0,Container Sets
70,2021-05-20,1748.0,Container Sets
71,2021-05-21,1626.0,Container Sets
72,2021-05-22,1555.0,Container Sets
73,2021-05-23,2121.0,Container Sets
74,2021-05-24,2983.0,Container Sets
75,2021-05-25,2875.0,Container Sets
76,2021-05-26,2106.0,Container Sets
77,2021-05-27,1852.0,Container Sets
78,2021-05-28,1852.0,Container Sets
79,2021-05-29,1951.0,Container Sets
80,2021-05-30,2875.0,Container Sets
81,2021-05-31,3320.0,Container Sets
82,2021-06-01,3985.0,Container Sets
83,2021-06-02,3111.0,Container Sets
84,2021-06-03,2961.0,Container Sets
85,2021-06-04,2008.0,Container Sets
86,2021-06-05,2518.0,Container Sets
87,2021-06-06,2795.0,Container Sets
88,2021-06-07,3439.0,Container Sets
89,2021-06-08,2617.0,Container Sets
90,2021-06-09,2366.0,Container Sets
91,2021-06-10,2381.0,Container Sets
92,2021-06-11,2532.0,Container Sets
93,2021-06-12,2281.0,Container Sets
94,2021-06-13,4418.0,Container Sets
95,2021-06-14,4418.0,Container Sets
96,2021-06-15,3085.0,Container Sets
97,2021-06-16,3596.0,Container Sets
98,2021-06-17,3211.0,Container Sets
99,2021-06-18,3147.0,Container Sets
100,2021-06-19,3089.0,Container Sets
101,2021-06-20,2976.0,Container Sets
102,2021-06-21,4489.0,Container Sets
103,2021-06-22,6466.0,Container Sets
104,2021-06-23,7455.0,Container Sets
105,2021-06-24,5327.0,Container Sets
106,2021-06-25,3946.0,Container Sets
107,2021-06-26,3572.0,Container Sets
108,2021-06-27,3851.0,Container Sets
109,2021-06-28,5375.0,Container Sets
110,2021-06-29,5375.0,Container Sets
111,2021-06-30,5375.0,Container Sets
112,2021-07-01,4623.0,Container Sets
113,2021-07-02,4623.0,Container Sets
114,2021-07-03,4623.0,Container Sets
115,2021-07-04,4994.0,Container Sets
116,2021-07-05,6946.0,Container Sets
117,2021-07-06,5484.0,Container Sets
118,2021-07-07,5927.0,Container Sets
119,2021-07-08,3809.0,Container Sets
120,2021-07-09,3770.0,Container Sets
121,2021-07-10,3770.0,Container Sets
122,2021-07-11,5069.0,Container Sets
