,date,value,name_B07P5XF1R1
0,2020-05-24,3241.0,Lifejackets
1,2020-05-25,2898.0,Lifejackets
2,2020-05-26,3183.0,Lifejackets
3,2020-05-27,3183.0,Lifejackets
4,2020-05-28,2843.0,Lifejackets
5,2020-05-29,2843.0,Lifejackets
6,2020-05-30,3562.0,Lifejackets
7,2020-05-31,2386.0,Lifejackets
8,2020-06-01,2011.0,Lifejackets
9,2020-06-02,1972.0,Lifejackets
10,2020-06-03,1972.0,Lifejackets
11,2020-06-04,2817.0,Lifejackets
12,2020-06-05,3195.0,Lifejackets
13,2020-06-06,2542.0,Lifejackets
14,2020-06-07,2542.0,Lifejackets
15,2020-06-08,2924.0,Lifejackets
16,2020-06-09,4172.0,Lifejackets
17,2020-06-10,4417.0,Lifejackets
18,2020-06-11,4417.0,Lifejackets
19,2020-06-12,3957.0,Lifejackets
20,2020-06-13,3957.0,Lifejackets
21,2020-06-14,3803.0,Lifejackets
22,2020-06-15,2510.0,Lifejackets
23,2020-06-16,2383.0,Lifejackets
24,2020-06-17,2379.0,Lifejackets
25,2020-06-18,2020.0,Lifejackets
26,2020-06-19,1199.0,Lifejackets
27,2020-06-20,1299.0,Lifejackets
28,2020-06-21,1299.0,Lifejackets
29,2020-06-22,627.0,Lifejackets
30,2020-06-23,658.0,Lifejackets
31,2020-06-24,627.0,Lifejackets
32,2020-06-25,602.0,Lifejackets
33,2020-06-26,609.0,Lifejackets
34,2020-06-27,644.0,Lifejackets
35,2020-06-28,672.0,Lifejackets
36,2020-06-29,510.0,Lifejackets
37,2020-06-30,971.0,Lifejackets
38,2020-07-01,973.0,Lifejackets
39,2020-07-02,935.0,Lifejackets
40,2020-07-03,1600.0,Lifejackets
41,2020-07-04,1909.0,Lifejackets
42,2020-07-05,1909.0,Lifejackets
43,2020-07-06,2149.0,Lifejackets
44,2020-07-07,3220.0,Lifejackets
45,2020-07-08,3554.0,Lifejackets
46,2020-07-09,2732.0,Lifejackets
47,2020-07-10,3110.0,Lifejackets
48,2020-07-11,2934.0,Lifejackets
49,2020-07-12,2874.0,Lifejackets
50,2020-07-13,2445.0,Lifejackets
51,2020-07-14,2445.0,Lifejackets
52,2020-07-15,2840.0,Lifejackets
53,2020-07-16,2840.0,Lifejackets
54,2020-07-17,4440.0,Lifejackets
55,2020-07-18,4225.0,Lifejackets
56,2020-07-19,4225.0,Lifejackets
57,2020-07-20,3271.0,Lifejackets
58,2020-07-21,3468.0,Lifejackets
59,2020-07-22,3540.0,Lifejackets
60,2020-07-23,3540.0,Lifejackets
61,2020-07-24,3540.0,Lifejackets
62,2020-07-25,5296.0,Lifejackets
63,2020-07-26,5296.0,Lifejackets
64,2020-07-27,5958.0,Lifejackets
65,2020-07-28,5958.0,Lifejackets
66,2020-07-29,5809.0,Lifejackets
67,2020-07-30,5876.0,Lifejackets
68,2020-07-31,5876.0,Lifejackets
69,2020-08-01,5053.0,Lifejackets
70,2020-08-02,5343.0,Lifejackets
71,2020-08-03,5275.0,Lifejackets
72,2020-08-04,5275.0,Lifejackets
73,2020-08-05,6474.0,Lifejackets
74,2020-08-06,6474.0,Lifejackets
75,2020-08-07,6474.0,Lifejackets
76,2020-08-08,7358.0,Lifejackets
77,2020-08-09,6300.0,Lifejackets
78,2020-08-10,6300.0,Lifejackets
79,2020-08-11,6300.0,Lifejackets
80,2020-08-12,7158.0,Lifejackets
81,2020-08-13,7158.0,Lifejackets
82,2020-08-14,7158.0,Lifejackets
83,2020-08-15,9430.0,Lifejackets
84,2020-08-16,9430.0,Lifejackets
85,2020-08-17,6379.0,Lifejackets
86,2020-08-18,6379.0,Lifejackets
87,2020-08-19,4601.0,Lifejackets
88,2020-08-20,4601.0,Lifejackets
89,2020-08-21,4601.0,Lifejackets
