,date,value,name_B091F95KD7
0,2021-04-05,55493.0,Bed Pillows
1,2021-04-06,55493.0,Bed Pillows
2,2021-04-07,55493.0,Bed Pillows
3,2021-04-08,67078.0,Bed Pillows
4,2021-04-09,67078.0,Bed Pillows
5,2021-04-10,67078.0,Bed Pillows
6,2021-04-11,67078.0,Bed Pillows
7,2021-04-12,67078.0,Bed Pillows
8,2021-04-13,57865.0,Bed Pillows
9,2021-04-14,57865.0,Bed Pillows
10,2021-04-15,57865.0,Bed Pillows
11,2021-04-16,54840.0,Bed Pillows
12,2021-04-17,54840.0,Bed Pillows
13,2021-04-18,52864.0,Bed Pillows
14,2021-04-19,70424.0,Bed Pillows
15,2021-04-20,70424.0,Bed Pillows
16,2021-04-21,70424.0,Bed Pillows
17,2021-04-22,66428.0,Bed Pillows
18,2021-04-23,66428.0,Bed Pillows
19,2021-04-24,66428.0,Bed Pillows
20,2021-04-25,66428.0,Bed Pillows
21,2021-04-26,24385.0,Bed Pillows
22,2021-04-27,18839.0,Bed Pillows
23,2021-04-28,18839.0,Bed Pillows
24,2021-04-29,23273.0,Bed Pillows
25,2021-04-30,23273.0,Bed Pillows
26,2021-05-01,25803.0,Bed Pillows
27,2021-05-02,25803.0,Bed Pillows
28,2021-05-03,25803.0,Bed Pillows
29,2021-05-04,29175.0,Bed Pillows
30,2021-05-05,29175.0,Bed Pillows
31,2021-05-06,18870.0,Bed Pillows
32,2021-05-07,19424.0,Bed Pillows
33,2021-05-08,19424.0,Bed Pillows
34,2021-05-09,19424.0,Bed Pillows
35,2021-05-10,23532.0,Bed Pillows
36,2021-05-11,23532.0,Bed Pillows
37,2021-05-12,23532.0,Bed Pillows
38,2021-05-13,23532.0,Bed Pillows
39,2021-05-14,23532.0,Bed Pillows
40,2021-05-15,22673.0,Bed Pillows
41,2021-05-16,22673.0,Bed Pillows
42,2021-05-17,22673.0,Bed Pillows
43,2021-05-18,17886.0,Bed Pillows
44,2021-05-19,17886.0,Bed Pillows
45,2021-05-20,32361.0,Bed Pillows
46,2021-05-21,32361.0,Bed Pillows
47,2021-05-22,40400.0,Bed Pillows
48,2021-05-23,46619.0,Bed Pillows
49,2021-05-24,46619.0,Bed Pillows
50,2021-05-25,46619.0,Bed Pillows
51,2021-05-26,46619.0,Bed Pillows
52,2021-05-27,87292.0,Bed Pillows
53,2021-05-28,87292.0,Bed Pillows
54,2021-05-29,87292.0,Bed Pillows
55,2021-05-30,87292.0,Bed Pillows
56,2021-05-31,97782.0,Bed Pillows
57,2021-06-01,97782.0,Bed Pillows
58,2021-06-02,97782.0,Bed Pillows
59,2021-06-03,76732.0,Bed Pillows
60,2021-06-04,76732.0,Bed Pillows
61,2021-06-05,76732.0,Bed Pillows
62,2021-06-06,105968.0,Bed Pillows
63,2021-06-07,105968.0,Bed Pillows
64,2021-06-08,105968.0,Bed Pillows
65,2021-06-09,75450.0,Bed Pillows
66,2021-06-10,98333.0,Bed Pillows
67,2021-06-11,98301.0,Bed Pillows
68,2021-06-12,98301.0,Bed Pillows
69,2021-06-13,98301.0,Bed Pillows
70,2021-06-14,98301.0,Bed Pillows
71,2021-06-15,41859.0,Bed Pillows
72,2021-06-16,33958.0,Bed Pillows
73,2021-06-17,46358.0,Bed Pillows
74,2021-06-18,46358.0,Bed Pillows
75,2021-06-19,46358.0,Bed Pillows
76,2021-06-20,46358.0,Bed Pillows
77,2021-06-21,25583.0,Bed Pillows
78,2021-06-22,26622.0,Bed Pillows
79,2021-06-23,28762.0,Bed Pillows
80,2021-06-24,20494.0,Bed Pillows
81,2021-06-25,12049.0,Bed Pillows
82,2021-06-26,8014.0,Bed Pillows
83,2021-06-27,8014.0,Bed Pillows
84,2021-06-28,5107.0,Bed Pillows
85,2021-06-29,6130.0,Bed Pillows
86,2021-06-30,8718.0,Bed Pillows
87,2021-07-01,15503.0,Bed Pillows
88,2021-07-02,22874.0,Bed Pillows
89,2021-07-03,22874.0,Bed Pillows
90,2021-07-04,23237.0,Bed Pillows
91,2021-07-05,26524.0,Bed Pillows
92,2021-07-06,26257.0,Bed Pillows
93,2021-07-07,27174.0,Bed Pillows
94,2021-07-08,27174.0,Bed Pillows
95,2021-07-09,34035.0,Bed Pillows
96,2021-07-10,15810.0,Bed Pillows
97,2021-07-11,17055.0,Bed Pillows
