,date,value,name_B08PHHSYC3
0,2020-12-07,21641.0,Clothing Protectors
1,2020-12-08,19922.0,Clothing Protectors
2,2020-12-09,19811.0,Clothing Protectors
3,2020-12-10,19811.0,Clothing Protectors
4,2020-12-11,18269.0,Clothing Protectors
5,2020-12-12,18269.0,Clothing Protectors
6,2020-12-13,18269.0,Clothing Protectors
7,2020-12-14,18269.0,Clothing Protectors
8,2020-12-15,14566.0,Clothing Protectors
9,2020-12-16,14566.0,Clothing Protectors
10,2020-12-17,14566.0,Clothing Protectors
11,2020-12-18,14566.0,Clothing Protectors
12,2020-12-19,14566.0,Clothing Protectors
13,2020-12-20,11187.0,Clothing Protectors
14,2020-12-21,11187.0,Clothing Protectors
15,2020-12-22,11187.0,Clothing Protectors
16,2020-12-23,20118.0,Clothing Protectors
17,2020-12-24,20118.0,Clothing Protectors
18,2020-12-25,20118.0,Clothing Protectors
19,2020-12-26,20118.0,Clothing Protectors
20,2020-12-27,20118.0,Clothing Protectors
21,2020-12-28,21175.0,Clothing Protectors
22,2020-12-29,27578.0,Clothing Protectors
23,2020-12-30,28253.0,Clothing Protectors
24,2020-12-31,28253.0,Clothing Protectors
25,2021-01-01,28253.0,Clothing Protectors
26,2021-01-02,28253.0,Clothing Protectors
27,2021-01-03,28253.0,Clothing Protectors
28,2021-01-04,28253.0,Clothing Protectors
29,2021-01-05,36129.0,Clothing Protectors
30,2021-01-06,36129.0,Clothing Protectors
31,2021-01-07,36129.0,Clothing Protectors
32,2021-01-08,43173.0,Clothing Protectors
33,2021-01-09,43173.0,Clothing Protectors
34,2021-01-10,43173.0,Clothing Protectors
35,2021-01-11,43173.0,Clothing Protectors
36,2021-01-12,35579.0,Clothing Protectors
37,2021-01-13,35579.0,Clothing Protectors
38,2021-01-14,35579.0,Clothing Protectors
39,2021-01-15,35579.0,Clothing Protectors
40,2021-01-16,35579.0,Clothing Protectors
41,2021-01-17,35579.0,Clothing Protectors
42,2021-01-18,35579.0,Clothing Protectors
43,2021-01-19,35579.0,Clothing Protectors
44,2021-01-20,31287.0,Clothing Protectors
45,2021-01-21,31287.0,Clothing Protectors
46,2021-01-22,31287.0,Clothing Protectors
47,2021-01-23,31287.0,Clothing Protectors
48,2021-01-24,31287.0,Clothing Protectors
49,2021-01-25,31287.0,Clothing Protectors
50,2021-01-26,33305.0,Clothing Protectors
51,2021-01-27,33305.0,Clothing Protectors
52,2021-01-28,33305.0,Clothing Protectors
53,2021-01-29,33305.0,Clothing Protectors
54,2021-01-30,49026.0,Clothing Protectors
55,2021-01-31,49026.0,Clothing Protectors
56,2021-02-01,49026.0,Clothing Protectors
57,2021-02-02,34429.0,Clothing Protectors
58,2021-02-03,34429.0,Clothing Protectors
59,2021-02-04,34429.0,Clothing Protectors
60,2021-02-05,34429.0,Clothing Protectors
61,2021-02-06,31807.0,Clothing Protectors
62,2021-02-07,31807.0,Clothing Protectors
63,2021-02-08,31807.0,Clothing Protectors
64,2021-02-09,31807.0,Clothing Protectors
65,2021-02-10,30970.0,Clothing Protectors
66,2021-02-11,30970.0,Clothing Protectors
67,2021-02-12,30970.0,Clothing Protectors
68,2021-02-13,30970.0,Clothing Protectors
69,2021-02-14,30970.0,Clothing Protectors
70,2021-02-15,30970.0,Clothing Protectors
71,2021-02-16,30970.0,Clothing Protectors
72,2021-02-17,30970.0,Clothing Protectors
73,2021-02-18,30970.0,Clothing Protectors
74,2021-02-19,39533.0,Clothing Protectors
75,2021-02-20,33986.0,Clothing Protectors
76,2021-02-21,33986.0,Clothing Protectors
77,2021-02-22,33986.0,Clothing Protectors
78,2021-02-23,33986.0,Clothing Protectors
79,2021-02-24,33986.0,Clothing Protectors
80,2021-02-25,33986.0,Clothing Protectors
81,2021-02-26,33986.0,Clothing Protectors
82,2021-02-27,33986.0,Clothing Protectors
83,2021-02-28,33986.0,Clothing Protectors
84,2021-03-01,33986.0,Clothing Protectors
85,2021-03-02,29007.0,Clothing Protectors
86,2021-03-03,29007.0,Clothing Protectors
87,2021-03-04,29007.0,Clothing Protectors
88,2021-03-05,29007.0,Clothing Protectors
89,2021-03-06,29007.0,Clothing Protectors
90,2021-03-07,32491.0,Clothing Protectors
91,2021-03-08,32491.0,Clothing Protectors
92,2021-03-09,32491.0,Clothing Protectors
93,2021-03-10,27460.0,Clothing Protectors
94,2021-03-11,27460.0,Clothing Protectors
95,2021-03-12,27460.0,Clothing Protectors
96,2021-03-13,27460.0,Clothing Protectors
97,2021-03-14,23753.0,Clothing Protectors
98,2021-03-15,26639.0,Clothing Protectors
99,2021-03-16,26639.0,Clothing Protectors
100,2021-03-17,35450.0,Clothing Protectors
101,2021-03-18,34541.0,Clothing Protectors
102,2021-03-19,34541.0,Clothing Protectors
103,2021-03-20,34541.0,Clothing Protectors
104,2021-03-21,34541.0,Clothing Protectors
105,2021-03-22,30352.0,Clothing Protectors
106,2021-03-23,30352.0,Clothing Protectors
107,2021-03-24,31407.0,Clothing Protectors
108,2021-03-25,31407.0,Clothing Protectors
109,2021-03-26,31407.0,Clothing Protectors
110,2021-03-27,31407.0,Clothing Protectors
111,2021-03-28,31407.0,Clothing Protectors
112,2021-03-29,26561.0,Clothing Protectors
113,2021-03-30,26561.0,Clothing Protectors
114,2021-03-31,26561.0,Clothing Protectors
115,2021-04-01,22919.0,Clothing Protectors
116,2021-04-02,22919.0,Clothing Protectors
117,2021-04-03,22919.0,Clothing Protectors
118,2021-04-04,22919.0,Clothing Protectors
119,2021-04-05,25474.0,Clothing Protectors
120,2021-04-06,22849.0,Clothing Protectors
121,2021-04-07,22849.0,Clothing Protectors
122,2021-04-08,22849.0,Clothing Protectors
123,2021-04-09,23174.0,Clothing Protectors
124,2021-04-10,25413.0,Clothing Protectors
125,2021-04-11,25413.0,Clothing Protectors
126,2021-04-12,25413.0,Clothing Protectors
127,2021-04-13,28766.0,Clothing Protectors
128,2021-04-14,28766.0,Clothing Protectors
129,2021-04-15,26671.0,Clothing Protectors
130,2021-04-16,26671.0,Clothing Protectors
131,2021-04-17,26671.0,Clothing Protectors
132,2021-04-18,29116.0,Clothing Protectors
133,2021-04-19,29116.0,Clothing Protectors
134,2021-04-20,29116.0,Clothing Protectors
135,2021-04-21,28770.0,Clothing Protectors
136,2021-04-22,30139.0,Clothing Protectors
137,2021-04-23,24197.0,Clothing Protectors
138,2021-04-24,24197.0,Clothing Protectors
139,2021-04-25,24197.0,Clothing Protectors
140,2021-04-26,24197.0,Clothing Protectors
141,2021-04-27,22456.0,Clothing Protectors
142,2021-04-28,22456.0,Clothing Protectors
143,2021-04-29,22456.0,Clothing Protectors
144,2021-04-30,22456.0,Clothing Protectors
145,2021-05-01,22456.0,Clothing Protectors
146,2021-05-02,22456.0,Clothing Protectors
147,2021-05-03,22456.0,Clothing Protectors
148,2021-05-04,18141.0,Clothing Protectors
149,2021-05-05,18141.0,Clothing Protectors
150,2021-05-06,23592.0,Clothing Protectors
151,2021-05-07,23592.0,Clothing Protectors
152,2021-05-08,23592.0,Clothing Protectors
153,2021-05-09,18801.0,Clothing Protectors
154,2021-05-10,18801.0,Clothing Protectors
155,2021-05-11,27532.0,Clothing Protectors
156,2021-05-12,27532.0,Clothing Protectors
157,2021-05-13,27532.0,Clothing Protectors
