,date,value,name_B082F6WGQ9
0,2020-09-13,28918.0,Reading Glasses
1,2020-09-14,28918.0,Reading Glasses
2,2020-09-15,28918.0,Reading Glasses
3,2020-09-16,28918.0,Reading Glasses
4,2020-09-17,21494.0,Reading Glasses
5,2020-09-18,21494.0,Reading Glasses
6,2020-09-19,21494.0,Reading Glasses
7,2020-09-20,21494.0,Reading Glasses
8,2020-09-21,22067.0,Reading Glasses
9,2020-09-22,22067.0,Reading Glasses
10,2020-09-23,22067.0,Reading Glasses
11,2020-09-24,20655.0,Reading Glasses
12,2020-09-25,20655.0,Reading Glasses
13,2020-09-26,20655.0,Reading Glasses
14,2020-09-27,20655.0,Reading Glasses
15,2020-09-28,20655.0,Reading Glasses
16,2020-09-29,19901.0,Reading Glasses
17,2020-09-30,19901.0,Reading Glasses
18,2020-10-01,19901.0,Reading Glasses
19,2020-10-02,23460.0,Reading Glasses
20,2020-10-03,23460.0,Reading Glasses
21,2020-10-04,23460.0,Reading Glasses
22,2020-10-05,20931.0,Reading Glasses
23,2020-10-06,18741.0,Reading Glasses
24,2020-10-07,18741.0,Reading Glasses
25,2020-10-08,18741.0,Reading Glasses
26,2020-10-09,18741.0,Reading Glasses
27,2020-10-10,20116.0,Reading Glasses
28,2020-10-11,20116.0,Reading Glasses
29,2020-10-12,20116.0,Reading Glasses
30,2020-10-13,30440.0,Reading Glasses
31,2020-10-14,30440.0,Reading Glasses
32,2020-10-15,33084.0,Reading Glasses
33,2020-10-16,33084.0,Reading Glasses
34,2020-10-17,33084.0,Reading Glasses
35,2020-10-18,38304.0,Reading Glasses
36,2020-10-19,38304.0,Reading Glasses
37,2020-10-20,38304.0,Reading Glasses
38,2020-10-21,38304.0,Reading Glasses
39,2020-10-22,38304.0,Reading Glasses
40,2020-10-23,38304.0,Reading Glasses
41,2020-10-24,30325.0,Reading Glasses
42,2020-10-25,25630.0,Reading Glasses
43,2020-10-26,25630.0,Reading Glasses
44,2020-10-27,25630.0,Reading Glasses
45,2020-10-28,25630.0,Reading Glasses
46,2020-10-29,20495.0,Reading Glasses
47,2020-10-30,20495.0,Reading Glasses
48,2020-10-31,20495.0,Reading Glasses
49,2020-11-01,33501.0,Reading Glasses
50,2020-11-02,33501.0,Reading Glasses
51,2020-11-03,59392.0,Reading Glasses
52,2020-11-04,59392.0,Reading Glasses
53,2020-11-05,59392.0,Reading Glasses
54,2020-11-06,59392.0,Reading Glasses
55,2020-11-07,59392.0,Reading Glasses
56,2020-11-08,59392.0,Reading Glasses
57,2020-11-09,59392.0,Reading Glasses
58,2020-11-10,59392.0,Reading Glasses
59,2020-11-11,165468.0,Reading Glasses
60,2020-11-12,165468.0,Reading Glasses
61,2020-11-13,165468.0,Reading Glasses
62,2020-11-14,165468.0,Reading Glasses
63,2020-11-15,185354.0,Reading Glasses
64,2020-11-16,185354.0,Reading Glasses
65,2020-11-17,185354.0,Reading Glasses
66,2020-11-18,185354.0,Reading Glasses
67,2020-11-19,185354.0,Reading Glasses
68,2020-11-20,185354.0,Reading Glasses
69,2020-11-21,185354.0,Reading Glasses
70,2020-11-22,185354.0,Reading Glasses
71,2020-11-23,185354.0,Reading Glasses
72,2020-11-24,185354.0,Reading Glasses
73,2020-11-25,185354.0,Reading Glasses
74,2020-11-26,185354.0,Reading Glasses
75,2020-11-27,185354.0,Reading Glasses
76,2020-11-28,185354.0,Reading Glasses
77,2020-11-29,185354.0,Reading Glasses
78,2020-11-30,185354.0,Reading Glasses
79,2020-12-01,185354.0,Reading Glasses
80,2020-12-02,185354.0,Reading Glasses
81,2020-12-03,185354.0,Reading Glasses
82,2020-12-04,185354.0,Reading Glasses
83,2020-12-05,185354.0,Reading Glasses
84,2020-12-06,185354.0,Reading Glasses
85,2020-12-07,185354.0,Reading Glasses
86,2020-12-08,185354.0,Reading Glasses
87,2020-12-09,185354.0,Reading Glasses
88,2020-12-10,254066.0,Reading Glasses
89,2020-12-11,254066.0,Reading Glasses
90,2020-12-12,254066.0,Reading Glasses
91,2020-12-13,260292.0,Reading Glasses
92,2020-12-14,260292.0,Reading Glasses
93,2020-12-15,260292.0,Reading Glasses
94,2020-12-16,260292.0,Reading Glasses
95,2020-12-17,260292.0,Reading Glasses
96,2020-12-18,260292.0,Reading Glasses
97,2020-12-19,260292.0,Reading Glasses
98,2020-12-20,264173.0,Reading Glasses
99,2020-12-21,264173.0,Reading Glasses
100,2020-12-22,264173.0,Reading Glasses
101,2020-12-23,264173.0,Reading Glasses
102,2020-12-24,264173.0,Reading Glasses
103,2020-12-25,264173.0,Reading Glasses
104,2020-12-26,264173.0,Reading Glasses
105,2020-12-27,264173.0,Reading Glasses
106,2020-12-28,264173.0,Reading Glasses
107,2020-12-29,264173.0,Reading Glasses
