,date,value,name_B07H47T91C
167,2019-12-06,18916.0,Costumes
168,2019-12-07,18916.0,Costumes
169,2019-12-08,18916.0,Costumes
170,2019-12-09,21582.0,Costumes
171,2019-12-10,21582.0,Costumes
172,2019-12-11,23092.0,Costumes
173,2019-12-12,23092.0,Costumes
174,2019-12-13,23092.0,Costumes
175,2019-12-14,26929.0,Costumes
176,2019-12-15,26929.0,Costumes
177,2019-12-16,26929.0,Costumes
178,2019-12-17,23784.0,Costumes
179,2019-12-18,23784.0,Costumes
180,2019-12-19,20413.0,Costumes
181,2019-12-20,29680.0,Costumes
182,2019-12-21,29680.0,Costumes
183,2019-12-22,29680.0,Costumes
184,2019-12-23,29680.0,Costumes
185,2019-12-24,22738.0,Costumes
186,2019-12-25,22738.0,Costumes
187,2019-12-26,22738.0,Costumes
188,2019-12-27,22985.0,Costumes
189,2019-12-28,28391.0,Costumes
190,2019-12-29,28391.0,Costumes
191,2019-12-30,28391.0,Costumes
192,2019-12-31,28391.0,Costumes
193,2020-01-01,21688.0,Costumes
194,2020-01-02,21007.0,Costumes
195,2020-01-03,21007.0,Costumes
196,2020-01-04,21007.0,Costumes
197,2020-01-05,21007.0,Costumes
198,2020-01-06,21007.0,Costumes
199,2020-01-07,21007.0,Costumes
200,2020-01-08,19775.0,Costumes
201,2020-01-09,19775.0,Costumes
202,2020-01-10,19775.0,Costumes
203,2020-01-11,15421.0,Costumes
204,2020-01-12,15421.0,Costumes
205,2020-01-13,15421.0,Costumes
206,2020-01-14,15421.0,Costumes
207,2020-01-15,15421.0,Costumes
208,2020-01-16,15421.0,Costumes
209,2020-01-17,11207.0,Costumes
210,2020-01-18,11207.0,Costumes
211,2020-01-19,11207.0,Costumes
212,2020-01-20,16617.0,Costumes
213,2020-01-21,16617.0,Costumes
214,2020-01-22,7638.0,Costumes
215,2020-01-23,7638.0,Costumes
216,2020-01-24,7638.0,Costumes
217,2020-01-25,7864.0,Costumes
218,2020-01-26,7864.0,Costumes
219,2020-01-27,8837.0,Costumes
220,2020-01-28,8837.0,Costumes
221,2020-01-29,8837.0,Costumes
222,2020-01-30,8837.0,Costumes
223,2020-01-31,8955.0,Costumes
224,2020-02-01,8955.0,Costumes
225,2020-02-02,8955.0,Costumes
226,2020-02-03,8955.0,Costumes
227,2020-02-04,9116.0,Costumes
228,2020-02-05,9116.0,Costumes
229,2020-02-06,10279.0,Costumes
230,2020-02-07,10279.0,Costumes
231,2020-02-08,10062.0,Costumes
232,2020-02-09,10062.0,Costumes
233,2020-02-10,10062.0,Costumes
234,2020-02-11,12521.0,Costumes
235,2020-02-12,12521.0,Costumes
236,2020-02-13,12521.0,Costumes
237,2020-02-14,12521.0,Costumes
238,2020-02-15,12521.0,Costumes
239,2020-02-16,8403.0,Costumes
240,2020-02-17,8403.0,Costumes
241,2020-02-18,8403.0,Costumes
242,2020-02-19,5939.0,Costumes
243,2020-02-20,5939.0,Costumes
244,2020-02-21,6772.0,Costumes
245,2020-02-22,6772.0,Costumes
246,2020-02-23,6772.0,Costumes
247,2020-02-24,4652.0,Costumes
248,2020-02-25,4652.0,Costumes
249,2020-02-26,4714.0,Costumes
250,2020-02-27,4714.0,Costumes
251,2020-02-28,4714.0,Costumes
252,2020-02-29,4714.0,Costumes
253,2020-03-01,4714.0,Costumes
254,2020-03-02,4714.0,Costumes
255,2020-03-03,4288.0,Costumes
256,2020-03-04,4288.0,Costumes
257,2020-03-05,5411.0,Costumes
258,2020-03-06,5411.0,Costumes
259,2020-03-07,5411.0,Costumes
260,2020-03-08,5411.0,Costumes
261,2020-03-09,5411.0,Costumes
262,2020-03-10,30884.0,Costumes
263,2020-03-11,30884.0,Costumes
264,2020-03-12,30884.0,Costumes
265,2020-03-13,11480.0,Costumes
266,2020-03-14,11480.0,Costumes
267,2020-03-15,11480.0,Costumes
268,2020-03-16,16891.0,Costumes
269,2020-03-17,16891.0,Costumes
270,2020-03-18,16891.0,Costumes
271,2020-03-19,30715.0,Costumes
272,2020-03-20,30715.0,Costumes
273,2020-03-21,30715.0,Costumes
274,2020-03-22,30715.0,Costumes
275,2020-03-23,30715.0,Costumes
276,2020-03-24,37523.0,Costumes
277,2020-03-25,37523.0,Costumes
278,2020-03-26,37523.0,Costumes
279,2020-03-27,37523.0,Costumes
280,2020-03-28,37523.0,Costumes
281,2020-03-29,40402.0,Costumes
282,2020-03-30,54904.0,Costumes
283,2020-03-31,39572.0,Costumes
284,2020-04-01,39572.0,Costumes
285,2020-04-02,39572.0,Costumes
286,2020-04-03,39572.0,Costumes
287,2020-04-04,39572.0,Costumes
288,2020-04-05,39572.0,Costumes
289,2020-04-06,39572.0,Costumes
290,2020-04-07,39572.0,Costumes
291,2020-04-08,-1.0,Costumes
292,2020-04-09,-1.0,Costumes
293,2020-04-10,-1.0,Costumes
294,2020-04-11,-1.0,Costumes
295,2020-04-12,-1.0,Costumes
296,2020-04-13,-1.0,Costumes
297,2020-04-14,-1.0,Costumes
