,date,value,name_B08W39L21P
0,2021-03-04,2095336.0,Chaise Lounge Covers
1,2021-03-05,2095336.0,Chaise Lounge Covers
2,2021-03-06,2095336.0,Chaise Lounge Covers
3,2021-03-07,2095336.0,Chaise Lounge Covers
4,2021-03-08,2095336.0,Chaise Lounge Covers
5,2021-03-09,2095336.0,Chaise Lounge Covers
6,2021-03-10,2095336.0,Chaise Lounge Covers
7,2021-03-11,2095336.0,Chaise Lounge Covers
8,2021-03-12,78272.0,Chaise Lounge Covers
9,2021-03-13,78272.0,Chaise Lounge Covers
10,2021-03-14,78272.0,Chaise Lounge Covers
11,2021-03-15,78272.0,Chaise Lounge Covers
12,2021-03-16,77222.0,Chaise Lounge Covers
13,2021-03-17,77222.0,Chaise Lounge Covers
14,2021-03-18,77222.0,Chaise Lounge Covers
15,2021-03-19,77222.0,Chaise Lounge Covers
16,2021-03-20,77222.0,Chaise Lounge Covers
17,2021-03-21,77222.0,Chaise Lounge Covers
18,2021-03-22,13843.0,Chaise Lounge Covers
19,2021-03-23,13843.0,Chaise Lounge Covers
20,2021-03-24,14148.0,Chaise Lounge Covers
21,2021-03-25,14148.0,Chaise Lounge Covers
22,2021-03-26,14148.0,Chaise Lounge Covers
23,2021-03-27,14148.0,Chaise Lounge Covers
24,2021-03-28,12261.0,Chaise Lounge Covers
25,2021-03-29,12261.0,Chaise Lounge Covers
26,2021-03-30,12261.0,Chaise Lounge Covers
27,2021-03-31,17294.0,Chaise Lounge Covers
28,2021-04-01,32090.0,Chaise Lounge Covers
29,2021-04-02,32090.0,Chaise Lounge Covers
30,2021-04-03,32090.0,Chaise Lounge Covers
31,2021-04-04,32090.0,Chaise Lounge Covers
32,2021-04-05,32090.0,Chaise Lounge Covers
33,2021-04-06,38921.0,Chaise Lounge Covers
34,2021-04-07,38921.0,Chaise Lounge Covers
35,2021-04-08,38921.0,Chaise Lounge Covers
36,2021-04-09,105025.0,Chaise Lounge Covers
37,2021-04-10,105025.0,Chaise Lounge Covers
38,2021-04-11,105025.0,Chaise Lounge Covers
39,2021-04-12,105025.0,Chaise Lounge Covers
40,2021-04-13,53064.0,Chaise Lounge Covers
41,2021-04-14,44042.0,Chaise Lounge Covers
42,2021-04-15,44042.0,Chaise Lounge Covers
43,2021-04-16,44042.0,Chaise Lounge Covers
44,2021-04-17,44042.0,Chaise Lounge Covers
45,2021-04-18,44042.0,Chaise Lounge Covers
46,2021-04-19,41526.0,Chaise Lounge Covers
47,2021-04-20,50468.0,Chaise Lounge Covers
48,2021-04-21,37935.0,Chaise Lounge Covers
49,2021-04-22,37935.0,Chaise Lounge Covers
50,2021-04-23,57017.0,Chaise Lounge Covers
51,2021-04-24,57017.0,Chaise Lounge Covers
52,2021-04-25,57017.0,Chaise Lounge Covers
53,2021-04-26,57017.0,Chaise Lounge Covers
54,2021-04-27,28969.0,Chaise Lounge Covers
55,2021-04-28,28969.0,Chaise Lounge Covers
56,2021-04-29,28969.0,Chaise Lounge Covers
57,2021-04-30,28933.0,Chaise Lounge Covers
58,2021-05-01,28933.0,Chaise Lounge Covers
59,2021-05-02,28933.0,Chaise Lounge Covers
60,2021-05-03,16181.0,Chaise Lounge Covers
61,2021-05-04,16181.0,Chaise Lounge Covers
62,2021-05-05,16181.0,Chaise Lounge Covers
63,2021-05-06,22236.0,Chaise Lounge Covers
64,2021-05-07,22236.0,Chaise Lounge Covers
65,2021-05-08,22236.0,Chaise Lounge Covers
66,2021-05-09,22236.0,Chaise Lounge Covers
67,2021-05-10,19638.0,Chaise Lounge Covers
68,2021-05-11,14679.0,Chaise Lounge Covers
69,2021-05-12,14679.0,Chaise Lounge Covers
70,2021-05-13,14679.0,Chaise Lounge Covers
