,date,value,name_B08Z3JGGZN
0,2021-03-19,7564.0,Artificial Flowers
1,2021-03-20,7006.0,Artificial Flowers
2,2021-03-21,7006.0,Artificial Flowers
3,2021-03-22,4465.0,Artificial Flowers
4,2021-03-23,4465.0,Artificial Flowers
5,2021-03-24,6816.0,Artificial Flowers
6,2021-03-25,5090.0,Artificial Flowers
7,2021-03-26,5090.0,Artificial Flowers
8,2021-03-27,3678.0,Artificial Flowers
9,2021-03-28,2493.0,Artificial Flowers
10,2021-03-29,2268.0,Artificial Flowers
11,2021-03-30,2782.0,Artificial Flowers
12,2021-03-31,2782.0,Artificial Flowers
13,2021-04-01,2675.0,Artificial Flowers
14,2021-04-02,2626.0,Artificial Flowers
15,2021-04-03,3456.0,Artificial Flowers
16,2021-04-04,3456.0,Artificial Flowers
17,2021-04-05,3456.0,Artificial Flowers
18,2021-04-06,1761.0,Artificial Flowers
19,2021-04-07,2174.0,Artificial Flowers
20,2021-04-08,2365.0,Artificial Flowers
21,2021-04-09,2201.0,Artificial Flowers
22,2021-04-10,2745.0,Artificial Flowers
23,2021-04-11,2745.0,Artificial Flowers
24,2021-04-12,3496.0,Artificial Flowers
25,2021-04-13,3259.0,Artificial Flowers
26,2021-04-14,3899.0,Artificial Flowers
27,2021-04-15,3743.0,Artificial Flowers
28,2021-04-16,3367.0,Artificial Flowers
29,2021-04-17,3367.0,Artificial Flowers
30,2021-04-18,3195.0,Artificial Flowers
31,2021-04-19,2240.0,Artificial Flowers
32,2021-04-20,2936.0,Artificial Flowers
33,2021-04-21,3343.0,Artificial Flowers
34,2021-04-22,3471.0,Artificial Flowers
35,2021-04-23,3603.0,Artificial Flowers
36,2021-04-24,3461.0,Artificial Flowers
37,2021-04-25,3461.0,Artificial Flowers
38,2021-04-26,5957.0,Artificial Flowers
39,2021-04-27,5957.0,Artificial Flowers
40,2021-04-28,7705.0,Artificial Flowers
41,2021-04-29,7705.0,Artificial Flowers
42,2021-04-30,6677.0,Artificial Flowers
43,2021-05-01,6677.0,Artificial Flowers
44,2021-05-02,7993.0,Artificial Flowers
45,2021-05-03,6034.0,Artificial Flowers
46,2021-05-04,6034.0,Artificial Flowers
47,2021-05-05,9280.0,Artificial Flowers
48,2021-05-06,12829.0,Artificial Flowers
49,2021-05-07,12829.0,Artificial Flowers
50,2021-05-08,10025.0,Artificial Flowers
51,2021-05-09,10025.0,Artificial Flowers
52,2021-05-10,10896.0,Artificial Flowers
53,2021-05-11,10106.0,Artificial Flowers
54,2021-05-12,13171.0,Artificial Flowers
55,2021-05-13,13171.0,Artificial Flowers
56,2021-05-14,10193.0,Artificial Flowers
57,2021-05-15,10193.0,Artificial Flowers
58,2021-05-16,10193.0,Artificial Flowers
59,2021-05-17,6577.0,Artificial Flowers
60,2021-05-18,6577.0,Artificial Flowers
61,2021-05-19,6543.0,Artificial Flowers
62,2021-05-20,6741.0,Artificial Flowers
63,2021-05-21,7705.0,Artificial Flowers
64,2021-05-22,7705.0,Artificial Flowers
65,2021-05-23,10081.0,Artificial Flowers
66,2021-05-24,12251.0,Artificial Flowers
67,2021-05-25,12251.0,Artificial Flowers
68,2021-05-26,11149.0,Artificial Flowers
69,2021-05-27,11450.0,Artificial Flowers
70,2021-05-28,11650.0,Artificial Flowers
71,2021-05-29,11650.0,Artificial Flowers
72,2021-05-30,10275.0,Artificial Flowers
73,2021-05-31,10275.0,Artificial Flowers
74,2021-06-01,16083.0,Artificial Flowers
75,2021-06-02,16083.0,Artificial Flowers
76,2021-06-03,16083.0,Artificial Flowers
77,2021-06-04,12834.0,Artificial Flowers
78,2021-06-05,12834.0,Artificial Flowers
79,2021-06-06,12834.0,Artificial Flowers
80,2021-06-07,15669.0,Artificial Flowers
81,2021-06-08,13215.0,Artificial Flowers
82,2021-06-09,13215.0,Artificial Flowers
83,2021-06-10,13986.0,Artificial Flowers
84,2021-06-11,13986.0,Artificial Flowers
85,2021-06-12,11165.0,Artificial Flowers
86,2021-06-13,11165.0,Artificial Flowers
87,2021-06-14,8268.0,Artificial Flowers
88,2021-06-15,9815.0,Artificial Flowers
89,2021-06-16,9815.0,Artificial Flowers
90,2021-06-17,9815.0,Artificial Flowers
91,2021-06-18,9704.0,Artificial Flowers
92,2021-06-19,9704.0,Artificial Flowers
93,2021-06-20,9084.0,Artificial Flowers
94,2021-06-21,7201.0,Artificial Flowers
95,2021-06-22,10166.0,Artificial Flowers
96,2021-06-23,15069.0,Artificial Flowers
97,2021-06-24,14205.0,Artificial Flowers
98,2021-06-25,9860.0,Artificial Flowers
99,2021-06-26,9860.0,Artificial Flowers
100,2021-06-27,10247.0,Artificial Flowers
101,2021-06-28,10247.0,Artificial Flowers
102,2021-06-29,13365.0,Artificial Flowers
103,2021-06-30,10199.0,Artificial Flowers
104,2021-07-01,10199.0,Artificial Flowers
105,2021-07-02,8263.0,Artificial Flowers
106,2021-07-03,8263.0,Artificial Flowers
107,2021-07-04,15148.0,Artificial Flowers
108,2021-07-05,15148.0,Artificial Flowers
109,2021-07-06,17230.0,Artificial Flowers
110,2021-07-07,14187.0,Artificial Flowers
111,2021-07-08,14187.0,Artificial Flowers
112,2021-07-09,14771.0,Artificial Flowers
113,2021-07-10,14768.0,Artificial Flowers
