,date,value,name_B084GK91M5
167,2020-11-13,6073.0,Decorations
168,2020-11-14,6986.0,Decorations
169,2020-11-15,6986.0,Decorations
170,2020-11-16,6986.0,Decorations
171,2020-11-17,6986.0,Decorations
172,2020-11-18,6986.0,Decorations
173,2020-11-19,10949.0,Decorations
174,2020-11-20,10949.0,Decorations
175,2020-11-21,10949.0,Decorations
176,2020-11-22,10949.0,Decorations
177,2020-11-23,10949.0,Decorations
178,2020-11-24,16393.0,Decorations
179,2020-11-25,16393.0,Decorations
180,2020-11-26,16393.0,Decorations
181,2020-11-27,20784.0,Decorations
182,2020-11-28,20784.0,Decorations
183,2020-11-29,20784.0,Decorations
184,2020-11-30,20784.0,Decorations
185,2020-12-01,20784.0,Decorations
186,2020-12-02,25803.0,Decorations
187,2020-12-03,25803.0,Decorations
188,2020-12-04,25803.0,Decorations
189,2020-12-05,25803.0,Decorations
190,2020-12-06,25803.0,Decorations
191,2020-12-07,25803.0,Decorations
192,2020-12-08,22201.0,Decorations
193,2020-12-09,22201.0,Decorations
194,2020-12-10,22201.0,Decorations
195,2020-12-11,22201.0,Decorations
196,2020-12-12,38051.0,Decorations
197,2020-12-13,38051.0,Decorations
198,2020-12-14,38051.0,Decorations
199,2020-12-15,38051.0,Decorations
200,2020-12-16,38051.0,Decorations
201,2020-12-17,30720.0,Decorations
202,2020-12-18,30720.0,Decorations
203,2020-12-19,30720.0,Decorations
204,2020-12-20,30720.0,Decorations
205,2020-12-21,30720.0,Decorations
206,2020-12-22,33709.0,Decorations
207,2020-12-23,33709.0,Decorations
208,2020-12-24,33709.0,Decorations
209,2020-12-25,33709.0,Decorations
210,2020-12-26,14144.0,Decorations
211,2020-12-27,14144.0,Decorations
212,2020-12-28,14144.0,Decorations
213,2020-12-29,14144.0,Decorations
214,2020-12-30,6831.0,Decorations
215,2020-12-31,6831.0,Decorations
216,2021-01-01,4209.0,Decorations
217,2021-01-02,4209.0,Decorations
218,2021-01-03,4209.0,Decorations
219,2021-01-04,2258.0,Decorations
220,2021-01-05,2258.0,Decorations
221,2021-01-06,1844.0,Decorations
222,2021-01-07,1844.0,Decorations
223,2021-01-08,2047.0,Decorations
224,2021-01-09,2047.0,Decorations
225,2021-01-10,2047.0,Decorations
226,2021-01-11,1648.0,Decorations
227,2021-01-12,2105.0,Decorations
228,2021-01-13,2105.0,Decorations
229,2021-01-14,1392.0,Decorations
230,2021-01-15,1392.0,Decorations
231,2021-01-16,1392.0,Decorations
232,2021-01-17,1806.0,Decorations
233,2021-01-18,1806.0,Decorations
234,2021-01-19,1806.0,Decorations
235,2021-01-20,1574.0,Decorations
236,2021-01-21,1574.0,Decorations
237,2021-01-22,1752.0,Decorations
238,2021-01-23,1752.0,Decorations
239,2021-01-24,1752.0,Decorations
240,2021-01-25,2163.0,Decorations
241,2021-01-26,2163.0,Decorations
242,2021-01-27,2163.0,Decorations
243,2021-01-28,2036.0,Decorations
244,2021-01-29,2036.0,Decorations
245,2021-01-30,2396.0,Decorations
246,2021-01-31,2396.0,Decorations
247,2021-02-01,1841.0,Decorations
248,2021-02-02,1841.0,Decorations
249,2021-02-03,2169.0,Decorations
250,2021-02-04,2169.0,Decorations
251,2021-02-05,2169.0,Decorations
252,2021-02-06,1961.0,Decorations
253,2021-02-07,1961.0,Decorations
254,2021-02-08,1961.0,Decorations
255,2021-02-09,2818.0,Decorations
256,2021-02-10,2818.0,Decorations
257,2021-02-11,2190.0,Decorations
258,2021-02-12,2190.0,Decorations
259,2021-02-13,2190.0,Decorations
260,2021-02-14,2075.0,Decorations
261,2021-02-15,2075.0,Decorations
262,2021-02-16,2075.0,Decorations
263,2021-02-17,1740.0,Decorations
264,2021-02-18,1740.0,Decorations
265,2021-02-19,1491.0,Decorations
266,2021-02-20,1658.0,Decorations
267,2021-02-21,1658.0,Decorations
268,2021-02-22,1399.0,Decorations
269,2021-02-23,1399.0,Decorations
270,2021-02-24,1399.0,Decorations
271,2021-02-25,2070.0,Decorations
272,2021-02-26,2070.0,Decorations
273,2021-02-27,1596.0,Decorations
274,2021-02-28,1596.0,Decorations
275,2021-03-01,2169.0,Decorations
276,2021-03-02,2169.0,Decorations
277,2021-03-03,2169.0,Decorations
278,2021-03-04,1584.0,Decorations
279,2021-03-05,1584.0,Decorations
280,2021-03-06,2001.0,Decorations
281,2021-03-07,2001.0,Decorations
282,2021-03-08,2001.0,Decorations
283,2021-03-09,1896.0,Decorations
284,2021-03-10,1896.0,Decorations
285,2021-03-11,1996.0,Decorations
286,2021-03-12,1996.0,Decorations
287,2021-03-13,1996.0,Decorations
288,2021-03-14,2415.0,Decorations
289,2021-03-15,2415.0,Decorations
290,2021-03-16,2415.0,Decorations
291,2021-03-17,2580.0,Decorations
292,2021-03-18,2580.0,Decorations
293,2021-03-19,2580.0,Decorations
294,2021-03-20,2943.0,Decorations
295,2021-03-21,2943.0,Decorations
296,2021-03-22,2943.0,Decorations
297,2021-03-23,2910.0,Decorations
298,2021-03-24,3532.0,Decorations
299,2021-03-25,3532.0,Decorations
300,2021-03-26,3532.0,Decorations
301,2021-03-27,4020.0,Decorations
302,2021-03-28,4020.0,Decorations
303,2021-03-29,5329.0,Decorations
304,2021-03-30,5329.0,Decorations
305,2021-03-31,5329.0,Decorations
306,2021-04-01,4676.0,Decorations
307,2021-04-02,4676.0,Decorations
308,2021-04-03,3676.0,Decorations
309,2021-04-04,3016.0,Decorations
310,2021-04-05,3016.0,Decorations
311,2021-04-06,3016.0,Decorations
312,2021-04-07,3016.0,Decorations
313,2021-04-08,3016.0,Decorations
314,2021-04-09,3016.0,Decorations
315,2021-04-10,3016.0,Decorations
316,2021-04-11,3016.0,Decorations
317,2021-04-12,3016.0,Decorations
318,2021-04-13,3016.0,Decorations
319,2021-04-14,3016.0,Decorations
320,2021-04-15,3016.0,Decorations
321,2021-04-16,3016.0,Decorations
322,2021-04-17,3016.0,Decorations
323,2021-04-18,3016.0,Decorations
324,2021-04-19,3016.0,Decorations
325,2021-04-20,3016.0,Decorations
326,2021-04-21,3016.0,Decorations
327,2021-04-22,3016.0,Decorations
328,2021-04-23,3016.0,Decorations
329,2021-04-24,3016.0,Decorations
330,2021-04-25,3016.0,Decorations
331,2021-04-26,3016.0,Decorations
332,2021-04-27,3016.0,Decorations
333,2021-04-28,2803.0,Decorations
334,2021-04-29,2803.0,Decorations
335,2021-04-30,2852.0,Decorations
336,2021-05-01,3053.0,Decorations
337,2021-05-02,3053.0,Decorations
338,2021-05-03,2696.0,Decorations
339,2021-05-04,2696.0,Decorations
340,2021-05-05,2711.0,Decorations
341,2021-05-06,2262.0,Decorations
342,2021-05-07,2327.0,Decorations
343,2021-05-08,2083.0,Decorations
344,2021-05-09,2083.0,Decorations
345,2021-05-10,2840.0,Decorations
346,2021-05-11,2840.0,Decorations
347,2021-05-12,2344.0,Decorations
348,2021-05-13,2344.0,Decorations
349,2021-05-14,2797.0,Decorations
350,2021-05-15,2305.0,Decorations
351,2021-05-16,2305.0,Decorations
352,2021-05-17,2879.0,Decorations
353,2021-05-18,2879.0,Decorations
354,2021-05-19,2483.0,Decorations
355,2021-05-20,2496.0,Decorations
356,2021-05-21,2547.0,Decorations
357,2021-05-22,2547.0,Decorations
358,2021-05-23,2547.0,Decorations
359,2021-05-24,2547.0,Decorations
360,2021-05-25,2547.0,Decorations
361,2021-05-26,2547.0,Decorations
362,2021-05-27,2547.0,Decorations
363,2021-05-28,2547.0,Decorations
364,2021-05-29,2547.0,Decorations
365,2021-05-30,2547.0,Decorations
366,2021-05-31,2547.0,Decorations
367,2021-06-01,3336.0,Decorations
368,2021-06-02,2699.0,Decorations
369,2021-06-03,2699.0,Decorations
370,2021-06-04,2687.0,Decorations
371,2021-06-05,2687.0,Decorations
372,2021-06-06,3179.0,Decorations
373,2021-06-07,3179.0,Decorations
374,2021-06-08,2257.0,Decorations
375,2021-06-09,2257.0,Decorations
376,2021-06-10,2257.0,Decorations
377,2021-06-11,2038.0,Decorations
378,2021-06-12,2038.0,Decorations
379,2021-06-13,2496.0,Decorations
380,2021-06-14,2496.0,Decorations
381,2021-06-15,3186.0,Decorations
382,2021-06-16,3186.0,Decorations
383,2021-06-17,2141.0,Decorations
384,2021-06-18,2141.0,Decorations
385,2021-06-19,2132.0,Decorations
