,date,value,name_B07VPHLHSD
0,2019-09-17,9207.0,Closet Systems
1,2019-09-18,8940.0,Closet Systems
2,2019-09-19,9966.0,Closet Systems
3,2019-09-20,12280.0,Closet Systems
4,2019-09-21,11199.0,Closet Systems
5,2019-09-22,12771.0,Closet Systems
6,2019-09-23,13821.0,Closet Systems
7,2019-09-24,14477.0,Closet Systems
8,2019-09-25,15644.0,Closet Systems
9,2019-09-26,14869.0,Closet Systems
10,2019-09-27,16128.0,Closet Systems
11,2019-09-28,12899.0,Closet Systems
12,2019-09-29,9927.0,Closet Systems
13,2019-09-30,8846.0,Closet Systems
14,2019-10-01,9037.0,Closet Systems
15,2019-10-02,10290.0,Closet Systems
16,2019-10-03,12581.0,Closet Systems
17,2019-10-04,11842.0,Closet Systems
18,2019-10-05,10627.0,Closet Systems
19,2019-10-06,9545.0,Closet Systems
20,2019-10-07,9545.0,Closet Systems
21,2019-10-08,9545.0,Closet Systems
22,2019-10-09,9545.0,Closet Systems
23,2019-10-10,7063.0,Closet Systems
24,2019-10-11,7063.0,Closet Systems
25,2019-10-12,7063.0,Closet Systems
26,2019-10-13,7063.0,Closet Systems
27,2019-10-14,5555.0,Closet Systems
28,2019-10-15,5555.0,Closet Systems
29,2019-10-16,10438.0,Closet Systems
30,2019-10-17,8885.0,Closet Systems
31,2019-10-18,9274.0,Closet Systems
32,2019-10-19,9274.0,Closet Systems
33,2019-10-20,9274.0,Closet Systems
34,2019-10-21,9112.0,Closet Systems
35,2019-10-22,10132.0,Closet Systems
36,2019-10-23,8685.0,Closet Systems
37,2019-10-24,7777.0,Closet Systems
38,2019-10-25,9811.0,Closet Systems
39,2019-10-26,10124.0,Closet Systems
40,2019-10-27,10124.0,Closet Systems
41,2019-10-28,9352.0,Closet Systems
42,2019-10-29,8315.0,Closet Systems
43,2019-10-30,8315.0,Closet Systems
44,2019-10-31,5424.0,Closet Systems
45,2019-11-01,7284.0,Closet Systems
46,2019-11-02,6936.0,Closet Systems
47,2019-11-03,6936.0,Closet Systems
48,2019-11-04,6936.0,Closet Systems
49,2019-11-05,6500.0,Closet Systems
50,2019-11-06,8482.0,Closet Systems
51,2019-11-07,4006.0,Closet Systems
52,2019-11-08,5158.0,Closet Systems
53,2019-11-09,5158.0,Closet Systems
54,2019-11-10,7675.0,Closet Systems
55,2019-11-11,7675.0,Closet Systems
56,2019-11-12,7675.0,Closet Systems
57,2019-11-13,7675.0,Closet Systems
58,2019-11-14,7675.0,Closet Systems
59,2019-11-15,11954.0,Closet Systems
60,2019-11-16,11954.0,Closet Systems
61,2019-11-17,11954.0,Closet Systems
62,2019-11-18,16473.0,Closet Systems
63,2019-11-19,16473.0,Closet Systems
64,2019-11-20,16473.0,Closet Systems
65,2019-11-21,14774.0,Closet Systems
66,2019-11-22,17435.0,Closet Systems
67,2019-11-23,17122.0,Closet Systems
68,2019-11-24,17122.0,Closet Systems
69,2019-11-25,7249.0,Closet Systems
70,2019-11-26,7064.0,Closet Systems
71,2019-11-27,5568.0,Closet Systems
72,2019-11-28,5206.0,Closet Systems
73,2019-11-29,5206.0,Closet Systems
74,2019-11-30,5206.0,Closet Systems
75,2019-12-01,5206.0,Closet Systems
76,2019-12-02,4169.0,Closet Systems
77,2019-12-03,4169.0,Closet Systems
78,2019-12-04,4169.0,Closet Systems
79,2019-12-05,4169.0,Closet Systems
80,2019-12-06,4169.0,Closet Systems
81,2019-12-07,11710.0,Closet Systems
82,2019-12-08,9213.0,Closet Systems
83,2019-12-09,9213.0,Closet Systems
84,2019-12-10,10998.0,Closet Systems
85,2019-12-11,10998.0,Closet Systems
86,2019-12-12,10998.0,Closet Systems
87,2019-12-13,17254.0,Closet Systems
88,2019-12-14,20815.0,Closet Systems
89,2019-12-15,19117.0,Closet Systems
90,2019-12-16,19117.0,Closet Systems
91,2019-12-17,19117.0,Closet Systems
92,2019-12-18,19117.0,Closet Systems
93,2019-12-19,19117.0,Closet Systems
94,2019-12-20,19117.0,Closet Systems
95,2019-12-21,21450.0,Closet Systems
96,2019-12-22,17024.0,Closet Systems
97,2019-12-23,16570.0,Closet Systems
98,2019-12-24,16570.0,Closet Systems
99,2019-12-25,13330.0,Closet Systems
100,2019-12-26,13330.0,Closet Systems
101,2019-12-27,13330.0,Closet Systems
102,2019-12-28,13330.0,Closet Systems
103,2019-12-29,13330.0,Closet Systems
104,2019-12-30,13330.0,Closet Systems
105,2019-12-31,12126.0,Closet Systems
