,date,value,name_B08FXBWK24
0,2020-08-15,10506.0,Tapestries
1,2020-08-16,10506.0,Tapestries
2,2020-08-17,10506.0,Tapestries
3,2020-08-18,10506.0,Tapestries
4,2020-08-19,12591.0,Tapestries
5,2020-08-20,10507.0,Tapestries
6,2020-08-21,10507.0,Tapestries
7,2020-08-22,10507.0,Tapestries
8,2020-08-23,10507.0,Tapestries
9,2020-08-24,12594.0,Tapestries
10,2020-08-25,9030.0,Tapestries
11,2020-08-26,9030.0,Tapestries
12,2020-08-27,9030.0,Tapestries
13,2020-08-28,8032.0,Tapestries
14,2020-08-29,8032.0,Tapestries
15,2020-08-30,10348.0,Tapestries
16,2020-08-31,10348.0,Tapestries
17,2020-09-01,10348.0,Tapestries
18,2020-09-02,10348.0,Tapestries
19,2020-09-03,10348.0,Tapestries
20,2020-09-04,7999.0,Tapestries
21,2020-09-05,7619.0,Tapestries
22,2020-09-06,7619.0,Tapestries
23,2020-09-07,8586.0,Tapestries
24,2020-09-08,10290.0,Tapestries
25,2020-09-09,10290.0,Tapestries
26,2020-09-10,10290.0,Tapestries
27,2020-09-11,8844.0,Tapestries
28,2020-09-12,8844.0,Tapestries
29,2020-09-13,8844.0,Tapestries
30,2020-09-14,10326.0,Tapestries
31,2020-09-15,8664.0,Tapestries
32,2020-09-16,8664.0,Tapestries
33,2020-09-17,8664.0,Tapestries
34,2020-09-18,10169.0,Tapestries
35,2020-09-19,10169.0,Tapestries
36,2020-09-20,10733.0,Tapestries
37,2020-09-21,10733.0,Tapestries
38,2020-09-22,10733.0,Tapestries
39,2020-09-23,10733.0,Tapestries
40,2020-09-24,10664.0,Tapestries
41,2020-09-25,9300.0,Tapestries
42,2020-09-26,7925.0,Tapestries
43,2020-09-27,7925.0,Tapestries
44,2020-09-28,10059.0,Tapestries
45,2020-09-29,9208.0,Tapestries
46,2020-09-30,7396.0,Tapestries
47,2020-10-01,7396.0,Tapestries
48,2020-10-02,7396.0,Tapestries
49,2020-10-03,7262.0,Tapestries
50,2020-10-04,7262.0,Tapestries
51,2020-10-05,8349.0,Tapestries
52,2020-10-06,8303.0,Tapestries
53,2020-10-07,8303.0,Tapestries
54,2020-10-08,8303.0,Tapestries
55,2020-10-09,5253.0,Tapestries
56,2020-10-10,5253.0,Tapestries
57,2020-10-11,5253.0,Tapestries
58,2020-10-12,6335.0,Tapestries
59,2020-10-13,5347.0,Tapestries
60,2020-10-14,5347.0,Tapestries
61,2020-10-15,5640.0,Tapestries
62,2020-10-16,5640.0,Tapestries
63,2020-10-17,7773.0,Tapestries
64,2020-10-18,7773.0,Tapestries
65,2020-10-19,7773.0,Tapestries
66,2020-10-20,5942.0,Tapestries
67,2020-10-21,6183.0,Tapestries
68,2020-10-22,6183.0,Tapestries
69,2020-10-23,6755.0,Tapestries
70,2020-10-24,7094.0,Tapestries
71,2020-10-25,5573.0,Tapestries
72,2020-10-26,7564.0,Tapestries
73,2020-10-27,7564.0,Tapestries
74,2020-10-28,7564.0,Tapestries
75,2020-10-29,7419.0,Tapestries
76,2020-10-30,7419.0,Tapestries
77,2020-10-31,6544.0,Tapestries
78,2020-11-01,6544.0,Tapestries
79,2020-11-02,6544.0,Tapestries
80,2020-11-03,12283.0,Tapestries
81,2020-11-04,9483.0,Tapestries
82,2020-11-05,9483.0,Tapestries
83,2020-11-06,9826.0,Tapestries
84,2020-11-07,8570.0,Tapestries
85,2020-11-08,8930.0,Tapestries
86,2020-11-09,8930.0,Tapestries
87,2020-11-10,8930.0,Tapestries
88,2020-11-11,26396.0,Tapestries
89,2020-11-12,26396.0,Tapestries
90,2020-11-13,26396.0,Tapestries
91,2020-11-14,14807.0,Tapestries
92,2020-11-15,14807.0,Tapestries
93,2020-11-16,12907.0,Tapestries
94,2020-11-17,12907.0,Tapestries
95,2020-11-18,12907.0,Tapestries
96,2020-11-19,9480.0,Tapestries
97,2020-11-20,10100.0,Tapestries
98,2020-11-21,10100.0,Tapestries
99,2020-11-22,10100.0,Tapestries
100,2020-11-23,10007.0,Tapestries
101,2020-11-24,9220.0,Tapestries
102,2020-11-25,9220.0,Tapestries
103,2020-11-26,6319.0,Tapestries
104,2020-11-27,6319.0,Tapestries
105,2020-11-28,4721.0,Tapestries
106,2020-11-29,5402.0,Tapestries
107,2020-11-30,6077.0,Tapestries
108,2020-12-01,5732.0,Tapestries
109,2020-12-02,5732.0,Tapestries
110,2020-12-03,5385.0,Tapestries
111,2020-12-04,5385.0,Tapestries
112,2020-12-05,5385.0,Tapestries
113,2020-12-06,4785.0,Tapestries
114,2020-12-07,6205.0,Tapestries
115,2020-12-08,6205.0,Tapestries
116,2020-12-09,6205.0,Tapestries
117,2020-12-10,5039.0,Tapestries
118,2020-12-11,3997.0,Tapestries
119,2020-12-12,3775.0,Tapestries
120,2020-12-13,5086.0,Tapestries
121,2020-12-14,4124.0,Tapestries
122,2020-12-15,4124.0,Tapestries
123,2020-12-16,4124.0,Tapestries
124,2020-12-17,5530.0,Tapestries
125,2020-12-18,5530.0,Tapestries
126,2020-12-19,5880.0,Tapestries
127,2020-12-20,5880.0,Tapestries
128,2020-12-21,6877.0,Tapestries
129,2020-12-22,6877.0,Tapestries
130,2020-12-23,6877.0,Tapestries
131,2020-12-24,5744.0,Tapestries
132,2020-12-25,5744.0,Tapestries
133,2020-12-26,1541.0,Tapestries
134,2020-12-27,2779.0,Tapestries
135,2020-12-28,4415.0,Tapestries
136,2020-12-29,4415.0,Tapestries
137,2020-12-30,2994.0,Tapestries
138,2020-12-31,2932.0,Tapestries
139,2021-01-01,6222.0,Tapestries
140,2021-01-02,6222.0,Tapestries
141,2021-01-03,6222.0,Tapestries
142,2021-01-04,45664.0,Tapestries
143,2021-01-05,45664.0,Tapestries
144,2021-01-06,63191.0,Tapestries
145,2021-01-07,63191.0,Tapestries
146,2021-01-08,63191.0,Tapestries
147,2021-01-09,10338.0,Tapestries
148,2021-01-10,10338.0,Tapestries
149,2021-01-11,10240.0,Tapestries
150,2021-01-12,10240.0,Tapestries
151,2021-01-13,7770.0,Tapestries
152,2021-01-14,7770.0,Tapestries
153,2021-01-15,7770.0,Tapestries
154,2021-01-16,7051.0,Tapestries
155,2021-01-17,7051.0,Tapestries
156,2021-01-18,7316.0,Tapestries
157,2021-01-19,6750.0,Tapestries
158,2021-01-20,5425.0,Tapestries
159,2021-01-21,5425.0,Tapestries
160,2021-01-22,5425.0,Tapestries
161,2021-01-23,5425.0,Tapestries
162,2021-01-24,7617.0,Tapestries
163,2021-01-25,7780.0,Tapestries
164,2021-01-26,8119.0,Tapestries
165,2021-01-27,7493.0,Tapestries
