,date,value,name_B07WQF29W9
0,2020-05-28,22521.0,Lecithin
1,2020-05-29,22521.0,Lecithin
2,2020-05-30,22570.0,Lecithin
3,2020-05-31,23707.0,Lecithin
4,2020-06-01,23707.0,Lecithin
5,2020-06-02,23707.0,Lecithin
6,2020-06-03,29757.0,Lecithin
7,2020-06-04,28604.0,Lecithin
8,2020-06-05,28604.0,Lecithin
9,2020-06-06,28604.0,Lecithin
10,2020-06-07,28604.0,Lecithin
11,2020-06-08,19343.0,Lecithin
12,2020-06-09,19343.0,Lecithin
13,2020-06-10,19343.0,Lecithin
14,2020-06-11,17689.0,Lecithin
15,2020-06-12,17689.0,Lecithin
16,2020-06-13,14425.0,Lecithin
17,2020-06-14,14425.0,Lecithin
18,2020-06-15,14425.0,Lecithin
19,2020-06-16,14425.0,Lecithin
20,2020-06-17,19382.0,Lecithin
21,2020-06-18,17660.0,Lecithin
22,2020-06-19,17660.0,Lecithin
23,2020-06-20,17660.0,Lecithin
24,2020-06-21,16841.0,Lecithin
25,2020-06-22,16841.0,Lecithin
26,2020-06-23,17831.0,Lecithin
27,2020-06-24,17831.0,Lecithin
28,2020-06-25,17831.0,Lecithin
29,2020-06-26,17831.0,Lecithin
30,2020-06-27,17831.0,Lecithin
31,2020-06-28,16354.0,Lecithin
32,2020-06-29,15733.0,Lecithin
33,2020-06-30,15733.0,Lecithin
34,2020-07-01,15733.0,Lecithin
35,2020-07-02,22134.0,Lecithin
36,2020-07-03,22134.0,Lecithin
37,2020-07-04,15132.0,Lecithin
38,2020-07-05,15132.0,Lecithin
39,2020-07-06,15132.0,Lecithin
40,2020-07-07,15132.0,Lecithin
41,2020-07-08,19484.0,Lecithin
42,2020-07-09,19484.0,Lecithin
43,2020-07-10,19484.0,Lecithin
44,2020-07-11,22933.0,Lecithin
45,2020-07-12,21921.0,Lecithin
46,2020-07-13,22105.0,Lecithin
47,2020-07-14,22105.0,Lecithin
48,2020-07-15,22105.0,Lecithin
49,2020-07-16,22105.0,Lecithin
50,2020-07-17,18983.0,Lecithin
51,2020-07-18,20266.0,Lecithin
52,2020-07-19,22688.0,Lecithin
53,2020-07-20,20501.0,Lecithin
54,2020-07-21,20501.0,Lecithin
55,2020-07-22,21575.0,Lecithin
56,2020-07-23,21575.0,Lecithin
57,2020-07-24,18898.0,Lecithin
58,2020-07-25,18365.0,Lecithin
59,2020-07-26,17065.0,Lecithin
60,2020-07-27,17065.0,Lecithin
61,2020-07-28,16680.0,Lecithin
62,2020-07-29,16238.0,Lecithin
63,2020-07-30,16238.0,Lecithin
64,2020-07-31,18411.0,Lecithin
65,2020-08-01,18411.0,Lecithin
66,2020-08-02,18411.0,Lecithin
67,2020-08-03,20632.0,Lecithin
68,2020-08-04,21731.0,Lecithin
69,2020-08-05,21731.0,Lecithin
70,2020-08-06,21731.0,Lecithin
71,2020-08-07,18356.0,Lecithin
72,2020-08-08,18356.0,Lecithin
73,2020-08-09,18356.0,Lecithin
74,2020-08-10,16853.0,Lecithin
75,2020-08-11,16853.0,Lecithin
76,2020-08-12,17604.0,Lecithin
77,2020-08-13,17604.0,Lecithin
78,2020-08-14,18383.0,Lecithin
79,2020-08-15,18383.0,Lecithin
80,2020-08-16,17189.0,Lecithin
81,2020-08-17,17189.0,Lecithin
82,2020-08-18,17189.0,Lecithin
83,2020-08-19,16457.0,Lecithin
84,2020-08-20,15694.0,Lecithin
85,2020-08-21,15694.0,Lecithin
86,2020-08-22,17914.0,Lecithin
87,2020-08-23,16464.0,Lecithin
88,2020-08-24,16464.0,Lecithin
89,2020-08-25,17428.0,Lecithin
90,2020-08-26,17428.0,Lecithin
91,2020-08-27,17607.0,Lecithin
92,2020-08-28,22585.0,Lecithin
93,2020-08-29,22585.0,Lecithin
94,2020-08-30,22585.0,Lecithin
95,2020-08-31,14461.0,Lecithin
96,2020-09-01,14461.0,Lecithin
97,2020-09-02,14461.0,Lecithin
98,2020-09-03,13931.0,Lecithin
99,2020-09-04,13931.0,Lecithin
100,2020-09-05,13931.0,Lecithin
101,2020-09-06,20720.0,Lecithin
102,2020-09-07,20720.0,Lecithin
103,2020-09-08,20720.0,Lecithin
104,2020-09-09,23553.0,Lecithin
105,2020-09-10,23553.0,Lecithin
106,2020-09-11,23553.0,Lecithin
107,2020-09-12,24612.0,Lecithin
108,2020-09-13,24612.0,Lecithin
109,2020-09-14,20654.0,Lecithin
110,2020-09-15,20654.0,Lecithin
111,2020-09-16,17614.0,Lecithin
112,2020-09-17,17614.0,Lecithin
113,2020-09-18,17614.0,Lecithin
114,2020-09-19,17614.0,Lecithin
115,2020-09-20,17614.0,Lecithin
116,2020-09-21,14224.0,Lecithin
117,2020-09-22,14224.0,Lecithin
118,2020-09-23,16010.0,Lecithin
119,2020-09-24,15190.0,Lecithin
120,2020-09-25,15496.0,Lecithin
121,2020-09-26,12016.0,Lecithin
122,2020-09-27,15222.0,Lecithin
123,2020-09-28,14347.0,Lecithin
124,2020-09-29,15066.0,Lecithin
125,2020-09-30,15066.0,Lecithin
126,2020-10-01,18057.0,Lecithin
127,2020-10-02,21998.0,Lecithin
128,2020-10-03,21998.0,Lecithin
