,date,value,name_B08QMWTRKC
0,2020-12-17,1810.0,Karaoke Machines
1,2020-12-18,1525.0,Karaoke Machines
2,2020-12-19,1638.0,Karaoke Machines
3,2020-12-20,1811.0,Karaoke Machines
4,2020-12-21,2206.0,Karaoke Machines
5,2020-12-22,2777.0,Karaoke Machines
6,2020-12-23,2701.0,Karaoke Machines
7,2020-12-24,3067.0,Karaoke Machines
8,2020-12-25,2923.0,Karaoke Machines
9,2020-12-26,2960.0,Karaoke Machines
10,2020-12-27,2960.0,Karaoke Machines
11,2020-12-28,3161.0,Karaoke Machines
12,2020-12-29,3086.0,Karaoke Machines
13,2020-12-30,2647.0,Karaoke Machines
14,2020-12-31,3056.0,Karaoke Machines
15,2021-01-01,4072.0,Karaoke Machines
16,2021-01-02,3521.0,Karaoke Machines
17,2021-01-03,4991.0,Karaoke Machines
18,2021-01-04,4500.0,Karaoke Machines
19,2021-01-05,4500.0,Karaoke Machines
20,2021-01-06,3599.0,Karaoke Machines
21,2021-01-07,3165.0,Karaoke Machines
22,2021-01-08,4117.0,Karaoke Machines
23,2021-01-09,4073.0,Karaoke Machines
24,2021-01-10,4073.0,Karaoke Machines
25,2021-01-11,5118.0,Karaoke Machines
26,2021-01-12,3247.0,Karaoke Machines
27,2021-01-13,2772.0,Karaoke Machines
28,2021-01-14,2025.0,Karaoke Machines
29,2021-01-15,2025.0,Karaoke Machines
30,2021-01-16,2025.0,Karaoke Machines
31,2021-01-17,2025.0,Karaoke Machines
32,2021-01-18,3451.0,Karaoke Machines
33,2021-01-19,3659.0,Karaoke Machines
34,2021-01-20,3241.0,Karaoke Machines
35,2021-01-21,2364.0,Karaoke Machines
36,2021-01-22,3243.0,Karaoke Machines
37,2021-01-23,873.0,Karaoke Machines
38,2021-01-24,898.0,Karaoke Machines
39,2021-01-25,898.0,Karaoke Machines
40,2021-01-26,2720.0,Karaoke Machines
41,2021-01-27,2720.0,Karaoke Machines
42,2021-01-28,2969.0,Karaoke Machines
43,2021-01-29,3423.0,Karaoke Machines
44,2021-01-30,3185.0,Karaoke Machines
45,2021-01-31,2519.0,Karaoke Machines
46,2021-02-01,2728.0,Karaoke Machines
47,2021-02-02,2728.0,Karaoke Machines
48,2021-02-03,1999.0,Karaoke Machines
49,2021-02-04,2702.0,Karaoke Machines
50,2021-02-05,3212.0,Karaoke Machines
51,2021-02-06,3212.0,Karaoke Machines
52,2021-02-07,2364.0,Karaoke Machines
53,2021-02-08,2364.0,Karaoke Machines
54,2021-02-09,2364.0,Karaoke Machines
55,2021-02-10,3481.0,Karaoke Machines
56,2021-02-11,3481.0,Karaoke Machines
57,2021-02-12,3481.0,Karaoke Machines
58,2021-02-13,3481.0,Karaoke Machines
59,2021-02-14,5638.0,Karaoke Machines
60,2021-02-15,5638.0,Karaoke Machines
61,2021-02-16,3304.0,Karaoke Machines
62,2021-02-17,3304.0,Karaoke Machines
63,2021-02-18,3304.0,Karaoke Machines
64,2021-02-19,2163.0,Karaoke Machines
65,2021-02-20,2535.0,Karaoke Machines
66,2021-02-21,2093.0,Karaoke Machines
67,2021-02-22,2093.0,Karaoke Machines
68,2021-02-23,4214.0,Karaoke Machines
69,2021-02-24,5086.0,Karaoke Machines
70,2021-02-25,4376.0,Karaoke Machines
71,2021-02-26,5396.0,Karaoke Machines
72,2021-02-27,5396.0,Karaoke Machines
73,2021-02-28,5229.0,Karaoke Machines
74,2021-03-01,6386.0,Karaoke Machines
75,2021-03-02,6913.0,Karaoke Machines
76,2021-03-03,6913.0,Karaoke Machines
77,2021-03-04,3062.0,Karaoke Machines
78,2021-03-05,3495.0,Karaoke Machines
79,2021-03-06,2994.0,Karaoke Machines
80,2021-03-07,3967.0,Karaoke Machines
81,2021-03-08,3671.0,Karaoke Machines
82,2021-03-09,3971.0,Karaoke Machines
83,2021-03-10,4058.0,Karaoke Machines
84,2021-03-11,5541.0,Karaoke Machines
85,2021-03-12,5541.0,Karaoke Machines
86,2021-03-13,5541.0,Karaoke Machines
87,2021-03-14,6967.0,Karaoke Machines
88,2021-03-15,6967.0,Karaoke Machines
89,2021-03-16,6054.0,Karaoke Machines
