,date,value,name_B092ZQPRCS
0,2021-04-26,12024.0,LED Bulbs
1,2021-04-27,12024.0,LED Bulbs
2,2021-04-28,11434.0,LED Bulbs
3,2021-04-29,11434.0,LED Bulbs
4,2021-04-30,13979.0,LED Bulbs
5,2021-05-01,13979.0,LED Bulbs
6,2021-05-02,13979.0,LED Bulbs
7,2021-05-03,13979.0,LED Bulbs
8,2021-05-04,13979.0,LED Bulbs
9,2021-05-05,13979.0,LED Bulbs
10,2021-05-06,13979.0,LED Bulbs
11,2021-05-07,11353.0,LED Bulbs
12,2021-05-08,11145.0,LED Bulbs
13,2021-05-09,11145.0,LED Bulbs
14,2021-05-10,10854.0,LED Bulbs
15,2021-05-11,10854.0,LED Bulbs
16,2021-05-12,12009.0,LED Bulbs
17,2021-05-13,12009.0,LED Bulbs
18,2021-05-14,12009.0,LED Bulbs
19,2021-05-15,12009.0,LED Bulbs
20,2021-05-16,12009.0,LED Bulbs
21,2021-05-17,11652.0,LED Bulbs
22,2021-05-18,14069.0,LED Bulbs
23,2021-05-19,14069.0,LED Bulbs
24,2021-05-20,11395.0,LED Bulbs
25,2021-05-21,10501.0,LED Bulbs
26,2021-05-22,10501.0,LED Bulbs
27,2021-05-23,10501.0,LED Bulbs
28,2021-05-24,9740.0,LED Bulbs
29,2021-05-25,9740.0,LED Bulbs
30,2021-05-26,9740.0,LED Bulbs
31,2021-05-27,14051.0,LED Bulbs
32,2021-05-28,14051.0,LED Bulbs
33,2021-05-29,13196.0,LED Bulbs
34,2021-05-30,13196.0,LED Bulbs
35,2021-05-31,13196.0,LED Bulbs
36,2021-06-01,11765.0,LED Bulbs
37,2021-06-02,11765.0,LED Bulbs
38,2021-06-03,11765.0,LED Bulbs
39,2021-06-04,11765.0,LED Bulbs
40,2021-06-05,11765.0,LED Bulbs
41,2021-06-06,11765.0,LED Bulbs
42,2021-06-07,16081.0,LED Bulbs
43,2021-06-08,13680.0,LED Bulbs
44,2021-06-09,13680.0,LED Bulbs
45,2021-06-10,14254.0,LED Bulbs
46,2021-06-11,14254.0,LED Bulbs
47,2021-06-12,14254.0,LED Bulbs
48,2021-06-13,14254.0,LED Bulbs
49,2021-06-14,14254.0,LED Bulbs
50,2021-06-15,14254.0,LED Bulbs
51,2021-06-16,14254.0,LED Bulbs
52,2021-06-17,14540.0,LED Bulbs
53,2021-06-18,13686.0,LED Bulbs
54,2021-06-19,13686.0,LED Bulbs
55,2021-06-20,10917.0,LED Bulbs
56,2021-06-21,10917.0,LED Bulbs
57,2021-06-22,13063.0,LED Bulbs
58,2021-06-23,13063.0,LED Bulbs
59,2021-06-24,13063.0,LED Bulbs
60,2021-06-25,14334.0,LED Bulbs
61,2021-06-26,14334.0,LED Bulbs
62,2021-06-27,14334.0,LED Bulbs
63,2021-06-28,11194.0,LED Bulbs
64,2021-06-29,14651.0,LED Bulbs
65,2021-06-30,14651.0,LED Bulbs
66,2021-07-01,14651.0,LED Bulbs
67,2021-07-02,14651.0,LED Bulbs
68,2021-07-03,11754.0,LED Bulbs
69,2021-07-04,11754.0,LED Bulbs
70,2021-07-05,12694.0,LED Bulbs
71,2021-07-06,12694.0,LED Bulbs
72,2021-07-07,12694.0,LED Bulbs
73,2021-07-08,13303.0,LED Bulbs
74,2021-07-09,15145.0,LED Bulbs
75,2021-07-10,15429.0,LED Bulbs
