,date,value,name_B07T6VWTVM
0,2020-07-07,411.0,Ibuprofen
1,2020-07-08,438.0,Ibuprofen
2,2020-07-09,410.0,Ibuprofen
3,2020-07-10,445.0,Ibuprofen
4,2020-07-11,447.0,Ibuprofen
5,2020-07-12,448.0,Ibuprofen
6,2020-07-13,441.0,Ibuprofen
7,2020-07-14,446.0,Ibuprofen
8,2020-07-15,490.0,Ibuprofen
9,2020-07-16,490.0,Ibuprofen
10,2020-07-17,485.0,Ibuprofen
11,2020-07-18,488.0,Ibuprofen
12,2020-07-19,488.0,Ibuprofen
13,2020-07-20,458.0,Ibuprofen
14,2020-07-21,451.0,Ibuprofen
15,2020-07-22,431.0,Ibuprofen
16,2020-07-23,431.0,Ibuprofen
17,2020-07-24,328.0,Ibuprofen
18,2020-07-25,353.0,Ibuprofen
19,2020-07-26,283.0,Ibuprofen
20,2020-07-27,289.0,Ibuprofen
21,2020-07-28,308.0,Ibuprofen
22,2020-07-29,291.0,Ibuprofen
23,2020-07-30,311.0,Ibuprofen
24,2020-07-31,310.0,Ibuprofen
25,2020-08-01,310.0,Ibuprofen
26,2020-08-02,323.0,Ibuprofen
27,2020-08-03,323.0,Ibuprofen
28,2020-08-04,322.0,Ibuprofen
29,2020-08-05,322.0,Ibuprofen
30,2020-08-06,322.0,Ibuprofen
31,2020-08-07,339.0,Ibuprofen
32,2020-08-08,353.0,Ibuprofen
33,2020-08-09,365.0,Ibuprofen
34,2020-08-10,444.0,Ibuprofen
35,2020-08-11,444.0,Ibuprofen
36,2020-08-12,494.0,Ibuprofen
37,2020-08-13,492.0,Ibuprofen
38,2020-08-14,551.0,Ibuprofen
39,2020-08-15,503.0,Ibuprofen
40,2020-08-16,512.0,Ibuprofen
41,2020-08-17,486.0,Ibuprofen
42,2020-08-18,474.0,Ibuprofen
43,2020-08-19,436.0,Ibuprofen
44,2020-08-20,459.0,Ibuprofen
45,2020-08-21,488.0,Ibuprofen
46,2020-08-22,530.0,Ibuprofen
47,2020-08-23,530.0,Ibuprofen
48,2020-08-24,530.0,Ibuprofen
49,2020-08-25,537.0,Ibuprofen
50,2020-08-26,535.0,Ibuprofen
51,2020-08-27,541.0,Ibuprofen
52,2020-08-28,541.0,Ibuprofen
53,2020-08-29,618.0,Ibuprofen
54,2020-08-30,618.0,Ibuprofen
55,2020-08-31,576.0,Ibuprofen
56,2020-09-01,576.0,Ibuprofen
57,2020-09-02,576.0,Ibuprofen
58,2020-09-03,590.0,Ibuprofen
59,2020-09-04,590.0,Ibuprofen
60,2020-09-05,590.0,Ibuprofen
61,2020-09-06,540.0,Ibuprofen
62,2020-09-07,488.0,Ibuprofen
63,2020-09-08,488.0,Ibuprofen
64,2020-09-09,547.0,Ibuprofen
65,2020-09-10,549.0,Ibuprofen
66,2020-09-11,468.0,Ibuprofen
67,2020-09-12,491.0,Ibuprofen
68,2020-09-13,501.0,Ibuprofen
69,2020-09-14,497.0,Ibuprofen
70,2020-09-15,489.0,Ibuprofen
71,2020-09-16,434.0,Ibuprofen
72,2020-09-17,494.0,Ibuprofen
73,2020-09-18,518.0,Ibuprofen
74,2020-09-19,518.0,Ibuprofen
75,2020-09-20,522.0,Ibuprofen
76,2020-09-21,545.0,Ibuprofen
77,2020-09-22,502.0,Ibuprofen
78,2020-09-23,524.0,Ibuprofen
79,2020-09-24,574.0,Ibuprofen
80,2020-09-25,526.0,Ibuprofen
81,2020-09-26,526.0,Ibuprofen
82,2020-09-27,504.0,Ibuprofen
83,2020-09-28,504.0,Ibuprofen
84,2020-09-29,494.0,Ibuprofen
85,2020-09-30,480.0,Ibuprofen
86,2020-10-01,452.0,Ibuprofen
87,2020-10-02,480.0,Ibuprofen
88,2020-10-03,456.0,Ibuprofen
89,2020-10-04,456.0,Ibuprofen
90,2020-10-05,445.0,Ibuprofen
91,2020-10-06,442.0,Ibuprofen
92,2020-10-07,442.0,Ibuprofen
93,2020-10-08,442.0,Ibuprofen
94,2020-10-09,669.0,Ibuprofen
95,2020-10-10,746.0,Ibuprofen
96,2020-10-11,655.0,Ibuprofen
97,2020-10-12,714.0,Ibuprofen
98,2020-10-13,875.0,Ibuprofen
99,2020-10-14,986.0,Ibuprofen
100,2020-10-15,986.0,Ibuprofen
101,2020-10-16,986.0,Ibuprofen
102,2020-10-17,708.0,Ibuprofen
103,2020-10-18,611.0,Ibuprofen
104,2020-10-19,575.0,Ibuprofen
105,2020-10-20,533.0,Ibuprofen
106,2020-10-21,456.0,Ibuprofen
107,2020-10-22,471.0,Ibuprofen
108,2020-10-23,471.0,Ibuprofen
109,2020-10-24,471.0,Ibuprofen
110,2020-10-25,539.0,Ibuprofen
111,2020-10-26,539.0,Ibuprofen
112,2020-10-27,539.0,Ibuprofen
113,2020-10-28,480.0,Ibuprofen
114,2020-10-29,471.0,Ibuprofen
115,2020-10-30,440.0,Ibuprofen
116,2020-10-31,453.0,Ibuprofen
117,2020-11-01,453.0,Ibuprofen
118,2020-11-02,440.0,Ibuprofen
119,2020-11-03,440.0,Ibuprofen
120,2020-11-04,440.0,Ibuprofen
121,2020-11-05,488.0,Ibuprofen
122,2020-11-06,488.0,Ibuprofen
123,2020-11-07,476.0,Ibuprofen
124,2020-11-08,476.0,Ibuprofen
125,2020-11-09,495.0,Ibuprofen
126,2020-11-10,501.0,Ibuprofen
127,2020-11-11,418.0,Ibuprofen
128,2020-11-12,475.0,Ibuprofen
129,2020-11-13,475.0,Ibuprofen
130,2020-11-14,694.0,Ibuprofen
131,2020-11-15,656.0,Ibuprofen
132,2020-11-16,541.0,Ibuprofen
133,2020-11-17,531.0,Ibuprofen
134,2020-11-18,547.0,Ibuprofen
135,2020-11-19,607.0,Ibuprofen
136,2020-11-20,639.0,Ibuprofen
137,2020-11-21,639.0,Ibuprofen
138,2020-11-22,506.0,Ibuprofen
139,2020-11-23,593.0,Ibuprofen
140,2020-11-24,570.0,Ibuprofen
141,2020-11-25,528.0,Ibuprofen
142,2020-11-26,528.0,Ibuprofen
