,date,value,name_B093BPT3M9
0,2021-04-28,21998.0,LED Bulbs
1,2021-04-29,22943.0,LED Bulbs
2,2021-04-30,22943.0,LED Bulbs
3,2021-05-01,22943.0,LED Bulbs
4,2021-05-02,21639.0,LED Bulbs
5,2021-05-03,21639.0,LED Bulbs
6,2021-05-04,24388.0,LED Bulbs
7,2021-05-05,24388.0,LED Bulbs
8,2021-05-06,20297.0,LED Bulbs
9,2021-05-07,20297.0,LED Bulbs
10,2021-05-08,31069.0,LED Bulbs
11,2021-05-09,31069.0,LED Bulbs
12,2021-05-10,31069.0,LED Bulbs
13,2021-05-11,24322.0,LED Bulbs
14,2021-05-12,20111.0,LED Bulbs
15,2021-05-13,20111.0,LED Bulbs
16,2021-05-14,20111.0,LED Bulbs
17,2021-05-15,18546.0,LED Bulbs
18,2021-05-16,18546.0,LED Bulbs
19,2021-05-17,25807.0,LED Bulbs
20,2021-05-18,30254.0,LED Bulbs
21,2021-05-19,30254.0,LED Bulbs
22,2021-05-20,27558.0,LED Bulbs
23,2021-05-21,27558.0,LED Bulbs
24,2021-05-22,27558.0,LED Bulbs
25,2021-05-23,25887.0,LED Bulbs
26,2021-05-24,25887.0,LED Bulbs
27,2021-05-25,26772.0,LED Bulbs
28,2021-05-26,26772.0,LED Bulbs
29,2021-05-27,26772.0,LED Bulbs
30,2021-05-28,26772.0,LED Bulbs
31,2021-05-29,26772.0,LED Bulbs
32,2021-05-30,26336.0,LED Bulbs
33,2021-05-31,26336.0,LED Bulbs
34,2021-06-01,26552.0,LED Bulbs
35,2021-06-02,26552.0,LED Bulbs
36,2021-06-03,28929.0,LED Bulbs
37,2021-06-04,28929.0,LED Bulbs
38,2021-06-05,28929.0,LED Bulbs
39,2021-06-06,32279.0,LED Bulbs
40,2021-06-07,42036.0,LED Bulbs
41,2021-06-08,42036.0,LED Bulbs
42,2021-06-09,15235.0,LED Bulbs
43,2021-06-10,15235.0,LED Bulbs
44,2021-06-11,12119.0,LED Bulbs
45,2021-06-12,12119.0,LED Bulbs
46,2021-06-13,12119.0,LED Bulbs
47,2021-06-14,9356.0,LED Bulbs
48,2021-06-15,9356.0,LED Bulbs
49,2021-06-16,16666.0,LED Bulbs
50,2021-06-17,16666.0,LED Bulbs
51,2021-06-18,20417.0,LED Bulbs
52,2021-06-19,20417.0,LED Bulbs
53,2021-06-20,22212.0,LED Bulbs
54,2021-06-21,22212.0,LED Bulbs
55,2021-06-22,9255.0,LED Bulbs
56,2021-06-23,9255.0,LED Bulbs
57,2021-06-24,9255.0,LED Bulbs
58,2021-06-25,15714.0,LED Bulbs
59,2021-06-26,15714.0,LED Bulbs
60,2021-06-27,22421.0,LED Bulbs
61,2021-06-28,22421.0,LED Bulbs
62,2021-06-29,22421.0,LED Bulbs
63,2021-06-30,20185.0,LED Bulbs
64,2021-07-01,16554.0,LED Bulbs
65,2021-07-02,16554.0,LED Bulbs
66,2021-07-03,16554.0,LED Bulbs
67,2021-07-04,22924.0,LED Bulbs
68,2021-07-05,22037.0,LED Bulbs
69,2021-07-06,22037.0,LED Bulbs
70,2021-07-07,22037.0,LED Bulbs
71,2021-07-08,19969.0,LED Bulbs
72,2021-07-09,19969.0,LED Bulbs
73,2021-07-10,22043.0,LED Bulbs
74,2021-07-11,18389.0,LED Bulbs
