,date,value,name_B08JPJR2NJ
0,2020-09-23,30727.0,Floating Shelves
1,2020-09-24,30727.0,Floating Shelves
2,2020-09-25,22418.0,Floating Shelves
3,2020-09-26,26231.0,Floating Shelves
4,2020-09-27,26231.0,Floating Shelves
5,2020-09-28,16337.0,Floating Shelves
6,2020-09-29,14558.0,Floating Shelves
7,2020-09-30,14558.0,Floating Shelves
8,2020-10-01,14558.0,Floating Shelves
9,2020-10-02,14852.0,Floating Shelves
10,2020-10-03,14852.0,Floating Shelves
11,2020-10-04,14852.0,Floating Shelves
12,2020-10-05,9229.0,Floating Shelves
13,2020-10-06,10093.0,Floating Shelves
14,2020-10-07,7780.0,Floating Shelves
15,2020-10-08,7105.0,Floating Shelves
16,2020-10-09,7575.0,Floating Shelves
17,2020-10-10,6953.0,Floating Shelves
18,2020-10-11,6917.0,Floating Shelves
19,2020-10-12,6255.0,Floating Shelves
20,2020-10-13,6968.0,Floating Shelves
21,2020-10-14,6852.0,Floating Shelves
22,2020-10-15,8052.0,Floating Shelves
23,2020-10-16,11007.0,Floating Shelves
24,2020-10-17,17681.0,Floating Shelves
25,2020-10-18,23803.0,Floating Shelves
26,2020-10-19,29043.0,Floating Shelves
27,2020-10-20,29043.0,Floating Shelves
28,2020-10-21,29812.0,Floating Shelves
29,2020-10-22,31356.0,Floating Shelves
30,2020-10-23,31356.0,Floating Shelves
31,2020-10-24,31356.0,Floating Shelves
32,2020-10-25,36137.0,Floating Shelves
33,2020-10-26,30208.0,Floating Shelves
34,2020-10-27,30208.0,Floating Shelves
35,2020-10-28,24856.0,Floating Shelves
36,2020-10-29,20599.0,Floating Shelves
37,2020-10-30,20599.0,Floating Shelves
38,2020-10-31,23146.0,Floating Shelves
39,2020-11-01,21693.0,Floating Shelves
40,2020-11-02,27070.0,Floating Shelves
41,2020-11-03,27070.0,Floating Shelves
42,2020-11-04,24493.0,Floating Shelves
43,2020-11-05,24493.0,Floating Shelves
44,2020-11-06,16699.0,Floating Shelves
45,2020-11-07,16699.0,Floating Shelves
46,2020-11-08,16699.0,Floating Shelves
47,2020-11-09,14626.0,Floating Shelves
48,2020-11-10,14762.0,Floating Shelves
49,2020-11-11,23123.0,Floating Shelves
50,2020-11-12,23123.0,Floating Shelves
51,2020-11-13,23123.0,Floating Shelves
52,2020-11-14,32024.0,Floating Shelves
53,2020-11-15,33383.0,Floating Shelves
54,2020-11-16,33383.0,Floating Shelves
55,2020-11-17,33383.0,Floating Shelves
56,2020-11-18,32060.0,Floating Shelves
57,2020-11-19,29830.0,Floating Shelves
58,2020-11-20,23571.0,Floating Shelves
59,2020-11-21,23035.0,Floating Shelves
60,2020-11-22,23035.0,Floating Shelves
61,2020-11-23,23035.0,Floating Shelves
62,2020-11-24,25309.0,Floating Shelves
63,2020-11-25,20895.0,Floating Shelves
64,2020-11-26,22301.0,Floating Shelves
65,2020-11-27,21392.0,Floating Shelves
66,2020-11-28,14991.0,Floating Shelves
67,2020-11-29,14991.0,Floating Shelves
68,2020-11-30,16696.0,Floating Shelves
69,2020-12-01,12268.0,Floating Shelves
70,2020-12-02,15438.0,Floating Shelves
71,2020-12-03,16180.0,Floating Shelves
72,2020-12-04,15854.0,Floating Shelves
73,2020-12-05,15854.0,Floating Shelves
74,2020-12-06,15930.0,Floating Shelves
75,2020-12-07,15029.0,Floating Shelves
76,2020-12-08,13833.0,Floating Shelves
77,2020-12-09,13833.0,Floating Shelves
78,2020-12-10,13833.0,Floating Shelves
79,2020-12-11,11759.0,Floating Shelves
80,2020-12-12,11759.0,Floating Shelves
81,2020-12-13,10012.0,Floating Shelves
82,2020-12-14,8217.0,Floating Shelves
83,2020-12-15,10889.0,Floating Shelves
84,2020-12-16,10118.0,Floating Shelves
85,2020-12-17,12293.0,Floating Shelves
86,2020-12-18,10338.0,Floating Shelves
87,2020-12-19,10675.0,Floating Shelves
88,2020-12-20,10675.0,Floating Shelves
89,2020-12-21,9576.0,Floating Shelves
90,2020-12-22,9576.0,Floating Shelves
91,2020-12-23,9576.0,Floating Shelves
92,2020-12-24,9681.0,Floating Shelves
93,2020-12-25,9681.0,Floating Shelves
94,2020-12-26,4160.0,Floating Shelves
95,2020-12-27,4160.0,Floating Shelves
96,2020-12-28,4160.0,Floating Shelves
97,2020-12-29,4526.0,Floating Shelves
98,2020-12-30,4526.0,Floating Shelves
99,2020-12-31,4526.0,Floating Shelves
100,2021-01-01,5725.0,Floating Shelves
101,2021-01-02,5725.0,Floating Shelves
102,2021-01-03,5725.0,Floating Shelves
103,2021-01-04,4474.0,Floating Shelves
104,2021-01-05,5531.0,Floating Shelves
105,2021-01-06,5570.0,Floating Shelves
106,2021-01-07,5570.0,Floating Shelves
107,2021-01-08,4753.0,Floating Shelves
108,2021-01-09,4495.0,Floating Shelves
109,2021-01-10,4495.0,Floating Shelves
110,2021-01-11,4217.0,Floating Shelves
111,2021-01-12,4217.0,Floating Shelves
112,2021-01-13,4395.0,Floating Shelves
