,date,value,name_B08T3VV6MK
0,2021-05-14,7346.0,Beds
1,2021-05-15,7346.0,Beds
2,2021-05-16,4337.0,Beds
3,2021-05-17,4337.0,Beds
4,2021-05-18,4337.0,Beds
5,2021-05-19,5301.0,Beds
6,2021-05-20,4989.0,Beds
7,2021-05-21,6271.0,Beds
8,2021-05-22,6271.0,Beds
9,2021-05-23,5097.0,Beds
10,2021-05-24,4269.0,Beds
11,2021-05-25,4801.0,Beds
12,2021-05-26,5400.0,Beds
13,2021-05-27,5319.0,Beds
14,2021-05-28,5319.0,Beds
15,2021-05-29,5319.0,Beds
16,2021-05-30,5319.0,Beds
17,2021-05-31,5319.0,Beds
18,2021-06-01,3860.0,Beds
19,2021-06-02,2979.0,Beds
20,2021-06-03,2979.0,Beds
21,2021-06-04,2878.0,Beds
22,2021-06-05,2878.0,Beds
23,2021-06-06,2208.0,Beds
24,2021-06-07,2208.0,Beds
25,2021-06-08,2432.0,Beds
26,2021-06-09,2766.0,Beds
27,2021-06-10,2238.0,Beds
28,2021-06-11,2239.0,Beds
29,2021-06-12,1886.0,Beds
30,2021-06-13,1886.0,Beds
31,2021-06-14,2212.0,Beds
32,2021-06-15,2212.0,Beds
33,2021-06-16,2529.0,Beds
34,2021-06-17,2162.0,Beds
35,2021-06-18,2162.0,Beds
36,2021-06-19,2293.0,Beds
37,2021-06-20,2293.0,Beds
38,2021-06-21,2134.0,Beds
39,2021-06-22,2406.0,Beds
40,2021-06-23,2406.0,Beds
41,2021-06-24,2668.0,Beds
42,2021-06-25,2615.0,Beds
43,2021-06-26,2916.0,Beds
44,2021-06-27,2916.0,Beds
45,2021-06-28,3663.0,Beds
46,2021-06-29,3254.0,Beds
47,2021-06-30,3541.0,Beds
48,2021-07-01,4615.0,Beds
49,2021-07-02,4615.0,Beds
50,2021-07-03,5065.0,Beds
51,2021-07-04,5065.0,Beds
52,2021-07-05,4665.0,Beds
53,2021-07-06,4425.0,Beds
54,2021-07-07,4425.0,Beds
55,2021-07-08,4546.0,Beds
56,2021-07-09,4546.0,Beds
57,2021-07-10,3916.0,Beds
