,date,value,name_B00E3A9FN6
0,2020-05-25,15880.0,Whey
1,2020-05-26,15880.0,Whey
2,2020-05-27,15880.0,Whey
3,2020-05-28,13667.0,Whey
4,2020-05-29,13667.0,Whey
5,2020-05-30,13667.0,Whey
6,2020-05-31,13667.0,Whey
7,2020-06-01,15429.0,Whey
8,2020-06-02,13189.0,Whey
9,2020-06-03,14027.0,Whey
10,2020-06-04,14027.0,Whey
11,2020-06-05,13655.0,Whey
12,2020-06-06,15655.0,Whey
13,2020-06-07,14996.0,Whey
14,2020-06-08,14996.0,Whey
15,2020-06-09,17364.0,Whey
16,2020-06-10,17364.0,Whey
17,2020-06-11,17364.0,Whey
18,2020-06-12,15769.0,Whey
19,2020-06-13,15769.0,Whey
20,2020-06-14,15769.0,Whey
21,2020-06-15,15325.0,Whey
22,2020-06-16,15325.0,Whey
23,2020-06-17,15325.0,Whey
24,2020-06-18,16006.0,Whey
25,2020-06-19,16006.0,Whey
26,2020-06-20,16006.0,Whey
27,2020-06-21,16006.0,Whey
28,2020-06-22,12943.0,Whey
29,2020-06-23,12943.0,Whey
30,2020-06-24,14581.0,Whey
31,2020-06-25,14581.0,Whey
32,2020-06-26,17431.0,Whey
33,2020-06-27,15822.0,Whey
34,2020-06-28,18551.0,Whey
35,2020-06-29,18551.0,Whey
36,2020-06-30,14057.0,Whey
37,2020-07-01,14057.0,Whey
38,2020-07-02,13803.0,Whey
39,2020-07-03,17292.0,Whey
40,2020-07-04,17292.0,Whey
41,2020-07-05,15063.0,Whey
42,2020-07-06,15063.0,Whey
43,2020-07-07,15063.0,Whey
44,2020-07-08,14704.0,Whey
45,2020-07-09,14704.0,Whey
46,2020-07-10,14704.0,Whey
47,2020-07-11,15040.0,Whey
48,2020-07-12,15040.0,Whey
49,2020-07-13,17077.0,Whey
50,2020-07-14,17077.0,Whey
51,2020-07-15,13309.0,Whey
52,2020-07-16,13309.0,Whey
53,2020-07-17,13309.0,Whey
54,2020-07-18,13978.0,Whey
55,2020-07-19,13978.0,Whey
56,2020-07-20,14524.0,Whey
57,2020-07-21,14524.0,Whey
58,2020-07-22,14524.0,Whey
59,2020-07-23,14524.0,Whey
60,2020-07-24,14524.0,Whey
61,2020-07-25,14010.0,Whey
62,2020-07-26,14010.0,Whey
63,2020-07-27,14010.0,Whey
64,2020-07-28,15707.0,Whey
65,2020-07-29,15707.0,Whey
66,2020-07-30,15707.0,Whey
67,2020-07-31,15707.0,Whey
68,2020-08-01,15707.0,Whey
69,2020-08-02,17175.0,Whey
70,2020-08-03,19716.0,Whey
71,2020-08-04,19716.0,Whey
72,2020-08-05,15186.0,Whey
73,2020-08-06,15186.0,Whey
74,2020-08-07,15186.0,Whey
75,2020-08-08,15186.0,Whey
76,2020-08-09,16481.0,Whey
77,2020-08-10,16481.0,Whey
78,2020-08-11,16481.0,Whey
79,2020-08-12,15124.0,Whey
80,2020-08-13,16445.0,Whey
81,2020-08-14,16445.0,Whey
82,2020-08-15,16445.0,Whey
83,2020-08-16,16603.0,Whey
84,2020-08-17,16603.0,Whey
85,2020-08-18,14256.0,Whey
86,2020-08-19,14256.0,Whey
