,date,value,name_B08QYNKMBK
0,2021-03-07,344542.0,Plush Pillows
1,2021-03-08,344542.0,Plush Pillows
2,2021-03-09,344542.0,Plush Pillows
3,2021-03-10,344542.0,Plush Pillows
4,2021-03-11,344542.0,Plush Pillows
5,2021-03-12,344542.0,Plush Pillows
6,2021-03-13,344542.0,Plush Pillows
7,2021-03-14,344542.0,Plush Pillows
8,2021-03-15,344542.0,Plush Pillows
9,2021-03-16,344542.0,Plush Pillows
10,2021-03-17,123864.0,Plush Pillows
11,2021-03-18,123864.0,Plush Pillows
12,2021-03-19,123864.0,Plush Pillows
13,2021-03-20,123864.0,Plush Pillows
14,2021-03-21,123864.0,Plush Pillows
15,2021-03-22,79228.0,Plush Pillows
16,2021-03-23,79228.0,Plush Pillows
17,2021-03-24,79228.0,Plush Pillows
18,2021-03-25,79228.0,Plush Pillows
19,2021-03-26,79228.0,Plush Pillows
20,2021-03-27,79228.0,Plush Pillows
21,2021-03-28,79228.0,Plush Pillows
22,2021-03-29,79228.0,Plush Pillows
23,2021-03-30,79228.0,Plush Pillows
24,2021-03-31,57044.0,Plush Pillows
25,2021-04-01,57044.0,Plush Pillows
26,2021-04-02,57044.0,Plush Pillows
27,2021-04-03,57044.0,Plush Pillows
28,2021-04-04,57044.0,Plush Pillows
29,2021-04-05,122890.0,Plush Pillows
30,2021-04-06,122890.0,Plush Pillows
31,2021-04-07,122890.0,Plush Pillows
32,2021-04-08,122890.0,Plush Pillows
33,2021-04-09,122890.0,Plush Pillows
34,2021-04-10,69073.0,Plush Pillows
35,2021-04-11,69073.0,Plush Pillows
36,2021-04-12,69073.0,Plush Pillows
37,2021-04-13,69073.0,Plush Pillows
38,2021-04-14,69073.0,Plush Pillows
39,2021-04-15,66420.0,Plush Pillows
40,2021-04-16,66420.0,Plush Pillows
41,2021-04-17,66420.0,Plush Pillows
42,2021-04-18,66420.0,Plush Pillows
43,2021-04-19,66420.0,Plush Pillows
44,2021-04-20,104661.0,Plush Pillows
45,2021-04-21,77812.0,Plush Pillows
46,2021-04-22,77812.0,Plush Pillows
47,2021-04-23,77812.0,Plush Pillows
48,2021-04-24,77812.0,Plush Pillows
49,2021-04-25,77812.0,Plush Pillows
50,2021-04-26,52736.0,Plush Pillows
51,2021-04-27,52736.0,Plush Pillows
52,2021-04-28,52736.0,Plush Pillows
53,2021-04-29,98594.0,Plush Pillows
54,2021-04-30,98594.0,Plush Pillows
55,2021-05-01,98594.0,Plush Pillows
56,2021-05-02,92816.0,Plush Pillows
57,2021-05-03,92816.0,Plush Pillows
58,2021-05-04,92816.0,Plush Pillows
59,2021-05-05,74827.0,Plush Pillows
60,2021-05-06,74827.0,Plush Pillows
61,2021-05-07,74827.0,Plush Pillows
62,2021-05-08,82368.0,Plush Pillows
63,2021-05-09,82368.0,Plush Pillows
64,2021-05-10,82368.0,Plush Pillows
65,2021-05-11,82368.0,Plush Pillows
66,2021-05-12,82368.0,Plush Pillows
67,2021-05-13,82368.0,Plush Pillows
68,2021-05-14,254051.0,Plush Pillows
69,2021-05-15,254051.0,Plush Pillows
70,2021-05-16,254051.0,Plush Pillows
71,2021-05-17,254051.0,Plush Pillows
72,2021-05-18,254051.0,Plush Pillows
73,2021-05-19,254051.0,Plush Pillows
74,2021-05-20,32016.0,Plush Pillows
75,2021-05-21,32016.0,Plush Pillows
76,2021-05-22,32016.0,Plush Pillows
77,2021-05-23,32016.0,Plush Pillows
78,2021-05-24,32016.0,Plush Pillows
79,2021-05-25,54105.0,Plush Pillows
80,2021-05-26,34502.0,Plush Pillows
81,2021-05-27,34502.0,Plush Pillows
82,2021-05-28,13581.0,Plush Pillows
83,2021-05-29,13581.0,Plush Pillows
84,2021-05-30,13581.0,Plush Pillows
85,2021-05-31,10649.0,Plush Pillows
86,2021-06-01,10649.0,Plush Pillows
87,2021-06-02,21285.0,Plush Pillows
88,2021-06-03,21285.0,Plush Pillows
89,2021-06-04,21285.0,Plush Pillows
90,2021-06-05,21285.0,Plush Pillows
91,2021-06-06,21285.0,Plush Pillows
92,2021-06-07,12745.0,Plush Pillows
93,2021-06-08,9166.0,Plush Pillows
94,2021-06-09,9166.0,Plush Pillows
95,2021-06-10,9840.0,Plush Pillows
96,2021-06-11,9840.0,Plush Pillows
97,2021-06-12,9840.0,Plush Pillows
98,2021-06-13,9840.0,Plush Pillows
99,2021-06-14,9840.0,Plush Pillows
100,2021-06-15,6941.0,Plush Pillows
101,2021-06-16,6728.0,Plush Pillows
102,2021-06-17,7230.0,Plush Pillows
103,2021-06-18,7230.0,Plush Pillows
104,2021-06-19,7230.0,Plush Pillows
105,2021-06-20,7230.0,Plush Pillows
106,2021-06-21,3389.0,Plush Pillows
107,2021-06-22,3389.0,Plush Pillows
108,2021-06-23,8201.0,Plush Pillows
109,2021-06-24,7618.0,Plush Pillows
110,2021-06-25,7618.0,Plush Pillows
111,2021-06-26,6527.0,Plush Pillows
112,2021-06-27,6527.0,Plush Pillows
113,2021-06-28,5802.0,Plush Pillows
114,2021-06-29,6711.0,Plush Pillows
115,2021-06-30,6711.0,Plush Pillows
116,2021-07-01,6711.0,Plush Pillows
117,2021-07-02,7334.0,Plush Pillows
118,2021-07-03,7334.0,Plush Pillows
119,2021-07-04,7334.0,Plush Pillows
120,2021-07-05,7953.0,Plush Pillows
121,2021-07-06,6542.0,Plush Pillows
122,2021-07-07,6542.0,Plush Pillows
123,2021-07-08,6897.0,Plush Pillows
124,2021-07-09,14667.0,Plush Pillows
