,date,value,name_B092XMK61D
0,2021-04-21,13704.0,Colloidal Silver
1,2021-04-22,11968.0,Colloidal Silver
2,2021-04-23,12643.0,Colloidal Silver
3,2021-04-24,12991.0,Colloidal Silver
4,2021-04-25,12959.0,Colloidal Silver
5,2021-04-26,12959.0,Colloidal Silver
6,2021-04-27,11443.0,Colloidal Silver
7,2021-04-28,11443.0,Colloidal Silver
8,2021-04-29,11210.0,Colloidal Silver
9,2021-04-30,12106.0,Colloidal Silver
10,2021-05-01,12106.0,Colloidal Silver
11,2021-05-02,13682.0,Colloidal Silver
12,2021-05-03,13682.0,Colloidal Silver
13,2021-05-04,13682.0,Colloidal Silver
14,2021-05-05,12987.0,Colloidal Silver
15,2021-05-06,13477.0,Colloidal Silver
16,2021-05-07,13477.0,Colloidal Silver
17,2021-05-08,12378.0,Colloidal Silver
18,2021-05-09,12378.0,Colloidal Silver
19,2021-05-10,11457.0,Colloidal Silver
20,2021-05-11,11457.0,Colloidal Silver
21,2021-05-12,13996.0,Colloidal Silver
22,2021-05-13,13996.0,Colloidal Silver
23,2021-05-14,14973.0,Colloidal Silver
24,2021-05-15,14973.0,Colloidal Silver
25,2021-05-16,12852.0,Colloidal Silver
26,2021-05-17,12852.0,Colloidal Silver
27,2021-05-18,11181.0,Colloidal Silver
28,2021-05-19,11181.0,Colloidal Silver
29,2021-05-20,13917.0,Colloidal Silver
30,2021-05-21,12897.0,Colloidal Silver
31,2021-05-22,13959.0,Colloidal Silver
32,2021-05-23,13959.0,Colloidal Silver
33,2021-05-24,12292.0,Colloidal Silver
34,2021-05-25,12365.0,Colloidal Silver
35,2021-05-26,12365.0,Colloidal Silver
36,2021-05-27,12785.0,Colloidal Silver
37,2021-05-28,11057.0,Colloidal Silver
38,2021-05-29,11057.0,Colloidal Silver
39,2021-05-30,12734.0,Colloidal Silver
40,2021-05-31,12734.0,Colloidal Silver
41,2021-06-01,12734.0,Colloidal Silver
42,2021-06-02,12559.0,Colloidal Silver
43,2021-06-03,12559.0,Colloidal Silver
44,2021-06-04,12559.0,Colloidal Silver
45,2021-06-05,11793.0,Colloidal Silver
46,2021-06-06,11793.0,Colloidal Silver
47,2021-06-07,14999.0,Colloidal Silver
48,2021-06-08,14999.0,Colloidal Silver
49,2021-06-09,12755.0,Colloidal Silver
50,2021-06-10,12755.0,Colloidal Silver
51,2021-06-11,11997.0,Colloidal Silver
52,2021-06-12,11997.0,Colloidal Silver
53,2021-06-13,13195.0,Colloidal Silver
54,2021-06-14,13195.0,Colloidal Silver
55,2021-06-15,12735.0,Colloidal Silver
56,2021-06-16,12050.0,Colloidal Silver
57,2021-06-17,11747.0,Colloidal Silver
58,2021-06-18,11358.0,Colloidal Silver
59,2021-06-19,15523.0,Colloidal Silver
60,2021-06-20,11700.0,Colloidal Silver
61,2021-06-21,12448.0,Colloidal Silver
62,2021-06-22,15072.0,Colloidal Silver
63,2021-06-23,16545.0,Colloidal Silver
64,2021-06-24,16545.0,Colloidal Silver
65,2021-06-25,10771.0,Colloidal Silver
66,2021-06-26,10552.0,Colloidal Silver
67,2021-06-27,10115.0,Colloidal Silver
68,2021-06-28,11814.0,Colloidal Silver
69,2021-06-29,11632.0,Colloidal Silver
70,2021-06-30,11290.0,Colloidal Silver
71,2021-07-01,10970.0,Colloidal Silver
72,2021-07-02,10970.0,Colloidal Silver
73,2021-07-03,10970.0,Colloidal Silver
74,2021-07-04,9710.0,Colloidal Silver
75,2021-07-05,9710.0,Colloidal Silver
76,2021-07-06,10005.0,Colloidal Silver
77,2021-07-07,11392.0,Colloidal Silver
78,2021-07-08,11392.0,Colloidal Silver
79,2021-07-09,10377.0,Colloidal Silver
80,2021-07-10,10643.0,Colloidal Silver
81,2021-07-11,10497.0,Colloidal Silver
