,date,value,name_B08D3GHFR4
0,2020-10-02,103177.0,Plush Pillows
1,2020-10-03,103177.0,Plush Pillows
2,2020-10-04,103177.0,Plush Pillows
3,2020-10-05,103177.0,Plush Pillows
4,2020-10-06,73054.0,Plush Pillows
5,2020-10-07,73054.0,Plush Pillows
6,2020-10-08,73054.0,Plush Pillows
7,2020-10-09,73054.0,Plush Pillows
8,2020-10-10,73054.0,Plush Pillows
9,2020-10-11,76784.0,Plush Pillows
10,2020-10-12,79450.0,Plush Pillows
11,2020-10-13,81836.0,Plush Pillows
12,2020-10-14,81836.0,Plush Pillows
13,2020-10-15,81836.0,Plush Pillows
14,2020-10-16,56311.0,Plush Pillows
15,2020-10-17,56311.0,Plush Pillows
16,2020-10-18,56311.0,Plush Pillows
17,2020-10-19,111721.0,Plush Pillows
18,2020-10-20,111721.0,Plush Pillows
19,2020-10-21,111721.0,Plush Pillows
20,2020-10-22,73866.0,Plush Pillows
21,2020-10-23,73866.0,Plush Pillows
22,2020-10-24,73866.0,Plush Pillows
23,2020-10-25,54703.0,Plush Pillows
24,2020-10-26,66392.0,Plush Pillows
25,2020-10-27,98604.0,Plush Pillows
26,2020-10-28,98604.0,Plush Pillows
27,2020-10-29,98604.0,Plush Pillows
28,2020-10-30,98604.0,Plush Pillows
29,2020-10-31,70157.0,Plush Pillows
30,2020-11-01,70157.0,Plush Pillows
31,2020-11-02,70157.0,Plush Pillows
32,2020-11-03,47226.0,Plush Pillows
33,2020-11-04,47226.0,Plush Pillows
34,2020-11-05,47226.0,Plush Pillows
35,2020-11-06,71019.0,Plush Pillows
36,2020-11-07,71019.0,Plush Pillows
37,2020-11-08,71019.0,Plush Pillows
38,2020-11-09,27199.0,Plush Pillows
39,2020-11-10,27199.0,Plush Pillows
40,2020-11-11,27199.0,Plush Pillows
41,2020-11-12,46063.0,Plush Pillows
42,2020-11-13,34912.0,Plush Pillows
43,2020-11-14,34912.0,Plush Pillows
44,2020-11-15,34912.0,Plush Pillows
45,2020-11-16,75450.0,Plush Pillows
46,2020-11-17,75450.0,Plush Pillows
47,2020-11-18,75450.0,Plush Pillows
48,2020-11-19,75450.0,Plush Pillows
49,2020-11-20,31419.0,Plush Pillows
50,2020-11-21,31419.0,Plush Pillows
51,2020-11-22,31419.0,Plush Pillows
52,2020-11-23,26847.0,Plush Pillows
53,2020-11-24,26847.0,Plush Pillows
54,2020-11-25,26847.0,Plush Pillows
55,2020-11-26,41621.0,Plush Pillows
56,2020-11-27,41621.0,Plush Pillows
57,2020-11-28,41621.0,Plush Pillows
58,2020-11-29,33506.0,Plush Pillows
59,2020-11-30,33506.0,Plush Pillows
60,2020-12-01,33506.0,Plush Pillows
61,2020-12-02,28545.0,Plush Pillows
62,2020-12-03,28545.0,Plush Pillows
63,2020-12-04,28545.0,Plush Pillows
64,2020-12-05,30840.0,Plush Pillows
65,2020-12-06,30840.0,Plush Pillows
66,2020-12-07,30840.0,Plush Pillows
67,2020-12-08,38213.0,Plush Pillows
68,2020-12-09,30778.0,Plush Pillows
69,2020-12-10,30778.0,Plush Pillows
70,2020-12-11,30778.0,Plush Pillows
71,2020-12-12,30778.0,Plush Pillows
72,2020-12-13,30778.0,Plush Pillows
73,2020-12-14,47994.0,Plush Pillows
74,2020-12-15,47994.0,Plush Pillows
75,2020-12-16,49079.0,Plush Pillows
76,2020-12-17,49079.0,Plush Pillows
77,2020-12-18,49079.0,Plush Pillows
78,2020-12-19,49079.0,Plush Pillows
79,2020-12-20,49079.0,Plush Pillows
80,2020-12-21,49079.0,Plush Pillows
81,2020-12-22,49079.0,Plush Pillows
82,2020-12-23,49079.0,Plush Pillows
83,2020-12-24,49079.0,Plush Pillows
84,2020-12-25,49079.0,Plush Pillows
85,2020-12-26,90205.0,Plush Pillows
86,2020-12-27,90205.0,Plush Pillows
87,2020-12-28,90205.0,Plush Pillows
88,2020-12-29,90205.0,Plush Pillows
89,2020-12-30,98944.0,Plush Pillows
90,2020-12-31,98944.0,Plush Pillows
91,2021-01-01,98944.0,Plush Pillows
92,2021-01-02,98944.0,Plush Pillows
93,2021-01-03,98944.0,Plush Pillows
94,2021-01-04,86086.0,Plush Pillows
95,2021-01-05,86086.0,Plush Pillows
96,2021-01-06,86086.0,Plush Pillows
97,2021-01-07,86086.0,Plush Pillows
98,2021-01-08,26713.0,Plush Pillows
99,2021-01-09,26713.0,Plush Pillows
100,2021-01-10,26713.0,Plush Pillows
101,2021-01-11,38825.0,Plush Pillows
102,2021-01-12,33227.0,Plush Pillows
103,2021-01-13,17769.0,Plush Pillows
104,2021-01-14,17769.0,Plush Pillows
105,2021-01-15,17769.0,Plush Pillows
106,2021-01-16,15245.0,Plush Pillows
107,2021-01-17,15245.0,Plush Pillows
108,2021-01-18,19569.0,Plush Pillows
109,2021-01-19,19569.0,Plush Pillows
110,2021-01-20,15420.0,Plush Pillows
111,2021-01-21,15142.0,Plush Pillows
112,2021-01-22,15659.0,Plush Pillows
113,2021-01-23,15659.0,Plush Pillows
114,2021-01-24,28065.0,Plush Pillows
115,2021-01-25,15710.0,Plush Pillows
116,2021-01-26,15710.0,Plush Pillows
117,2021-01-27,15710.0,Plush Pillows
118,2021-01-28,23046.0,Plush Pillows
119,2021-01-29,23046.0,Plush Pillows
120,2021-01-30,23046.0,Plush Pillows
121,2021-01-31,16311.0,Plush Pillows
122,2021-02-01,16311.0,Plush Pillows
123,2021-02-02,16311.0,Plush Pillows
124,2021-02-03,17242.0,Plush Pillows
125,2021-02-04,17242.0,Plush Pillows
126,2021-02-05,17242.0,Plush Pillows
127,2021-02-06,10062.0,Plush Pillows
128,2021-02-07,10062.0,Plush Pillows
129,2021-02-08,10062.0,Plush Pillows
130,2021-02-09,10062.0,Plush Pillows
131,2021-02-10,4850.0,Plush Pillows
132,2021-02-11,4850.0,Plush Pillows
133,2021-02-12,4414.0,Plush Pillows
134,2021-02-13,4414.0,Plush Pillows
135,2021-02-14,4792.0,Plush Pillows
136,2021-02-15,5927.0,Plush Pillows
137,2021-02-16,5927.0,Plush Pillows
138,2021-02-17,5927.0,Plush Pillows
139,2021-02-18,9810.0,Plush Pillows
140,2021-02-19,9438.0,Plush Pillows
141,2021-02-20,8358.0,Plush Pillows
142,2021-02-21,5477.0,Plush Pillows
143,2021-02-22,2517.0,Plush Pillows
144,2021-02-23,714.0,Plush Pillows
145,2021-02-24,644.0,Plush Pillows
146,2021-02-25,716.0,Plush Pillows
147,2021-02-26,1044.0,Plush Pillows
148,2021-02-27,1897.0,Plush Pillows
149,2021-02-28,2888.0,Plush Pillows
150,2021-03-01,4540.0,Plush Pillows
151,2021-03-02,5483.0,Plush Pillows
152,2021-03-03,7153.0,Plush Pillows
153,2021-03-04,8488.0,Plush Pillows
154,2021-03-05,9650.0,Plush Pillows
