,date,value,name_B08RD4C1Q8
0,2021-01-02,47893.0,Wall Clocks
1,2021-01-03,46952.0,Wall Clocks
2,2021-01-04,46952.0,Wall Clocks
3,2021-01-05,46952.0,Wall Clocks
4,2021-01-06,46952.0,Wall Clocks
5,2021-01-07,46952.0,Wall Clocks
6,2021-01-08,46952.0,Wall Clocks
7,2021-01-09,62213.0,Wall Clocks
8,2021-01-10,62213.0,Wall Clocks
9,2021-01-11,62213.0,Wall Clocks
10,2021-01-12,62213.0,Wall Clocks
11,2021-01-13,62213.0,Wall Clocks
12,2021-01-14,62213.0,Wall Clocks
13,2021-01-15,62213.0,Wall Clocks
14,2021-01-16,61660.0,Wall Clocks
15,2021-01-17,61660.0,Wall Clocks
16,2021-01-18,61660.0,Wall Clocks
17,2021-01-19,61660.0,Wall Clocks
18,2021-01-20,61660.0,Wall Clocks
19,2021-01-21,61660.0,Wall Clocks
20,2021-01-22,61660.0,Wall Clocks
21,2021-01-23,61660.0,Wall Clocks
22,2021-01-24,54880.0,Wall Clocks
23,2021-01-25,54880.0,Wall Clocks
24,2021-01-26,54880.0,Wall Clocks
25,2021-01-27,35547.0,Wall Clocks
26,2021-01-28,35547.0,Wall Clocks
27,2021-01-29,35547.0,Wall Clocks
28,2021-01-30,35547.0,Wall Clocks
29,2021-01-31,35547.0,Wall Clocks
30,2021-02-01,63857.0,Wall Clocks
31,2021-02-02,63857.0,Wall Clocks
32,2021-02-03,63857.0,Wall Clocks
33,2021-02-04,63857.0,Wall Clocks
34,2021-02-05,54691.0,Wall Clocks
35,2021-02-06,54691.0,Wall Clocks
36,2021-02-07,54691.0,Wall Clocks
37,2021-02-08,54691.0,Wall Clocks
38,2021-02-09,54691.0,Wall Clocks
39,2021-02-10,54691.0,Wall Clocks
40,2021-02-11,54691.0,Wall Clocks
41,2021-02-12,54691.0,Wall Clocks
42,2021-02-13,54691.0,Wall Clocks
43,2021-02-14,54691.0,Wall Clocks
44,2021-02-15,54691.0,Wall Clocks
45,2021-02-16,54691.0,Wall Clocks
46,2021-02-17,54691.0,Wall Clocks
47,2021-02-18,42911.0,Wall Clocks
48,2021-02-19,42911.0,Wall Clocks
49,2021-02-20,42911.0,Wall Clocks
50,2021-02-21,42911.0,Wall Clocks
51,2021-02-22,42911.0,Wall Clocks
52,2021-02-23,45113.0,Wall Clocks
53,2021-02-24,45113.0,Wall Clocks
54,2021-02-25,45113.0,Wall Clocks
55,2021-02-26,45113.0,Wall Clocks
56,2021-02-27,41750.0,Wall Clocks
57,2021-02-28,41750.0,Wall Clocks
58,2021-03-01,38043.0,Wall Clocks
59,2021-03-02,38043.0,Wall Clocks
60,2021-03-03,35563.0,Wall Clocks
61,2021-03-04,38890.0,Wall Clocks
62,2021-03-05,38890.0,Wall Clocks
63,2021-03-06,38890.0,Wall Clocks
64,2021-03-07,38890.0,Wall Clocks
65,2021-03-08,38890.0,Wall Clocks
66,2021-03-09,38890.0,Wall Clocks
67,2021-03-10,27705.0,Wall Clocks
