,date,value,name_B08V1DY98N
0,2021-02-02,16600.0,Sofa Slipcovers
1,2021-02-03,16600.0,Sofa Slipcovers
2,2021-02-04,14171.0,Sofa Slipcovers
3,2021-02-05,12148.0,Sofa Slipcovers
4,2021-02-06,12251.0,Sofa Slipcovers
5,2021-02-07,12251.0,Sofa Slipcovers
6,2021-02-08,8340.0,Sofa Slipcovers
7,2021-02-09,8340.0,Sofa Slipcovers
8,2021-02-10,8340.0,Sofa Slipcovers
9,2021-02-11,9607.0,Sofa Slipcovers
10,2021-02-12,9607.0,Sofa Slipcovers
11,2021-02-13,9607.0,Sofa Slipcovers
12,2021-02-14,5925.0,Sofa Slipcovers
13,2021-02-15,5925.0,Sofa Slipcovers
14,2021-02-16,5925.0,Sofa Slipcovers
15,2021-02-17,7145.0,Sofa Slipcovers
16,2021-02-18,7145.0,Sofa Slipcovers
17,2021-02-19,6047.0,Sofa Slipcovers
18,2021-02-20,6047.0,Sofa Slipcovers
19,2021-02-21,7620.0,Sofa Slipcovers
20,2021-02-22,7058.0,Sofa Slipcovers
21,2021-02-23,7058.0,Sofa Slipcovers
22,2021-02-24,10975.0,Sofa Slipcovers
23,2021-02-25,10466.0,Sofa Slipcovers
24,2021-02-26,15378.0,Sofa Slipcovers
25,2021-02-27,15378.0,Sofa Slipcovers
26,2021-02-28,15378.0,Sofa Slipcovers
27,2021-03-01,29117.0,Sofa Slipcovers
28,2021-03-02,29117.0,Sofa Slipcovers
29,2021-03-03,28424.0,Sofa Slipcovers
30,2021-03-04,28424.0,Sofa Slipcovers
31,2021-03-05,22882.0,Sofa Slipcovers
32,2021-03-06,22882.0,Sofa Slipcovers
33,2021-03-07,22882.0,Sofa Slipcovers
34,2021-03-08,22882.0,Sofa Slipcovers
35,2021-03-09,22882.0,Sofa Slipcovers
36,2021-03-10,38960.0,Sofa Slipcovers
37,2021-03-11,38960.0,Sofa Slipcovers
38,2021-03-12,38960.0,Sofa Slipcovers
39,2021-03-13,40320.0,Sofa Slipcovers
40,2021-03-14,40320.0,Sofa Slipcovers
41,2021-03-15,40320.0,Sofa Slipcovers
42,2021-03-16,40320.0,Sofa Slipcovers
43,2021-03-17,40320.0,Sofa Slipcovers
44,2021-03-18,40320.0,Sofa Slipcovers
45,2021-03-19,40320.0,Sofa Slipcovers
46,2021-03-20,26025.0,Sofa Slipcovers
47,2021-03-21,26025.0,Sofa Slipcovers
48,2021-03-22,26025.0,Sofa Slipcovers
49,2021-03-23,26025.0,Sofa Slipcovers
50,2021-03-24,26025.0,Sofa Slipcovers
51,2021-03-25,14341.0,Sofa Slipcovers
52,2021-03-26,14341.0,Sofa Slipcovers
53,2021-03-27,14341.0,Sofa Slipcovers
54,2021-03-28,13000.0,Sofa Slipcovers
55,2021-03-29,16888.0,Sofa Slipcovers
56,2021-03-30,16888.0,Sofa Slipcovers
57,2021-03-31,13562.0,Sofa Slipcovers
58,2021-04-01,19285.0,Sofa Slipcovers
59,2021-04-02,19285.0,Sofa Slipcovers
60,2021-04-03,19285.0,Sofa Slipcovers
61,2021-04-04,19285.0,Sofa Slipcovers
62,2021-04-05,33319.0,Sofa Slipcovers
63,2021-04-06,30337.0,Sofa Slipcovers
64,2021-04-07,30337.0,Sofa Slipcovers
65,2021-04-08,30337.0,Sofa Slipcovers
66,2021-04-09,30337.0,Sofa Slipcovers
67,2021-04-10,30337.0,Sofa Slipcovers
68,2021-04-11,30337.0,Sofa Slipcovers
69,2021-04-12,45637.0,Sofa Slipcovers
70,2021-04-13,45637.0,Sofa Slipcovers
71,2021-04-14,45637.0,Sofa Slipcovers
72,2021-04-15,45637.0,Sofa Slipcovers
73,2021-04-16,84130.0,Sofa Slipcovers
74,2021-04-17,84130.0,Sofa Slipcovers
75,2021-04-18,84130.0,Sofa Slipcovers
76,2021-04-19,84130.0,Sofa Slipcovers
77,2021-04-20,33923.0,Sofa Slipcovers
78,2021-04-21,25340.0,Sofa Slipcovers
79,2021-04-22,25340.0,Sofa Slipcovers
80,2021-04-23,25340.0,Sofa Slipcovers
81,2021-04-24,25340.0,Sofa Slipcovers
82,2021-04-25,28624.0,Sofa Slipcovers
83,2021-04-26,28624.0,Sofa Slipcovers
84,2021-04-27,33413.0,Sofa Slipcovers
85,2021-04-28,33413.0,Sofa Slipcovers
86,2021-04-29,33413.0,Sofa Slipcovers
87,2021-04-30,26551.0,Sofa Slipcovers
88,2021-05-01,26551.0,Sofa Slipcovers
89,2021-05-02,20327.0,Sofa Slipcovers
90,2021-05-03,20327.0,Sofa Slipcovers
91,2021-05-04,20327.0,Sofa Slipcovers
92,2021-05-05,20327.0,Sofa Slipcovers
93,2021-05-06,25232.0,Sofa Slipcovers
94,2021-05-07,25232.0,Sofa Slipcovers
95,2021-05-08,21949.0,Sofa Slipcovers
96,2021-05-09,21949.0,Sofa Slipcovers
97,2021-05-10,21949.0,Sofa Slipcovers
98,2021-05-11,21949.0,Sofa Slipcovers
99,2021-05-12,19735.0,Sofa Slipcovers
100,2021-05-13,19735.0,Sofa Slipcovers
101,2021-05-14,19735.0,Sofa Slipcovers
102,2021-05-15,21058.0,Sofa Slipcovers
103,2021-05-16,21058.0,Sofa Slipcovers
104,2021-05-17,18826.0,Sofa Slipcovers
105,2021-05-18,18826.0,Sofa Slipcovers
106,2021-05-19,18826.0,Sofa Slipcovers
107,2021-05-20,17019.0,Sofa Slipcovers
108,2021-05-21,17019.0,Sofa Slipcovers
109,2021-05-22,17019.0,Sofa Slipcovers
110,2021-05-23,18951.0,Sofa Slipcovers
