,date,value,name_B087V92N4M
0,2020-05-28,21125.0,Protein Bars
1,2020-05-29,21125.0,Protein Bars
2,2020-05-30,21125.0,Protein Bars
3,2020-05-31,21125.0,Protein Bars
4,2020-06-01,21125.0,Protein Bars
5,2020-06-02,21125.0,Protein Bars
6,2020-06-03,21125.0,Protein Bars
7,2020-06-04,13642.0,Protein Bars
8,2020-06-05,13642.0,Protein Bars
9,2020-06-06,13642.0,Protein Bars
10,2020-06-07,8645.0,Protein Bars
11,2020-06-08,11054.0,Protein Bars
12,2020-06-09,6830.0,Protein Bars
13,2020-06-10,6830.0,Protein Bars
14,2020-06-11,6830.0,Protein Bars
15,2020-06-12,6830.0,Protein Bars
16,2020-06-13,6830.0,Protein Bars
17,2020-06-14,6830.0,Protein Bars
18,2020-06-15,6830.0,Protein Bars
19,2020-06-16,6830.0,Protein Bars
20,2020-06-17,15820.0,Protein Bars
21,2020-06-18,13422.0,Protein Bars
22,2020-06-19,13422.0,Protein Bars
23,2020-06-20,13986.0,Protein Bars
24,2020-06-21,13986.0,Protein Bars
25,2020-06-22,13986.0,Protein Bars
26,2020-06-23,13986.0,Protein Bars
27,2020-06-24,13986.0,Protein Bars
28,2020-06-25,12878.0,Protein Bars
29,2020-06-26,12878.0,Protein Bars
30,2020-06-27,12878.0,Protein Bars
31,2020-06-28,12878.0,Protein Bars
32,2020-06-29,29515.0,Protein Bars
33,2020-06-30,29515.0,Protein Bars
34,2020-07-01,29515.0,Protein Bars
35,2020-07-02,25849.0,Protein Bars
36,2020-07-03,25849.0,Protein Bars
37,2020-07-04,25849.0,Protein Bars
38,2020-07-05,25849.0,Protein Bars
39,2020-07-06,25849.0,Protein Bars
40,2020-07-07,25849.0,Protein Bars
41,2020-07-08,38247.0,Protein Bars
42,2020-07-09,38247.0,Protein Bars
43,2020-07-10,38247.0,Protein Bars
44,2020-07-11,38247.0,Protein Bars
45,2020-07-12,38247.0,Protein Bars
46,2020-07-13,38247.0,Protein Bars
47,2020-07-14,44960.0,Protein Bars
48,2020-07-15,44960.0,Protein Bars
49,2020-07-16,44960.0,Protein Bars
50,2020-07-17,44960.0,Protein Bars
51,2020-07-18,44960.0,Protein Bars
52,2020-07-19,44960.0,Protein Bars
53,2020-07-20,28977.0,Protein Bars
54,2020-07-21,33139.0,Protein Bars
55,2020-07-22,33139.0,Protein Bars
56,2020-07-23,33139.0,Protein Bars
57,2020-07-24,33139.0,Protein Bars
58,2020-07-25,33139.0,Protein Bars
59,2020-07-26,33139.0,Protein Bars
60,2020-07-27,123070.0,Protein Bars
61,2020-07-28,123070.0,Protein Bars
62,2020-07-29,123070.0,Protein Bars
63,2020-07-30,12917.0,Protein Bars
64,2020-07-31,12917.0,Protein Bars
65,2020-08-01,3872.0,Protein Bars
66,2020-08-02,3872.0,Protein Bars
67,2020-08-03,3872.0,Protein Bars
68,2020-08-04,11372.0,Protein Bars
69,2020-08-05,11372.0,Protein Bars
70,2020-08-06,11372.0,Protein Bars
71,2020-08-07,13677.0,Protein Bars
72,2020-08-08,13677.0,Protein Bars
73,2020-08-09,13677.0,Protein Bars
74,2020-08-10,21264.0,Protein Bars
75,2020-08-11,21264.0,Protein Bars
76,2020-08-12,21264.0,Protein Bars
77,2020-08-13,21264.0,Protein Bars
78,2020-08-14,21264.0,Protein Bars
79,2020-08-15,21264.0,Protein Bars
80,2020-08-16,25839.0,Protein Bars
81,2020-08-17,25839.0,Protein Bars
82,2020-08-18,25839.0,Protein Bars
83,2020-08-19,25839.0,Protein Bars
84,2020-08-20,35517.0,Protein Bars
85,2020-08-21,35517.0,Protein Bars
86,2020-08-22,35517.0,Protein Bars
87,2020-08-23,35517.0,Protein Bars
88,2020-08-24,81763.0,Protein Bars
89,2020-08-25,81763.0,Protein Bars
90,2020-08-26,81763.0,Protein Bars
91,2020-08-27,81763.0,Protein Bars
92,2020-08-28,81763.0,Protein Bars
93,2020-08-29,81763.0,Protein Bars
94,2020-08-30,81763.0,Protein Bars
95,2020-08-31,81763.0,Protein Bars
96,2020-09-01,81763.0,Protein Bars
97,2020-09-02,81763.0,Protein Bars
98,2020-09-03,81763.0,Protein Bars
99,2020-09-04,81763.0,Protein Bars
100,2020-09-05,81763.0,Protein Bars
