,date,value,name_B07ND5497G
0,2019-02-06,12025.0,Barbecue Forks
1,2019-02-07,8490.0,Barbecue Forks
2,2019-02-08,8490.0,Barbecue Forks
3,2019-02-09,12381.0,Barbecue Forks
4,2019-02-10,19512.0,Barbecue Forks
5,2019-02-11,19512.0,Barbecue Forks
6,2019-02-12,13359.0,Barbecue Forks
7,2019-02-13,13359.0,Barbecue Forks
8,2019-02-14,13359.0,Barbecue Forks
9,2019-02-15,17888.0,Barbecue Forks
10,2019-02-16,27982.0,Barbecue Forks
11,2019-02-17,33368.0,Barbecue Forks
12,2019-02-18,33368.0,Barbecue Forks
13,2019-02-19,13876.0,Barbecue Forks
14,2019-02-20,13876.0,Barbecue Forks
15,2019-02-21,15167.0,Barbecue Forks
16,2019-02-22,15167.0,Barbecue Forks
17,2019-02-23,26181.0,Barbecue Forks
18,2019-02-24,26181.0,Barbecue Forks
19,2019-02-25,26181.0,Barbecue Forks
20,2019-02-26,26181.0,Barbecue Forks
21,2019-02-27,14835.0,Barbecue Forks
22,2019-02-28,14835.0,Barbecue Forks
23,2019-03-01,14835.0,Barbecue Forks
24,2019-03-02,17507.0,Barbecue Forks
25,2019-03-03,17507.0,Barbecue Forks
26,2019-03-04,11971.0,Barbecue Forks
27,2019-03-05,17275.0,Barbecue Forks
28,2019-03-06,17275.0,Barbecue Forks
29,2019-03-07,13356.0,Barbecue Forks
30,2019-03-08,13356.0,Barbecue Forks
31,2019-03-09,8788.0,Barbecue Forks
32,2019-03-10,10395.0,Barbecue Forks
33,2019-03-11,12926.0,Barbecue Forks
34,2019-03-12,12926.0,Barbecue Forks
35,2019-03-13,12926.0,Barbecue Forks
36,2019-03-14,15178.0,Barbecue Forks
37,2019-03-15,15178.0,Barbecue Forks
38,2019-03-16,16959.0,Barbecue Forks
39,2019-03-17,11971.0,Barbecue Forks
40,2019-03-18,11270.0,Barbecue Forks
41,2019-03-19,11270.0,Barbecue Forks
42,2019-03-20,11529.0,Barbecue Forks
43,2019-03-21,9621.0,Barbecue Forks
44,2019-03-22,9621.0,Barbecue Forks
45,2019-03-23,10204.0,Barbecue Forks
46,2019-03-24,12039.0,Barbecue Forks
47,2019-03-25,6793.0,Barbecue Forks
48,2019-03-26,6793.0,Barbecue Forks
49,2019-03-27,4974.0,Barbecue Forks
50,2019-03-28,7149.0,Barbecue Forks
51,2019-03-29,7110.0,Barbecue Forks
52,2019-03-30,7948.0,Barbecue Forks
53,2019-03-31,7948.0,Barbecue Forks
54,2019-04-01,6807.0,Barbecue Forks
55,2019-04-02,7014.0,Barbecue Forks
56,2019-04-03,7014.0,Barbecue Forks
57,2019-04-04,5297.0,Barbecue Forks
58,2019-04-05,5735.0,Barbecue Forks
59,2019-04-06,5735.0,Barbecue Forks
60,2019-04-07,5735.0,Barbecue Forks
61,2019-04-08,5735.0,Barbecue Forks
62,2019-04-09,5735.0,Barbecue Forks
63,2019-04-10,4453.0,Barbecue Forks
64,2019-04-11,6859.0,Barbecue Forks
65,2019-04-12,6859.0,Barbecue Forks
66,2019-04-13,6859.0,Barbecue Forks
67,2019-04-14,5443.0,Barbecue Forks
68,2019-04-15,5443.0,Barbecue Forks
69,2019-04-16,4582.0,Barbecue Forks
70,2019-04-17,4582.0,Barbecue Forks
71,2019-04-18,4582.0,Barbecue Forks
72,2019-04-19,4582.0,Barbecue Forks
73,2019-04-20,4956.0,Barbecue Forks
74,2019-04-21,4956.0,Barbecue Forks
75,2019-04-22,4956.0,Barbecue Forks
76,2019-04-23,7058.0,Barbecue Forks
77,2019-04-24,5307.0,Barbecue Forks
78,2019-04-25,8978.0,Barbecue Forks
79,2019-04-26,7734.0,Barbecue Forks
80,2019-04-27,7734.0,Barbecue Forks
81,2019-04-28,4348.0,Barbecue Forks
82,2019-04-29,4348.0,Barbecue Forks
83,2019-04-30,4348.0,Barbecue Forks
84,2019-05-01,4348.0,Barbecue Forks
85,2019-05-02,5817.0,Barbecue Forks
86,2019-05-03,5817.0,Barbecue Forks
87,2019-05-04,4733.0,Barbecue Forks
88,2019-05-05,4733.0,Barbecue Forks
89,2019-05-06,6406.0,Barbecue Forks
90,2019-05-07,5839.0,Barbecue Forks
91,2019-05-08,5220.0,Barbecue Forks
92,2019-05-09,6629.0,Barbecue Forks
93,2019-05-10,8202.0,Barbecue Forks
94,2019-05-11,8383.0,Barbecue Forks
95,2019-05-12,4846.0,Barbecue Forks
96,2019-05-13,6043.0,Barbecue Forks
97,2019-05-14,4439.0,Barbecue Forks
98,2019-05-15,4439.0,Barbecue Forks
99,2019-05-16,4439.0,Barbecue Forks
100,2019-05-17,4397.0,Barbecue Forks
101,2019-05-18,5071.0,Barbecue Forks
102,2019-05-19,4932.0,Barbecue Forks
103,2019-05-20,3759.0,Barbecue Forks
104,2019-05-21,3506.0,Barbecue Forks
105,2019-05-22,3392.0,Barbecue Forks
106,2019-05-23,3921.0,Barbecue Forks
