,date,value,name_B096VGJWG1
0,2021-06-13,9461.0,Portable
1,2021-06-14,13244.0,Portable
2,2021-06-15,6127.0,Portable
3,2021-06-16,194747.0,Portable
4,2021-06-17,321663.0,Portable
5,2021-06-18,419244.0,Portable
6,2021-06-19,419244.0,Portable
7,2021-06-20,610649.0,Portable
8,2021-06-21,667864.0,Portable
9,2021-06-22,830791.0,Portable
10,2021-06-23,830791.0,Portable
11,2021-06-24,883567.0,Portable
12,2021-06-25,880018.0,Portable
13,2021-06-26,881291.0,Portable
14,2021-06-27,901750.0,Portable
15,2021-06-28,925822.0,Portable
16,2021-06-29,963826.0,Portable
17,2021-06-30,1003929.0,Portable
18,2021-07-01,1003929.0,Portable
19,2021-07-02,1048391.0,Portable
20,2021-07-03,1068266.0,Portable
21,2021-07-04,1081037.0,Portable
22,2021-07-05,1093715.0,Portable
23,2021-07-06,1126321.0,Portable
24,2021-07-07,1163194.0,Portable
25,2021-07-08,1197961.0,Portable
26,2021-07-09,1234868.0,Portable
