,date,value,name_B087CVDSX9
0,2020-04-25,23994.0,Garden Hoses
1,2020-04-26,31492.0,Garden Hoses
2,2020-04-27,31492.0,Garden Hoses
3,2020-04-28,31492.0,Garden Hoses
4,2020-04-29,31492.0,Garden Hoses
5,2020-04-30,31492.0,Garden Hoses
6,2020-05-01,42903.0,Garden Hoses
7,2020-05-02,42903.0,Garden Hoses
8,2020-05-03,42903.0,Garden Hoses
9,2020-05-04,42903.0,Garden Hoses
10,2020-05-05,33531.0,Garden Hoses
11,2020-05-06,33531.0,Garden Hoses
12,2020-05-07,43257.0,Garden Hoses
13,2020-05-08,53143.0,Garden Hoses
14,2020-05-09,64464.0,Garden Hoses
15,2020-05-10,64730.0,Garden Hoses
16,2020-05-11,61047.0,Garden Hoses
17,2020-05-12,61047.0,Garden Hoses
18,2020-05-13,61047.0,Garden Hoses
19,2020-05-14,61047.0,Garden Hoses
20,2020-05-15,61047.0,Garden Hoses
21,2020-05-16,61047.0,Garden Hoses
22,2020-05-17,-1.0,Garden Hoses
23,2020-05-18,-1.0,Garden Hoses
24,2020-05-19,-1.0,Garden Hoses
25,2020-05-20,-1.0,Garden Hoses
26,2020-05-21,-1.0,Garden Hoses
27,2020-05-22,-1.0,Garden Hoses
28,2020-05-23,-1.0,Garden Hoses
29,2020-05-24,-1.0,Garden Hoses
30,2020-05-25,-1.0,Garden Hoses
31,2020-05-26,-1.0,Garden Hoses
32,2020-05-27,-1.0,Garden Hoses
33,2020-05-28,-1.0,Garden Hoses
34,2020-05-29,-1.0,Garden Hoses
35,2020-05-30,57963.0,Garden Hoses
36,2020-05-31,57963.0,Garden Hoses
37,2020-06-01,57963.0,Garden Hoses
38,2020-06-02,57963.0,Garden Hoses
39,2020-06-03,3208.0,Garden Hoses
40,2020-06-04,3208.0,Garden Hoses
41,2020-06-05,2443.0,Garden Hoses
42,2020-06-06,2443.0,Garden Hoses
43,2020-06-07,2443.0,Garden Hoses
44,2020-06-08,1708.0,Garden Hoses
45,2020-06-09,1708.0,Garden Hoses
46,2020-06-10,1708.0,Garden Hoses
47,2020-06-11,6639.0,Garden Hoses
48,2020-06-12,6639.0,Garden Hoses
49,2020-06-13,6639.0,Garden Hoses
50,2020-06-14,6639.0,Garden Hoses
51,2020-06-15,6639.0,Garden Hoses
52,2020-06-16,29169.0,Garden Hoses
53,2020-06-17,29169.0,Garden Hoses
54,2020-06-18,39280.0,Garden Hoses
55,2020-06-19,39280.0,Garden Hoses
56,2020-06-20,39280.0,Garden Hoses
57,2020-06-21,40325.0,Garden Hoses
58,2020-06-22,44271.0,Garden Hoses
59,2020-06-23,47861.0,Garden Hoses
60,2020-06-24,47861.0,Garden Hoses
61,2020-06-25,53289.0,Garden Hoses
62,2020-06-26,53289.0,Garden Hoses
63,2020-06-27,32494.0,Garden Hoses
64,2020-06-28,32494.0,Garden Hoses
65,2020-06-29,32494.0,Garden Hoses
66,2020-06-30,32494.0,Garden Hoses
67,2020-07-01,32494.0,Garden Hoses
68,2020-07-02,32494.0,Garden Hoses
69,2020-07-03,80062.0,Garden Hoses
70,2020-07-04,80062.0,Garden Hoses
71,2020-07-05,80062.0,Garden Hoses
72,2020-07-06,80062.0,Garden Hoses
73,2020-07-07,63111.0,Garden Hoses
74,2020-07-08,63111.0,Garden Hoses
75,2020-07-09,63111.0,Garden Hoses
76,2020-07-10,63111.0,Garden Hoses
77,2020-07-11,78151.0,Garden Hoses
78,2020-07-12,78151.0,Garden Hoses
79,2020-07-13,78151.0,Garden Hoses
80,2020-07-14,62465.0,Garden Hoses
81,2020-07-15,62465.0,Garden Hoses
82,2020-07-16,84816.0,Garden Hoses
83,2020-07-17,84533.0,Garden Hoses
84,2020-07-18,84533.0,Garden Hoses
85,2020-07-19,93839.0,Garden Hoses
86,2020-07-20,74998.0,Garden Hoses
87,2020-07-21,59364.0,Garden Hoses
88,2020-07-22,59364.0,Garden Hoses
89,2020-07-23,67993.0,Garden Hoses
90,2020-07-24,67993.0,Garden Hoses
91,2020-07-25,7511.0,Garden Hoses
92,2020-07-26,7511.0,Garden Hoses
93,2020-07-27,7511.0,Garden Hoses
94,2020-07-28,4140.0,Garden Hoses
95,2020-07-29,4140.0,Garden Hoses
96,2020-07-30,4140.0,Garden Hoses
97,2020-07-31,4759.0,Garden Hoses
98,2020-08-01,4792.0,Garden Hoses
99,2020-08-02,4792.0,Garden Hoses
100,2020-08-03,4792.0,Garden Hoses
101,2020-08-04,4294.0,Garden Hoses
102,2020-08-05,4294.0,Garden Hoses
103,2020-08-06,4294.0,Garden Hoses
104,2020-08-07,3876.0,Garden Hoses
105,2020-08-08,3876.0,Garden Hoses
106,2020-08-09,3876.0,Garden Hoses
107,2020-08-10,2272.0,Garden Hoses
108,2020-08-11,2272.0,Garden Hoses
109,2020-08-12,2234.0,Garden Hoses
110,2020-08-13,2234.0,Garden Hoses
111,2020-08-14,2234.0,Garden Hoses
112,2020-08-15,2234.0,Garden Hoses
113,2020-08-16,1875.0,Garden Hoses
114,2020-08-17,1875.0,Garden Hoses
115,2020-08-18,1875.0,Garden Hoses
116,2020-08-19,2655.0,Garden Hoses
117,2020-08-20,2655.0,Garden Hoses
118,2020-08-21,2432.0,Garden Hoses
119,2020-08-22,2432.0,Garden Hoses
120,2020-08-23,2432.0,Garden Hoses
121,2020-08-24,2100.0,Garden Hoses
122,2020-08-25,2100.0,Garden Hoses
123,2020-08-26,2100.0,Garden Hoses
124,2020-08-27,2278.0,Garden Hoses
125,2020-08-28,2278.0,Garden Hoses
126,2020-08-29,2278.0,Garden Hoses
127,2020-08-30,2453.0,Garden Hoses
